町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,863,664,676,1340
両国二丁目,1222,992,972,1964
両国三丁目,1141,845,914,1759
両国四丁目,1136,901,905,1806
千歳一丁目,925,788,779,1567
千歳二丁目,536,481,436,917
千歳三丁目,1339,1133,1132,2265
緑一丁目,1652,1441,1340,2781
緑二丁目,1620,1540,1607,3147
緑三丁目,1448,1316,1234,2550
緑四丁目,2333,2041,1861,3902
立川一丁目,834,607,655,1262
立川二丁目,813,651,650,1301
立川三丁目,988,823,826,1649
立川四丁目,879,713,661,1374
菊川一丁目,851,750,812,1562
菊川二丁目,1292,1029,1115,2144
菊川三丁目,2103,1786,1894,3680
江東橋一丁目,835,646,615,1261
江東橋二丁目,1202,1027,921,1948
江東橋三丁目,474,348,224,572
江東橋四丁目,1419,1037,1002,2039
江東橋五丁目,1604,1464,1437,2901
横網一丁目,126,147,140,287
横網二丁目,664,570,570,1140
亀沢一丁目,1182,1027,1020,2047
亀沢二丁目,948,821,944,1765
亀沢三丁目,957,992,935,1927
亀沢四丁目,1398,1269,1196,2465
石原一丁目,1431,1168,1193,2361
石原二丁目,1339,1203,1197,2400
石原三丁目,1587,1471,1297,2768
石原四丁目,1400,1314,1230,2544
本所一丁目,1577,1451,1422,2873
本所二丁目,893,785,823,1608
本所三丁目,987,901,880,1781
本所四丁目,1270,1161,1092,2253
東駒形一丁目,710,576,576,1152
東駒形二丁目,822,740,761,1501
東駒形三丁目,829,717,722,1439
東駒形四丁目,1347,1164,1152,2316
吾妻橋一丁目,1263,975,1073,2048
吾妻橋二丁目,849,663,685,1348
吾妻橋三丁目,853,793,830,1623
錦糸一丁目,1209,934,879,1813
錦糸二丁目,366,287,237,524
錦糸三丁目,390,328,261,589
錦糸四丁目,894,799,807,1606
太平一丁目,1677,1613,1585,3198
太平二丁目,843,705,582,1287
太平三丁目,718,588,570,1158
太平四丁目,2481,2233,2284,4517
横川一丁目,738,797,698,1495
横川二丁目,834,734,618,1352
横川三丁目,615,546,509,1055
横川四丁目,679,630,545,1175
横川五丁目,1401,1208,1525,2733
業平一丁目,1458,1381,1534,2915
業平二丁目,790,668,633,1301
業平三丁目,838,642,663,1305
業平四丁目,1119,869,983,1852
業平五丁目,1140,1076,1149,2225
向島一丁目,1243,1045,1036,2081
向島二丁目,1417,1214,1293,2507
向島三丁目,2361,2059,2066,4125
向島四丁目,1274,1230,1281,2511
向島五丁目,2401,2056,2017,4073
東向島一丁目,1614,1501,1448,2949
東向島二丁目,2728,2403,2487,4890
東向島三丁目,1575,1589,1659,3248
東向島四丁目,1848,1654,1707,3361
東向島五丁目,2066,1822,1946,3768
東向島六丁目,2807,2636,2651,5287
堤通一丁目,1123,1160,1099,2259
堤通二丁目,2001,1838,2246,4084
墨田一丁目,1350,1442,1557,2999
墨田二丁目,1992,1968,1915,3883
墨田三丁目,1866,1778,1719,3497
墨田四丁目,2396,2300,2397,4697
墨田五丁目,1516,1405,1356,2761
押上一丁目,1278,1016,1111,2127
押上二丁目,2007,1801,1938,3739
押上三丁目,2208,2143,2015,4158
京島一丁目,3536,3318,3593,6911
京島二丁目,989,940,840,1780
京島三丁目,2298,2150,2032,4182
文花一丁目,2899,2525,3013,5538
文花二丁目,1166,1078,1120,2198
文花三丁目,1169,1338,1308,2646
八広一丁目,1748,1686,1580,3266
八広二丁目,2045,2065,2008,4073
八広三丁目,1826,1809,1691,3500
八広四丁目,2065,2086,2017,4103
八広五丁目,1526,1411,1433,2844
八広六丁目,2018,2021,1892,3913
立花一丁目,3099,2774,2927,5701
立花二丁目,821,736,712,1448
立花三丁目,1422,1332,1332,2664
立花四丁目,1786,1795,1733,3528
立花五丁目,1757,1987,1914,3901
立花六丁目,1135,1109,1184,2293
東墨田一丁目,61,72,59,131
東墨田二丁目,699,672,615,1287
東墨田三丁目,383,416,378,794
