町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,812,647,657,1304
両国二丁目,1129,950,901,1851
両国三丁目,1136,830,903,1733
両国四丁目,1104,888,884,1772
千歳一丁目,863,723,750,1473
千歳二丁目,550,487,432,919
千歳三丁目,1190,969,981,1950
緑一丁目,1565,1388,1274,2662
緑二丁目,1643,1572,1650,3222
緑三丁目,1359,1272,1164,2436
緑四丁目,2234,1922,1736,3658
立川一丁目,786,581,604,1185
立川二丁目,805,657,634,1291
立川三丁目,966,814,817,1631
立川四丁目,847,698,617,1315
菊川一丁目,818,738,788,1526
菊川二丁目,1293,1040,1108,2148
菊川三丁目,2002,1716,1838,3554
江東橋一丁目,825,640,610,1250
江東橋二丁目,1209,1031,930,1961
江東橋三丁目,455,333,232,565
江東橋四丁目,1410,1040,996,2036
江東橋五丁目,1595,1437,1429,2866
横網一丁目,131,155,146,301
横網二丁目,672,574,573,1147
亀沢一丁目,1189,1015,1024,2039
亀沢二丁目,926,809,908,1717
亀沢三丁目,932,958,896,1854
亀沢四丁目,1337,1215,1170,2385
石原一丁目,1413,1173,1202,2375
石原二丁目,1256,1138,1125,2263
石原三丁目,1546,1427,1246,2673
石原四丁目,1373,1295,1222,2517
本所一丁目,1551,1445,1409,2854
本所二丁目,871,784,810,1594
本所三丁目,967,886,877,1763
本所四丁目,1208,1120,1076,2196
東駒形一丁目,699,562,588,1150
東駒形二丁目,810,738,736,1474
東駒形三丁目,813,719,701,1420
東駒形四丁目,1357,1179,1163,2342
吾妻橋一丁目,1238,976,1042,2018
吾妻橋二丁目,837,659,674,1333
吾妻橋三丁目,826,774,810,1584
錦糸一丁目,1181,891,857,1748
錦糸二丁目,375,297,245,542
錦糸三丁目,389,321,267,588
錦糸四丁目,874,779,786,1565
太平一丁目,1667,1605,1580,3185
太平二丁目,858,714,602,1316
太平三丁目,711,583,564,1147
太平四丁目,2438,2209,2289,4498
横川一丁目,721,782,679,1461
横川二丁目,828,723,623,1346
横川三丁目,612,555,510,1065
横川四丁目,687,643,549,1192
横川五丁目,1333,1164,1460,2624
業平一丁目,1468,1378,1530,2908
業平二丁目,782,661,629,1290
業平三丁目,841,650,669,1319
業平四丁目,1100,877,953,1830
業平五丁目,1128,1059,1152,2211
向島一丁目,1234,1056,1045,2101
向島二丁目,1354,1180,1254,2434
向島三丁目,2149,1920,1874,3794
向島四丁目,1278,1251,1295,2546
向島五丁目,2298,2008,1947,3955
東向島一丁目,1614,1493,1464,2957
東向島二丁目,2674,2368,2458,4826
東向島三丁目,1586,1577,1653,3230
東向島四丁目,1857,1674,1696,3370
東向島五丁目,2029,1824,1943,3767
東向島六丁目,2763,2620,2638,5258
堤通一丁目,1101,1195,1114,2309
堤通二丁目,2000,1850,2250,4100
墨田一丁目,1252,1368,1456,2824
墨田二丁目,1976,1964,1884,3848
墨田三丁目,1872,1805,1763,3568
墨田四丁目,2417,2313,2437,4750
墨田五丁目,1495,1415,1352,2767
押上一丁目,1271,1036,1134,2170
押上二丁目,2026,1831,1968,3799
押上三丁目,2194,2139,2022,4161
京島一丁目,3502,3316,3519,6835
京島二丁目,971,941,831,1772
京島三丁目,2332,2164,2068,4232
文花一丁目,2872,2514,3014,5528
文花二丁目,1129,1078,1070,2148
文花三丁目,1164,1335,1317,2652
八広一丁目,1734,1688,1579,3267
八広二丁目,1985,2036,1980,4016
八広三丁目,1750,1721,1636,3357
八広四丁目,2022,2078,1976,4054
八広五丁目,1525,1427,1402,2829
八広六丁目,1992,2002,1886,3888
立花一丁目,3087,2797,2928,5725
立花二丁目,799,722,701,1423
立花三丁目,1363,1291,1314,2605
立花四丁目,1726,1795,1711,3506
立花五丁目,1752,1975,1905,3880
立花六丁目,1124,1103,1186,2289
東墨田一丁目,64,77,60,137
東墨田二丁目,666,650,594,1244
東墨田三丁目,377,403,373,776
5.町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,791,638,646,1284
両国二丁目,1139,958,906,1864
両国三丁目,1145,842,904,1746
両国四丁目,1101,888,883,1771
千歳一丁目,863,731,741,1472
千歳二丁目,557,497,427,924
千歳三丁目,1199,979,990,1969
緑一丁目,1570,1395,1277,2672
緑二丁目,1638,1564,1645,3209
緑三丁目,1330,1253,1144,2397
緑四丁目,2236,1929,1742,3671
立川一丁目,774,577,593,1170
立川二丁目,811,656,644,1300
立川三丁目,963,803,826,1629
立川四丁目,838,691,603,1294
菊川一丁目,806,729,776,1505
菊川二丁目,1307,1042,1118,2160
菊川三丁目,1992,1712,1828,3540
江東橋一丁目,831,646,609,1255
江東橋二丁目,1204,1021,929,1950
江東橋三丁目,465,337,236,573
江東橋四丁目,1424,1046,1013,2059
江東橋五丁目,1584,1430,1422,2852
横網一丁目,130,152,144,296
横網二丁目,671,570,569,1139
亀沢一丁目,1190,1014,1024,2038
亀沢二丁目,918,803,903,1706
亀沢三丁目,935,961,883,1844
亀沢四丁目,1336,1206,1165,2371
石原一丁目,1421,1167,1209,2376
石原二丁目,1248,1137,1121,2258
石原三丁目,1570,1450,1254,2704
石原四丁目,1374,1296,1210,2506
本所一丁目,1545,1445,1405,2850
本所二丁目,867,785,810,1595
本所三丁目,966,883,880,1763
本所四丁目,1206,1118,1077,2195
東駒形一丁目,714,573,597,1170
東駒形二丁目,807,736,738,1474
東駒形三丁目,808,717,701,1418
東駒形四丁目,1360,1184,1163,2347
吾妻橋一丁目,1228,967,1037,2004
吾妻橋二丁目,843,659,677,1336
吾妻橋三丁目,828,776,813,1589
