町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,843,661,680,1341
両国二丁目,1158,953,921,1874
両国三丁目,1143,844,904,1748
両国四丁目,1135,897,908,1805
千歳一丁目,930,787,795,1582
千歳二丁目,556,500,436,936
千歳三丁目,1210,991,988,1979
緑一丁目,1643,1432,1338,2770
緑二丁目,1645,1575,1611,3186
緑三丁目,1441,1326,1228,2554
緑四丁目,2346,2047,1856,3903
立川一丁目,837,611,646,1257
立川二丁目,816,655,655,1310
立川三丁目,975,813,813,1626
立川四丁目,858,698,646,1344
菊川一丁目,863,767,818,1585
菊川二丁目,1316,1049,1129,2178
菊川三丁目,2081,1771,1877,3648
江東橋一丁目,831,636,621,1257
江東橋二丁目,1212,1042,930,1972
江東橋三丁目,470,346,231,577
江東橋四丁目,1410,1036,989,2025
江東橋五丁目,1614,1450,1444,2894
横網一丁目,128,151,143,294
横網二丁目,680,588,572,1160
亀沢一丁目,1206,1029,1041,2070
亀沢二丁目,934,820,924,1744
亀沢三丁目,957,991,928,1919
亀沢四丁目,1377,1251,1184,2435
石原一丁目,1433,1178,1204,2382
石原二丁目,1312,1178,1166,2344
石原三丁目,1567,1442,1283,2725
石原四丁目,1385,1299,1221,2520
本所一丁目,1571,1449,1419,2868
本所二丁目,886,786,821,1607
本所三丁目,993,898,890,1788
本所四丁目,1243,1143,1072,2215
東駒形一丁目,719,588,592,1180
東駒形二丁目,811,738,748,1486
東駒形三丁目,808,709,709,1418
東駒形四丁目,1364,1182,1157,2339
吾妻橋一丁目,1255,976,1056,2032
吾妻橋二丁目,850,667,687,1354
吾妻橋三丁目,835,784,824,1608
錦糸一丁目,1194,912,861,1773
錦糸二丁目,379,298,243,541
錦糸三丁目,401,334,266,600
錦糸四丁目,889,785,801,1586
太平一丁目,1678,1614,1592,3206
太平二丁目,840,704,582,1286
太平三丁目,714,589,568,1157
太平四丁目,2469,2220,2297,4517
横川一丁目,722,779,684,1463
横川二丁目,833,731,624,1355
横川三丁目,616,553,511,1064
横川四丁目,686,642,547,1189
横川五丁目,1335,1151,1464,2615
業平一丁目,1457,1382,1521,2903
業平二丁目,796,665,643,1308
業平三丁目,846,653,663,1316
業平四丁目,1124,883,971,1854
業平五丁目,1139,1061,1144,2205
向島一丁目,1250,1061,1045,2106
向島二丁目,1395,1205,1270,2475
向島三丁目,2249,1972,1942,3914
向島四丁目,1264,1231,1279,2510
向島五丁目,2385,2057,1987,4044
東向島一丁目,1616,1495,1450,2945
東向島二丁目,2688,2383,2470,4853
東向島三丁目,1591,1593,1653,3246
東向島四丁目,1874,1680,1724,3404
東向島五丁目,2053,1822,1944,3766
東向島六丁目,2799,2633,2662,5295
堤通一丁目,1122,1176,1117,2293
堤通二丁目,2014,1853,2251,4104
墨田一丁目,1265,1373,1468,2841
墨田二丁目,1990,1961,1896,3857
墨田三丁目,1896,1806,1762,3568
墨田四丁目,2419,2308,2435,4743
墨田五丁目,1505,1405,1348,2753
押上一丁目,1278,1028,1116,2144
押上二丁目,2013,1816,1964,3780
押上三丁目,2221,2157,2023,4180
京島一丁目,3540,3331,3560,6891
京島二丁目,982,942,833,1775
京島三丁目,2327,2169,2064,4233
文花一丁目,2892,2520,3029,5549
文花二丁目,1151,1075,1110,2185
文花三丁目,1163,1339,1303,2642
八広一丁目,1748,1695,1579,3274
八広二丁目,2027,2052,2011,4063
八広三丁目,1777,1758,1649,3407
八広四丁目,2064,2093,2002,4095
八広五丁目,1534,1430,1431,2861
八広六丁目,2034,2026,1902,3928
立花一丁目,3069,2766,2917,5683
立花二丁目,821,732,715,1447
立花三丁目,1400,1316,1333,2649
立花四丁目,1775,1802,1726,3528
立花五丁目,1763,2003,1917,3920
立花六丁目,1129,1093,1175,2268
東墨田一丁目,65,78,60,138
東墨田二丁目,689,658,615,1273
東墨田三丁目,374,404,373,777
5.624024103332275 ], [ 139.74260050744542, 35.624023197047826 ], [ 139.74259399025547, 35.62402643710768 ], [ 139.7425913346778, 35.624031753249831 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 8704, "SAFIELD001": 7995, "SAFIELD002": 1, "SAFIELD003": 10.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.74290750798789, 35.624039652700681 ], [ 139.74291214016804, 35.62404371238749 ], [ 139.74292405379529, 35.624052104162665 ], [ 139.74292979422583, 35.624052378884272 ], [ 139.74293443290097, 35.624050669742829 ], [ 139.74294316160464, 35.624044276493642 ], [ 139.74294548576037, 35.624039140371089 ], [ 139.74294604607226, 35.624031749475101 ], [ 139.74294417497489, 35.62402670034308 ], [ 139.74293468768585, 35.624020473702544 ], [ 139.7429304943613, 35.624018848072005 ], [ 139.74292994297656, 35.624018306830237 ], [ 139.7429195647882, 35.624018930008347 ], [ 139.74290851588574, 35.624026943998551 ], [ 139.74290750798789, 35.624039652700681 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 8705, "SAFIELD001": 7945, "SAFIELD002": 1, "SAFIELD003": 1.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.74312925409228, 35.62407984020323 ], [ 139.74313178881013, 35.624083808173147 ], [ 139.74313929177782, 35.624087509448493 ], [ 139.74314437123599, 35.624086521732998 ], [ 139.74314514929094, 35.624081835139236 ], [ 139.74313963562736, 35.624076242455438 ], [ 139.74313146561124, 35.624076687028861 ], [ 139.74312925409228, 35.62407984020323 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 8706, "SAFIELD001": 7902, "SAFIELD002": 1, "SAFIELD003": 4.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.74252666388347, 35.624109133068742 ], [ 139.74252996545349, 35.624118329633447 ], [ 139.74253360820754, 35.624118692930914 ], [ 139.74254255173631, 35.624117618014921 ], [ 139.74254531741323, 35.624112572370905 ], [ 139.7425515043326, 35.624108520822844 ], [ 139.74255239353437, 35.624103203350693 ], [ 139.74254809287112, 35.624098873485899 ], [ 139.74254279576601, 35.624097066734137 ], [ 139.74254235478216, 35.624096525573805 ], [ 139.74253639283887, 35.624096881632823 ], [ 139.74252876645477, 35.624104717891335 ], [ 139.74252666388347, 35.624109133068742 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 8707, "SAFIELD001": 7878, "SAFIELD002": 1, "SAFIELD003": 14.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.74361717072421, 35.624121397593704 ], [ 139.74362642972955, 35.62413438436073 ], [ 139.74363481571444, 35.624138266538694 ], [ 139.74364298462686, 35.624138813448354 ], [ 139.74365204729861, 35.624129896532388 ], [ 139.74365404242923, 35.624122777115225 ], [ 139.74365858347585, 35.624109620346765 ], [ 139.74366013821779, 35.624101418945628 ], [ 139.74366445474109, 35.624091597115935 ], [ 139.74366678247492, 35.624083216014 ], [ 139.74366435802881, 35.624079338275379 ], [ 139.74366126937869, 35.624077082526433 ], [ 139.74366071788796, 35.62407663142595 ], [ 139.74365519643902, 35.624077979386243 ], [ 139.74364602730031, 35.6240833808411 ], [ 139.74364436034662, 35.624093204642612 ], [ 139.74364523306866, 35.62410257964472 ], [ 139.74364081248535, 35.624106722701981 ], [ 139.74362932778581, 35.624109598567557 ], [ 139.74361938403752, 35.624116621927676 ], [ 139.74361717072421, 35.624121397593704 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 8708, "SAFIELD001": 7877, "SAFIELD002": 1, "SAFIELD003": 1.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.7432318653035, 35.624133098408208 ], [ 139.74323395944381, 35.624136164666417 ], [ 139.74324080043235, 35.624139504888355 ], [ 139.74324488832485, 35.624136713667077 ], [ 139.74324345870056, 35.62413175500788 ], [ 139.74323937687507, 35.62412913795346 ], [ 139.74323893588632, 35.624128596795678 ], [ 139.74323429802209, 35.624129584845399 ], [ 139.7432318653035, 35.624133098408208 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 8709, "SAFIELD001": 7841, "SAFIELD002": 1, "SAFIELD003": 15.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.74310478548031, 35.624142557931052 ], [ 139.74310797823796, 35.624150402328375 ], [ 139.74311691457382, 35.62415572716256 ], [ 139.74312574415666, 35.624157806948055 ], [ 139.74313368903032, 35.624161238140587 ], [ 139.74314097849563, 35.624158449319751 ], [ 139.74314782798436, 35.624154217961092 ], [ 139.74315434536479, 35.624150797595469 ], [ 139.7431586599285, 35.624142778542613 ], [ 139.74315899932259, 35.624135477618395 ], [ 139.74314973755878, 35.624125014677539 ], [ 139.74314322777181, 35.624121674698372 ], [ 139.74314179400395, 35.624120411693006 ], [ 139.74313318218552, 35.624121036211804 ], [ 139.74312534164022, 35.624123013377528 ], [ 139.74311694160778, 35.624131660336033 ], [ 139.74310478548031, 35.624142557931052 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 8710, "SAFIELD001": 7805, "S
