Ａ自治体名（障害者サービス担当館）,拡大読書器,音声拡大読書器,点字プリンタ,カセットレコーダー（例　ソニーＴＣＲＸ１０００Ｔ・２０００Ｔ、その他）,デジタル録音機デジタル録音機　ＤＲ－１,デジタル録音機オタリテック　ＤＸ－５,デジタル録音機オタリテック　ＤＸ－５Ｕ,デジタル録音機その他の機種,デイジー関連ＰＬＥＸＴＡＬＫ　ＰＴＲ１,デイジー関連ＰＬＥＸＴＡＬＫ　ＰＴＲ２,デイジー関連プレクストークポケット　ＰＴＰ１,デイジー関連プレクストークリンクポケット,デイジー関連ＤＡＩＳＹ再生機　ＰＬＥＸＴＡＬＫ　ＰＴＮ１,デイジー関連ＤＡＩＳＹ再生機　ＰＬＥＸＴＡＬＫ　ＰＴＮ２
東京都,2,2,3,10,2,1,1,0,3,3,9,0,0,4
千代田区,3,1,0,0,0,0,0,0,0,3,0,0,0,5
中央区,1,0,0,0,0,0,0,0,0,0,0,0,3,0
港区,5,0,0,4,3,0,0,0,2,0,1,0,3,5
新宿区（戸山）,1,1,1,5,3,1,0,0,1,4,8,0,3,6
文京区,3,2,0,3,0,0,0,0,0,1,0,0,0,2
台東区,1,0,0,0,0,0,0,0,0,0,6,0,42,0
墨田区,1,1,2,4,4,0,0,2,0,1,0,3,0,4
江東区,1,1,1,14,10,0,0,0,0,6,0,0,0,5
品川区,1,0,1,2,0,0,0,0,0,0,0,0,3,6
目黒区,3,1,2,11,16,0,0,0,1,0,0,0,1,2
大田区,3,0,0,10,1,0,0,2,0,0,0,0,0,12
世田谷区,2,0,0,0,0,0,0,0,0,1,0,0,0,8
渋谷区,1,0,0,3,1,0,0,0,2,3,1,0,2,6
中野区,2,0,0,1,1,0,0,0,1,0,0,0,3,3
杉並区,0,0,0,12,0,0,0,0,0,0,0,0,4,2
豊島区,1,0,2,4,0,0,0,0,0,2,0,0,0,15
北区,2,2,1,4,2,0,0,2,0,2,0,0,4,12
荒川区,3,1,1,1,1,0,0,0,0,1,0,0,3,11
板橋区,6,0,0,10,0,0,0,0,1,0,0,0,9,0
練馬区,1,1,1,3,3,0,1,1,0,3,0,0,0,2
足立区,1,0,1,0,0,0,0,0,0,7,0,0,0,6
葛飾区,3,1,1,0,0,0,0,0,0,2,0,0,3,0
江戸川区,4,0,2,5,5,0,0,0,1,3,1,0,0,2
八王子市,1,0,1,1,0,0,0,0,0,6,0,0,0,0
立川市,3,0,3,6,4,0,0,0,0,1,0,0,2,3
武蔵野市,2,2,1,37,2,0,1,0,0,2,0,1,2,5
三鷹市,1,1,1,5,4,0,0,0,0,2,0,0,0,3
青梅市,2,0,1,2,4,0,0,0,0,0,1,0,4,2
府中市,1,1,1,0,1,0,0,0,0,4,0,0,2,4
昭島市,0,1,0,6,0,0,1,1,0,2,1,0,2,1
調布市,2,0,2,17,3,0,0,0,4,6,4,2,6,9
町田市,1,0,1,9,0,0,2,0,0,1,0,0,0,0
小金井市,1,0,1,0,0,0,0,0,0,5,0,0,0,0
小平市（小川西町）,8,0,0,2,1,0,1,0,0,0,0,0,0,5
日野市,2,1,1,3,7,0,1,0,1,5,0,0,4,6
東村山市（富士見）,1,0,0,3,3,0,0,5,0,2,0,0,0,2
国分寺市（光）,3,0,0,8,0,0,0,0,0,0,0,0,3,7
国立市,0,0,1,8,1,0,0,1,0,8,0,0,5,0
福生市,1,0,0,1,0,0,0,0,0,0,0,0,1,0
狛江市,1,0,0,1,0,0,1,0,1,1,1,0,1,2
東大和市,1,0,1,4,0,0,0,0,1,1,0,0,0,0
清瀬市,2,1,0,1,3,0,0,0,0,0,1,0,0,2
東久留米市,2,0,0,6,1,0,0,0,0,1,0,0,0,3
武蔵村山市（中藤）,0,1,0,0,0,0,0,0,0,0,0,0,0,0
多摩市（永山）,4,1,2,11,0,0,0,0,1,1,0,2,0,3
稲城市,1,1,1,0,0,0,0,0,0,3,0,0,0,1
羽村市,2,0,0,0,0,0,0,0,0,1,0,0,0,0
あきる野市,2,1,1,0,0,0,1,0,0,1,0,0,0,3
西東京市（谷戸）,5,0,1,17,1,0,0,0,1,1,0,0,8,4
瑞穂町,1,0,0,0,0,0,0,0,0,1,0,0,0,0
日の出町,0,0,0,3,0,0,0,0,0,0,0,0,0,1
奥多摩町,0,0,0,0,0,0,0,0,0,0,0,0,0,0
檜原村,1,0,0,0,0,0,0,0,0,0,0,0,0,0
大島町,0,0,0,0,0,0,0,0,0,0,0,0,0,1
三宅村,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八丈町,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神津島,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    {
 区分,雑誌タイトル名,種別,所蔵自治体名
アルファベット行,ＤＩＭＥ（月刊）※「伊集院光の深夜２７時の買い物」のみ作成,テープ,
アルファベット行,ＤＩＭＥ（月刊）※「伊集院光の深夜２７時の買い物」のみ作成,デイジー,西東京市
アルファベット行,Ｊトレイン（季刊）,テープ,
アルファベット行,Ｊトレイン（季刊）,デイジー,西東京市
アルファベット行,ＴＶＬＩＦＥ（隔週刊）,テープ,文京区
アルファベット行,ＴＶＬＩＦＥ（隔週刊）,デイジー,
ア行,アエラ（週刊）,テープ,
ア行,アエラ（週刊）,デイジー,八王子市
ア行,朝日新聞（抄録）（月刊）,テープ,
ア行,朝日新聞（抄録）（月刊）,デイジー,国立市
ア行,浮巣（月刊）,テープ,大田区
ア行,浮巣（月刊）,デイジー,大田区
ア行,エコノミスト（週刊）,テープ,
ア行,エコノミスト（週刊）,デイジー,練馬区
ア行,大相撲ジャーナル,テープ,
ア行,大相撲ジャーナル,デイジー,練馬区
ア行,おそい・はやい・たかい・ひくい（隔月）,テープ,
ア行,おそい・はやい・たかい・ひくい（隔月）,デイジー,豊島区
カ行,角川俳句（月刊）,テープ,
カ行,角川俳句（月刊）,デイジー,町田市
カ行,きょうの健康（隔月）,テープ,文京区
カ行,きょうの健康（隔月）,デイジー,
カ行,近代中小企業（月刊）,テープ,
カ行,近代中小企業（月刊）,デイジー,墨田区
カ行,経済情報（月２回）,テープ,
カ行,経済情報（月２回）,デイジー,墨田区
カ行,広報日の出,テープ,
カ行,広報日の出,デイジー,日の出町
カ行,コラム読み比べ（毎日、日経、読売、産経）（月刊）,テープ,
カ行,コラム読み比べ（毎日、日経、読売、産経）（月刊）,デイジー,国立市
カ行,今月の本棚（月刊）,テープ,
カ行,今月の本棚（月刊）,デイジー,豊島区
サ行,小説新潮（月刊）,テープ,
サ行,小説新潮（月刊）,デイジー,世田谷区
サ行,新潮（月刊）,テープ,
サ行,新潮（月刊）,デイジー,豊島区
サ行,新潮４５（月刊）,テープ,
サ行,新潮４５（月刊）,デイジー,杉並区
サ行,ステラ（週刊）,テープ,大田区
サ行,ステラ（週刊）,デイジー,大田区
サ行,総合リハビリテーション（隔月）,テープ,
サ行,総合リハビリテーション（隔月）,デイジー,大田区
タ行,食べもの通信（月刊）,テープ,練馬区
タ行,食べもの通信（月刊）,デイジー,
タ行,多摩のあゆみ（季刊）,テープ,
タ行,多摩のあゆみ（季刊）,デイジー,都立多摩
タ行,ダンスファン,テープ,
タ行,ダンスファン,デイジー,練馬区
タ行,鉄道ファン（月刊）,テープ,
タ行,鉄道ファン（月刊）,デイジー,町田市
タ行,東京人（月刊）,テープ,
タ行,東京人（月刊）,デイジー,練馬区
タ行,東京新聞（筆洗）,テープ,
タ行,東京新聞（筆洗）,デイジー,昭島市
タ行,図書（月刊）,テープ,
タ行,図書（月刊）,デイジー,東村山市（富士見）
タ行,虎屋文庫資料展（季刊）,テープ,
タ行,虎屋文庫資料展（季刊）,デイジー,港区
ナ行,日経トップリーダー（月刊）,テープ,
ナ行,日経トップリーダー（月刊）,デイジー,墨田区
ナ行,日経ヘルス（月刊）,テープ,
ナ行,日経ヘルス（月刊）,デイジー,大田区
ナ行,ニュートン（月刊）,テープ,大田区
ナ行,ニュートン（月刊）,デイジー,大田区
ハ行,俳句雑誌「多磨」（月刊）,テープ,東大和市（音声ＣＤ版）
ハ行,俳句雑誌「多磨」（月刊）,デイジー,東大和市
ハ行,ハルメク（月刊）※改題前誌いきいき（月刊）平成２８年５月号より名称変更,テープ,江東区
ハ行,ハルメク（月刊）※改題前誌いきいき（月刊）平成２８年５月号より名称変更,デイジー,江東区
ハ行,文藝,テープ,
ハ行,文藝,デイジー,杉並区
ハ行,ベターホーム（月刊）,テープ,練馬区
ハ行,ベターホーム（月刊）,デイジー,
ハ行,ぽけっと（月刊）※発行練馬区社会福祉協議会,テープ,練馬区
ハ行,ぽけっと（月刊）※発行練馬区社会福祉協議会,デイジー,
マ行,毎日新聞（書評）,テープ,
マ行,毎日新聞（書評）,デイジー,都立多摩あきる野市
マ行,毎日新聞読書欄（月刊）,テープ,
マ行,毎日新聞読書欄（月刊）,デイジー,杉並区
マ行,町かど（月２回）,テープ,八王子市
マ行,町かど（月２回）,デイジー,八王子市
マ行,港区情報誌「キスポート」（月刊）,テープ,
マ行,港区情報誌「キスポート」（月刊）,デイジー,港区
ヤ行,横浜ラポールニュース（月刊）,テープ,町田市
ヤ行,横浜ラポールニュース（月刊）,デイジー,
ラ行,ランナーズ（週刊）,テープ,
ラ行,ランナーズ（週刊）,デイジー,多摩市（永山）
ype": "Feature",
            "geometry": {
                "type": "Point",
                "coordinates": [
                    139.7336871,
                    35.6534375,
                    0
                ]
            },
            "properties": {
                "蛹ｺ蛻�":"逾樒､ｾ莉城魅",
