一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
283,北区桐ヶ丘１－９,35.776329,139.708298,JGD2011,都道常盤台赤羽線,A,2009-02-03,2009-02-04,4,3,3.5,1.2,69,66
284,北区上十条４－９,35.763569,139.715408,JGD2011,都道環状７号線（環七通り）,C,2009-02-03,2009-02-04,4,4,4.0 ,1.2,78,76
286,荒川区荒川２－２,35.736259,139.783386,JGD2011,都道王子千住南砂町線（明治通り）,c,2008-06-02,2008-06-06,4,6,4.2,1.5,72,70
287,荒川区東尾久５－６,35.747059,139.769058,JGD2011,都道台東鳩ヶ谷線（尾久橋通り）,c,2008-04-21,2008-04-25,4,4,3.2,1.5,74,70
288,荒川区荒川３－６７,35.734917,139.778183,JGD2011,都道上野尾竹橋線（尾竹橋通り）,c,2008-09-29,2008-10-03,4,4,3.4,1.4,69,67
289,荒川区町屋３－８,35.746952,139.782974,JGD2011,都道上野尾竹橋線（尾竹橋通り）,c,2008-10-20,2008-10-24,4,2,3.5,1.5,69,67
292,荒川区東日暮里５－４２,35.727264,139.774734,JGD2011,都道台東鳩ヶ谷線（尾久橋通り）,C,2008-09-17,2008-09-18,4,4,6.6,1.2,66,62
293,荒川区町屋８－３,35.748070,139.784546,JGD2011,都道上野尾竹橋線（尾竹橋通り）,C,2008-09-17,2008-09-18,4,2,3.5,1.2,68,65
295,板橋区高島平１－９－１,35.781695,139.667824,JGD2011,都道補助２０１号,c,2008-11-17,2008-11-20,4,6,2.0 ,1.0 ,71,67
296,板橋区双葉町４２－１,35.759457,139.700028,JGD2011,都道環状７号線（環七通り）,c,2008-10-14,2008-10-17,4,4,4.0 ,1.0 ,69,67
297,板橋区蓮根３－６－３,35.785884,139.675917,JGD2011,都道補助２０２号,c,2008-10-20,2008-10-23,4,6,4.0 ,1.0 ,72,69
299,板橋区熊野町２５－２,35.744221,139.707901,JGD2011,都道環状６号線（山手通り）／首都高速５号（池袋線）,c,2008-07-02,2008-07-03,4,6,4.0 ,1.0 ,74,73
