一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
432,八王子市北野町５４９－５,35.646137,139.353210,JGD2011,国道１６号線,c,2008-12-11,2008-12-12,3,6,8.3,1.2,68,67
433,八王子市大谷町３５５－１,35.677241,139.354245,JGD2011,国道１６号線,b,2008-12-11,2008-12-12,3,6,0.0 ,1.2,72,71
434,八王子市明神町４－２１－１,35.660000,139.345459,JGD2011,国道２０号線,c,2008-12-11,2008-12-12,3,4,3.6,1.2,67,64
435,八王子市八日町６－２,35.660316,139.329941,JGD2011,国道２０号線,c,2008-12-11,2008-12-12,3,4,5.0 ,1.2,71,69
436,八王子市並木町１５－１５,35.651310,139.300201,JGD2011,国道２０号線,b,2008-12-08,2008-12-09,3,4,4.5,1.2,71,67
437,八王子市加住町１－１７０－２,35.700542,139.316833,JGD2011,国道４１１号線,a,2008-12-08,2008-12-09,3,2,1.5,1.2,70,69
454,八王子市北野町５２９,35.648705,139.351425,JGD2011,国道１６号線,C,2008-12-03,2008-12-04,3,4,16.8,1.2,57,54
455,八王子市大谷町４８,35.668865,139.353210,JGD2011,国道１６号線,B,2008-12-10,2008-12-11,3,4,25.0 ,1.2,57,52
456,八王子市大和田町３－５－２０,35.662571,139.354965,JGD2011,国道２０号線,C,2008-12-10,2008-12-11,3,4,3.8,1.2,71,71
457,八王子市並木町１２－１０,35.652428,139.301926,JGD2011,国道２０号線（甲州街道）,B,2008-12-10,2008-12-11,3,4,5.0 ,1.2,73,72
461,八王子市万町１１２,35.653194,139.332748,JGD2011,国道１６号線,C,2008-12-08,2008-12-09,3,4,2.5,1.2,72,72
462,八王子市暁町１－２３,35.670490,139.332275,JGD2011,国道１６号線,C,2008-12-11,2008-12-12,3,2,4.5,1.2,72,74
463,八王子市左入町１５０,35.682304,139.345642,JGD2011,国道１６号線,C,2008-12-11,2008-12-12,3,4,2.0 ,1.2,68,65
464,八王子市左入町３６５,35.684937,139.345856,JGD2011,国道１６号線,C,2008-11-26,2008-11-27,3,4,1.9,1.2,64,62
495,青梅市日向和田３－７０６,35.786888,139.230652,JGD2011,国道八王子甲府線（青梅街道）,a,2008-11-04,2008-11-07,3,2,2.0 ,1.6,69,64
497,青梅市友田町２－２０６,35.772270,139.288467,JGD2011,国道４１１号線（青梅街道）,C,2008-12-04,2008-12-05,3,2,4.3,1.2,69,67
503,府中市美好町２－４,35.672638,139.466782,JGD2011,国道２０号線（甲州街道）,c,2008-11-25,2008-11-27,3,4,3.0 ,2.0 ,75.9,74.1
513,府中市若松町２－２,35.670658,139.496155,JGD2011,国道２０号線,C,2008-12-11,2008-12-12,3,4,2.5,1.2,70,68
514,府中市美好町１－１８,35.673279,139.470093,JGD2011,国道２０号線,C,2009-03-04,2009-03-04,3,4,3.5,1.2,70,64
517,昭島市緑町４－２５－１１,35.710136,139.341843,JGD2011,国道１６号線,b,2008-09-06,2008-09-08,3,5,5.2,1.2,73,72
518,昭島市田中町２－２８－２５,35.704838,139.349457,JGD2011,国道１６号線,b,2008-12-16,2008-12-18,3,5,8.5,1.2,72,71
526,昭島市拝島町１－８,35.707340,139.346237,JGD2011,国道１６号線,B,2008-11-26,2008-11-27,3,2,2.0 ,1.2,70,68
527,昭島市松原町５－１９,35.719372,139.339523,JGD2011,国道１６号線,C,2008-12-03,2008-12-04,3,2,2.5,1.2,68,64
