荳�騾｣逡ｪ蜿ｷ,貂ｬ螳壼慍轤ｹ縺ｮ菴乗園,邱ｯ蠎ｦ,邨悟ｺｦ,蠎ｧ讓咏ｳｻ,驕楢ｷｯ蜷�,迺ｰ蠅�渕貅夜｡槫梛遲�,貂ｬ螳夐幕蟋句ｹｴ譛域律,貂ｬ螳夂ｵゆｺ�ｹｴ譛域律,驕楢ｷｯ遞ｮ蛻･,霆顔ｷ壽焚,霆企％遶ｯ縺九ｉ縺ｮ霍晞屬(m),蝨ｰ荳翫°繧峨�鬮倥＆(��),譏ｼ髢鍋ｭ我ｾ｡鬨帝浹繝ｬ繝吶Ν(Leq)(dB),螟憺俣遲我ｾ｡鬨帝浹繝ｬ繝吶Ν(Leq)(dB)
316,邱ｴ鬥ｬ蛹ｺ螟ｧ豕臥伴�難ｼ搾ｼ�,35.763367,139.600479,JGD2011,譚ｱ莠ｬ螟也腸閾ｪ蜍戊ｻ企％,B,2008-12-15,2008-12-16,1,6,19.0,1.2,63,58
317,邱ｴ鬥ｬ蛹ｺ螟ｧ豕臥伴�抵ｼ搾ｼ�,35.757301,139.601166,JGD2011,髢｢雜願�蜍戊ｻ企％�域眠貎溽ｷ夲ｼ�,A,2008-12-15,2008-12-16,1,6,6.5,1.2,63,60
318,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴�難ｼ搾ｼ抵ｼ�,35.764153,139.579803,JGD2011,髢｢雜願�蜍戊ｻ企％�域眠貎溽ｷ夲ｼ� ,A,2008-12-15,2008-12-16,1,6,9.0,1.2,66,61
516,蠎應ｸｭ蟶よ弍謾ｿ�抵ｼ搾ｼ托ｼ�,35.660801,139.494766,JGD2011,荳ｭ螟ｮ閾ｪ蜍戊ｻ企％蟇悟｣ｫ蜷臥伐邱�,A,2008-11-26,2008-11-27,1,4,2.7,1.2,66,64
,,,,,,一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
2,千代田区麹町６－２６-２,35.685215,139.733078,JGD2011,国道２０号線（新宿通り）,c,2008-06-04,2008-06-06,3,6,6.9,1.5,68,66
12,千代田区神田岩本町１５,35.696655,139.775024,JGD2011,国道４号（日光街道）,c,2008-11-11,2008-11-18,3,7,7.0 ,1.5,70,69
15,千代田区丸の内１－１－３,35.684478,139.762219,JGD2011,国道１号線（日比谷通り）,c,2009-02-03,2009-02-05,3,7,5.0 ,1.5,67,64
16,千代田区日比谷公園,35.673889,139.756195,JGD2011,国道１号線（晴海通り）,b,2009-02-03,2009-02-05,3,10,3.4,1.5,70,70
17,千代田区霞ヶ関２－１,35.676193,139.751129,JGD2011,国道２０号線（内堀通り）,c,2009-02-03,2009-02-05,3,8,4.0 ,1.5,73,71
19,千代田区外神田１－１,35.697899,139.770203,JGD2011,国道１７号線（中央通り）,C,2008-12-04,2008-12-05,3,4,3.4,1.2,72,69
25,中央区日本橋小伝馬町２０－３,35.692356,139.780548,JGD2011,国道６号線（江戸通り）,c,2008-05-27,2008-05-30,3,6,4.0 ,1.2,68,65
34,中央区京橋２－３－１３,35.676660,139.771215,JGD2011,国道１５号線（中央通り）,c,2009-03-10,2009-03-13,3,5,5.0 ,1.2,68,66
36,中央区東日本橋２－２４,35.694462,139.786575,JGD2011,国道１４号線,C,2008-10-28,2008-10-29,3,6,7.8,1.2,71,68
37,中央区日本橋本町４－８,35.689487,139.774872,JGD2011,国道４号線（昭和通り）,C,2008-10-28,2008-10-29,3,4,5.0 ,1.2,68,66
38,中央区日本橋小伝馬町１０,35.691395,139.779129,JGD2011,国道６号線（江戸通り）,C,2008-10-28,2008-10-29,3,4,5.0 ,1.2,69,68
43,港区白金台１－２－３７,35.636738,139.730743,JGD2011,国道１号線（桜田通り）,c,2008-12-18,2008-12-19,3,8,3.2,1.2,66,63
48,港区高輪２－１３－８,35.634528,139.737475,JGD2011,国道１５号線（第一京浜）,c,2008-12-18,2008-12-19,3,7,3.2,1.2,70,68
49,港区北青山３－３－１６,35.667717,139.714323,JGD2011,国道２４６号線（青山通り）,c,2008-12-18,2008-12-19,3,8,6.0 ,1.2,70,70
52,港区高輪１－２３,35.637932,139.732086,JGD2011,国道１号線,A,2008-12-18,2008-12-19,3,8,3.0 ,1.2,67,65
53,港区芝浦１－７,35.648232,139.754547,JGD2011,国道１３０号線,C,2008-12-16,2008-12-17,3,6,6.5,1.2,72,68
84,文京区春日２－１２－１２,35.712570,139.742920,JGD2011,国道２５４号線,C,2008-11-19,2008-11-20,3,4,5.9,1.2,67,63
89,台東区浅草橋３－２０－１８,35.700584,139.788208,JGD2011,国道６号線（江戸通り）,c,2009-02-16,2009-02-20,3,6,5.0 ,1.0 ,67,67
90,台東区駒形１－４－１５,35.707043,139.794754,JGD2011,国道６号線（江戸通り）,c,2009-02-23,2009-02-27,3,4,5.0 ,1.0 ,65,64
95,墨田区東向島１－２８－１１,35.718777,139.814026,JGD2011,国道６号線（水戸街道）,c,2008-09-08,2008-09-12,3,4,3.0 ,2.0 ,71,69
96,墨田区墨田４－６１-９,35.730038,139.826355,JGD2011,国道６号線（水戸街道）,c,2008-09-08,2008-09-12,3,4,4.0 ,1.2,73,72
99,墨田区江東橋１－７－１４,35.695141,139.809860,JGD2011,国道１４号線（京葉道路）,c,2008-10-06,2008-10-10,3,4,5.0 ,1.2,71,68
100,墨田区緑２－１３－７,35.694611,139.800964,JGD2011,国道１４号線（京葉道路）,c,2008-12-01,2008-12-05,3,4,5.0 ,1.2,73,71
105,墨田区向島２－１３,35.715195,139.808823,JGD2011,国道６号線（水戸街道）,C,2008-10-16,2008-10-17,3,4,4.2,1.2,71,68
106,墨田区緑１－１４,35.694401,139.799683,JGD2011,国道１４号線（京葉道路）,C,2008-10-16,2008-10-17,3,4,5.0 ,1.2,71,71
107,墨田区江東橋１－１２,35.695564,139.810822,JGD2011,国道１４号線（京葉道路）,C,2008-10-16,2008-10-17,3,6,6.5,1.2,70,66
111,江東区亀戸７－４２－５,35.696941,139.835236,JGD2011,国道１４号線（京葉道路）,c,2008-10-21,2008-10-22,3,6,3.5,2.3,73,70
120,江東区東雲２－５,35.640823,139.799210,JGD2011,国道３５７号線（湾岸道路）,c,2008-05-22,2008-05-23,3,4,4.0 ,1.5,74,73
,,,,,一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
294,板橋区板橋２－６７-７,35.751736,139.709290,JGD2011,国道１７号線（中山道）,c,2008-07-15,2008-07-18,3,6,4.0 ,1.0 ,67,65
298,板橋区南常磐台２－８－９,35.756562,139.686301,JGD2011,国道２５４号線（川越街道）,c,2008-09-02,2008-09-05,3,4,4.0 ,1.0 ,70,70
300,板橋区大山町１３－１,35.747094,139.700047,JGD2011,国道２５４号線（川越街道）,c,2008-09-10,2008-09-11,3,4,4.0 ,1.0 ,71,68
301,板橋区本町４１－３,35.757792,139.707237,JGD2011,国道１７号線（中山道）／ 首都高速５号（池袋線）,c,2008-09-11,2008-09-12,3,6,4.0 ,1.0 ,76,75
303,板橋区大原町６－５,35.770150,139.700783,JGD2011,国道１７号線（中山道）,c,2008-07-08,2008-07-09,3,4,4.0 ,1.0 ,71,69
304,板橋区東坂下２－２０－１,35.787265,139.685942,JGD2011,国道１７号線（中山道）,c,2008-09-26,2008-09-27,3,4,4.0 ,1.0 ,71,70
309,板橋区赤塚７－２７－１５,35.779569,139.647669,JGD2011,国道新大宮バイパス,b,2008-09-29,2008-09-30,3,3,4.0 ,1.0 ,69,66
310,板橋区赤塚新町３－３－９,35.770729,139.641541,JGD2011,国道２５４号線（川越街道）,c,2008-09-30,2008-10-01,3,4,4.0 ,1.0 ,73,72
319,練馬区北町３－１５,35.768360,139.651886,JGD2011,国道１７号線,C,2009-03-10,2009-03-11,3,4,11.0 ,1.2,62,60
320,練馬区錦２－１１,35.763020,139.667130,JGD2011,国道２５４号線,C,2009-03-10,2009-03-11,3,4,4.1,1.2,73,73
321,練馬区北町８－２８,35.767879,139.649216,JGD2011,国道２５４号線,C,2009-03-10,2009-03-11,3,4,4.1,1.2,68,65
359,足立区千住河原町１０,35.743710,139.797867,JGD2011,国道４号線,c,2008-12-03,2008-12-04,3,7,4.0 ,1.5,72,70
360,足立区中央本町１－５－３,35.771118,139.803574,JGD2011,国道４号線,c,2008-09-03,2008-09-04,3,4,4.0 ,1.5,67,66
361,足立区西保木間１－１５,35.796452,139.801788,JGD2011,国道４号線,c,2008-10-28,2008-10-29,3,4,4.8,1.5,74,72
366,足立区中央本町１－１６,35.774796,139.803711,JGD2011,国道４号線,c,2008-11-05,2008-11-06,3,4,4.0 ,1.0 ,71,69
374,足立区中央本町１－１６,35.774796,139.803711,JGD2011,国道４号線,C,2008-11-05,2008-11-06,3,4,4.3,1.2,71,69
388,葛飾区金町５－２４,35.765957,139.868622,JGD2011,国道６号線（水戸街道）,c,2008-07-23,2008-07-30,3,8,3.8,1.2,67,64
389,葛飾区四つ木５－１５,35.742584,139.841217,JGD2011,国道６号線（水戸街道）,c,2008-08-19,2008-08-26,3,4,4.7,1.2,69,68
406,葛飾区東金町８－１０,35.779598,139.885056,JGD2011,国道２９８号線,c,2008-07-23,2008-07-30,3,6,4.7,1.2,63,56
407,葛飾区東金町８－１６,35.779942,139.886841,JGD2011,国道２９８号線,a,2008-07-23,2008-07-30,3,6,5.3,1.2,58,52
408,葛飾区東金町８－３３,35.782219,139.884689,JGD2011,国道２９８号線,a,2008-07-23,2008-07-30,3,6,5.8,1.2,63,58
409,葛飾区金町３－１９,35.767693,139.872955,JGD2011,国道６号線（水戸街道・金町陸橋）,c,2008-07-31,2008-08-07,3,8,4.6,1.8,71,68
410,葛飾区金町３－１９,35.767693,139.872955,JGD2011,国道６号線（水戸街道・金町陸橋）,c,2008-07-31,2008-08-07,3,8,4.6,11.8,71,68
411,葛飾区金町３－１９,35.767693,139.872955,JGD2011,国道６号線（水戸街道・金町陸橋）,c,2008-07-31,2008-08-07,3,8,4.6,17.3,73,71
412,葛飾区金町１－１９,35.764439,139.867157,JGD2011,国道６号線,C,2008-11-20,2008-11-21,3,4,4.6,1.2,71,71
