項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
議会費（千円）,79142,19720,51676,37133,886494,79142
議会費構成比（％）,0.8,1.6,1.4,1.2,1.3,0.8
総務費（千円）,2036797,261129,901968,845909,13925167,2036797
総務費構成比（％）,20.1,21.2,24.4,28,20.1,20.1
民生費（千円）,1561738,151100,554499,633748,16182907,1561738
民生費構成比（％）,15.4,12.2,15,21,23.4,15.4
衛生費（千円）,1378365,208299,371334,361760,8478099,1378365
衛生費構成比（％）,13.6,16.9,10,12,12.3,13.6
労働費（千円）,99639,27879,59651,66198,763294,99639
労働費構成比（％）,1,2.3,1.6,2.2,1.1,1
農林水産業費（千円）,438951,100315,225271,232765,3562273,438951
農林水産業費構成比（％）,4.3,8.1,6.1,7.7,5.1,4.3
商工費（千円）,518073,171501,331551,203316,2645547,518073
商工費構成比（％）,5.1,13.9,9,6.7,3.8,5.1
土木費（千円）,1575800,173802,450618,262988,9279861,1575800
土木費構成比（％）,15.5,14.1,12.2,8.7,13.4,15.5
消防費（千円）,232926,15851,116983,55277,2632600,232926
消防費構成比（％）,2.3,1.3,3.2,1.8,3.8,2.3
教育費（千円）,782701,66127,316108,221424,5841262,782701
教育費構成比（％）,7.7,5.4,8.5,7.3,8.4,7.7
災害復旧費（千円）,661407,0,0,1919,714768,661407
災害復旧費構成比（％）,6.5,0,0,0.1,1,6.5
公債費（千円）,686070,38198,319435,93941,4104422,686070
公債費構成比（％）,6.8,3.1,8.6,3.1,5.9,6.8
諸支出金（千円）,90024,0,0,0,186633,90024
諸支出金構成比（％）,0.9,0,0,0,0.3,0.9
合計（千円）,10141633,1233921,3699094,3016378,69203327,10141633
合計構成比（％）,100,100,100,100,100,100
,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,-,-,-,-,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,22,-,-,-,-,-,-,-,-,-,-,-,-,1,20,1,20,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,1,10,-,-,-,-,-,-,-,-,-,-,-,-,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,28,3,28,1,14,-,-,1,12,1,2,-,-,-,-,-,-,-,-,-,-,-,-,3,22,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,21,1,18,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,1,1,-,-,-,-,-,-,-,-,1,1,-,-,1,4
5,13120,1312002900,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ鬮倬㍽蜿ｰ,,邱ｴ鬥ｬ蛹ｺ鬮倬㍽蜿ｰ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,169,8,64,-,-,-,-,1,5,3,10,1,6,2,6,1,37,13,105,-,-,-,-,1,1,-,-,2,10,-,-,-,-,10,94,3,7,1,2,-,-,-,-,-,-,-,-,1,2,2,5,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,13,1,1,-,-,-,-,-,-,-,-,1,1,1,8,-,-,1,8,-,-,1,4,-,-,1,4,-,-,-,-,-,-,-,-,4,56,2,19,1,14,-,-,-,-,-,-,-,-,1,5,1,12,-,-,1,12,-,-,-,-,-,-,-,-,-,-,1,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,25,-,-,-,-,-,-,2,15,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,13,-,-,-,-,1,13,-,-,12,343,3,268,-,-,-,-,-,-,1,2,1,2,-,-,1,8,3,6,1,11,-,-,-,-,-,-,1,11,3,48,2,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,14,5,55,4,53,3,50,1,3,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,14,128,1,5,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,7,81,1,14,-,-,6,67,-,-,-,-,-,-,-,-,-,-,2,18,2,18,-,-,2,14,-,-,1,8,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,3,103,3,103,-,-,-,-,3,103,-,-,-,-,-,-,-,-
