要素 , 単位 ,1月 , 2月 , 3月 , 4月   , 5月   , 6月   , 7月   , 8月   , 9月   , 10月   , 11月   , 12月  , 年 
海面気圧 , hPa  ,1015.2,1014.1,1014.1,1013.3,1012.9,1008.7,1009.8,1007.5,1011.3,1017.2,1017.4,1016.4,1013.2
気温／平均気温 , ℃,8,8.4,9.2,14.4,19.1,21,25.8,26,23.1,18.4,14.7,9.2,16.4
気温／最高／平均, ℃  ,11.7,12.5,13.2,17.7,22.8,24.4,29.3,29.4,26.7,21.3,18.1,12.7,20.0
気温／最高／極値, ℃  ,17,17.4,17.3,21.1,25.8,27.9,31.7,33,30.2,27.4,23.2,16.7,33.0
気温／最高／その起日, ℃  ,30,20,20,29,30,23,21,23,13,10,4,25, 8/23  
気温／最低／その起日, ℃  ,4.3,4.6,5.6,11,15.8,18.1,23.2,23.5,20,16.3,11.5,5.8,13.3
気温／最低／極値, ℃  ,-0.8,-0.5,3.8,5.4,9.5,14.5,20.6,19.7,16.7,11,5.8,1.5,-0.8
気温／最低／その起日, ℃  ,25,12,16*,1,3,5,8,2,30,27,21,28, 1/25  
湿度／平均湿度, ％  ,60,63,67,74,78,82,87,87,82,83,71,63,75
湿度／最小／極値, ％  ,14,20,24,31,30,41,56,57,43,33,37,22,14
湿度／最小／その起日, ％  ,25,21,19,23,3*,4,19,26,21,23,21,14, 1/25  
風／平均風速 , m/s  ,5.5,5.1,4.6,5.2,4.3,4.1,4.5,4.2,4.7,5.9,5.2,5.5,4.9
風／最大風速, m/s  ,14.3,18.8,14.5,16.3,11.9,15.2,11.5,12.9,19.3,20.1,16,15.4,20.1
風／風向, m/s  , SW, SSW, WSW, S, ESE, SSW, SSE, S, SW, SSW, SSW, WSW, SSW  
風／その起日, m/s  ,27*,20,7,18,26,21,4,25,18,23,11,26, 10/23  
日照／日照時間 , hr  ,181.9,163.2,184.5,170.7,223.6,161.2,225.4,168.5,129.7,93.4,155.2,182.1,2039.4
日照／日照率 , ％  ,58,54,50,44,52,37,51,41,35,27,50,60,46
降水／降水総量 , mm  ,90.5,68,234,316.5,153.5,228,63,182.5,470,1293,255,33,3387
降水／最大日量降とその起日 , mm  ,61.5,25.5,77.5,118,74.5,81,35.5,38,119,319,99,19.5,319
降水／最大日量降とその起日 , mm  ,8,23,26,18,13,21,26,2,17,22,23,25, 10/22  
降水／日数≧  ０．０ ,,12,16,16,15,8,20,11,21,22,21,12,10,184
降水／日数≧  ０．５ , ,7,8,14,10,4,10,5,15,16,17,10,4,120
降水／日数≧  １．０ , ,5,8,12,9,4,9,5,14,14,17,10,4,111
降水／日数≧１０．０  , ,3,3,6,6,4,6,2,6,9,15,7,1,68
降水／日数≧３０．０  , ,1,0,3,4,2,3,1,3,6,11,2,0,36
天気日数／雨（≧ 0.5mm） ,,7,8,14,10,4,10,5,15,16,17,10,4,120
天気日数／雪 , ,4),5,0,0),0),0,0,0,0),0),0,4),10
天気日数／霧 , ,0),0,0,1),2),0,2,2,0),0),0,0),7
天気日数／不照 , ,3,1,4,6,2,6,1,3,3,14,3,0,46
天気日数／日最大風速≧10m/s , ,11,9,5,9,3,4,3,4,9,11,10,12,90
天気日数／霧 2,-,-,-,-,4,36,1,5,-,-,-,-,1,2,1,3,-,-,-,-,1,26,2,21,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,18,-,-,-,-,-,-,1,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,159,2,6,-,-,1,2,-,-,-,-,-,-,1,4,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,8,149,1,4,1,6,-,-,-,-,-,-,-,-,-,-,-,-,6,139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,1,7,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,17,1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,26,-,-,-,-,-,-,1,26,-,-,-,-,-,-,-,-,-,-,1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,15
6,13119,1311905507,譚ｿ讖句玄,譚ｿ讖句玄鬮伜ｳｶ蟷ｳ,7荳∫岼,譚ｿ讖句玄鬮伜ｳｶ蟷ｳ7荳∫岼,-,-,-,-,-,-,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12,-,-,-,-,-,-,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,16,1,13,-,-,-,-,-,-,-,-,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,3,-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,-,-,1,5,1,2,3,7,1,4,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,24,-,-,-,-,1,24,-,-,16,111,1,17,1,2,1,2,-,-,1,4,1,4,-,-,-,-,1,1,2,13,1,2,-,-,1,11,-,-,10,74,5,64,-,-,1,2,-,-,3,7,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,14,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,13,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,8,-,-,-,-,1,3,1,2,-,-,1,2,-,-,1,1,-,-,1,4,1,4,-,-,-,-,1,4,-,-,-,-,-,-,-,-
