調査期間,対象物質,基準等,区分,施設内５街区青果棟５－１,施設内５街区青果棟５－２,施設内５街区青果棟５－３,施設内５街区屋外,施設内６街区水産仲卸売場棟６－１,施設内６街区水産仲卸売場棟６－２,施設内６街区水産仲卸売場棟６－３,施設内６街区加工パッケージ棟,施設内６街区屋外,施設内７街区水産卸売場棟７－１,施設内７街区水産卸売場棟７－２,施設内７街区水産卸売場棟７－３,施設内７街区管理施設棟,施設内７街区屋外
３月２８日（火）～２９（水）換気直後,ベンゼン（ｍｇ／ｍ３）,0.003,建物１階,-,-,-,-,0.0011,0.0010,0.0010,0.0009,0.0010,0.0008,0.0007,0.0008,0.0008,0.0011
３月２８日（火）～２９（水）換気直後,ベンゼン（ｍｇ／ｍ３）,0.003,地下ピット内,-,-,-,-,0.0012,0.0008,0.0006,0.0009,0.0010,0.0004,不検出,不検出,0.0009,0.0011
３月２８日（火）～２９（水）換気直後,シアン（ｍｇ／ｍ３）,0.003,建物１階,-,-,-,-,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出
３月２８日（火）～２９（水）換気直後,シアン（ｍｇ／ｍ３）,0.003,地下ピット内,-,-,-,-,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出
３月２８日（火）～２９（水）換気直後,水銀（μｇ／ｍ３）,0.04,建物１階,-,-,-,-,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出
３月２８日（火）～２９（水）換気直後,水銀（μｇ／ｍ３）,0.04,地下ピット内,-,-,-,-,不検出,不検出,不検出,不検出,不検出,0.006,0.005,不検出,不検出,不検出
４月４日（火）～５日（水）５街区：換気直後／６・７街区：換気１週間後,ベンゼン（ｍｇ／ｍ３）,0.003,建物１階,0.0010,0.0009,0.0009,0.0011,0.0011,0.0011,0.0010,0.0010,0.0011,0.0009,0.0010,0.0010,0.0009,0.0011
４月４日（火）～５日（水）５街区：換気直後／６・７街区：換気１週間後,ベンゼン（ｍｇ／ｍ３）,0.003,地下ピット内,不検出,不検出,不検出,0.0011,0.0023,0.0022,0.0010,0.0012,0.0011,0.0004,不検出,不検出,0.0011,0.0011
４月４日（火）～５日（水）５街区：換気直後／６・７街区：換気１週間後,シアン（ｍｇ／ｍ３）,0.003,建物１階,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出
４月４日（火）～５日（水）５街区：換気直後／６・７街区：換気１週間後,シアン（ｍｇ／ｍ３）,0.003,地下ピット内,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出
４月４日（火）～５日（水）５街区：換気直後／６・７街区：換気１週間後,水銀（μｇ／ｍ３）,0.04,建物１階,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出
４月４日（火）～５日（水）５街区：換気直後／６・７街区：換気１週間後,水銀（μｇ／ｍ３）,0.04,地下ピット内,0.019,0.017,0.016,不検出,不検出,不検出,不検出,不検出,不検出,0.004,0.004,不検出,不検出,不検出
４月１１日（火）～１２日（水）５街区：換気１週間後／６・７街区：換気直後,ベンゼン（ｍｇ／ｍ３）,0.003,建物１階,0.0011,0.0010,0.0010,0.0011,0.0009,0.0009,0.0009,0.0011,0.0009,0.0010,0.0011,0.0010,0.0010,0.0010
４月１１日（火）～１２日（水）５街区：換気１週間後／６・７街区：換気直後,ベンゼン（ｍｇ／ｍ３）,0.003,地下ピット内,不検出,不検出,不検出,0.0011,0.0020,0.0019,0.0015,0.0013,0.0009,0.0007,0.0003,不検出,0.0013,0.0010
４月１１日（火）～１２日（水）５街区：換気１週間後／６・７街区：換気直後,シアン（ｍｇ／ｍ３）,0.003,建物１階,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出
４月１１日（火）～１２日（水）５街区：換気１週間後／６・７街区：換気直後,シアン（ｍｇ／ｍ３）,0.003,地下ピット内,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出
４月１１日（火）～１２日（水）５街区：換気１週間後／６・７街区：換気直後,水銀（μｇ／ｍ３）,0.04,建物１階,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出
４月１１日（火）～１２日（水）５街区：換気１週間後／６・７街区：換気直後,水銀（μｇ／ｍ３）,0.04,地下ピット内,0.021,0.020,0.021,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.004,不検出,不検出,不検出
k歩15分,1,地下駐車場,0,,,0,,0,,,,,2018-11-08
132195,0000000002,東京都,狛江市,南部地域センター,ナンブチイキセンター,南部地域センター,1309a,狛江市猪方4-11-1,,35.623377 ,139.579809 ,03-3489-2150,,,,日月火水木金土,09:00,21:30,第２・４火曜日及び年末年始(12月28日～１月４日)は休館,,優先駐車場有り；多目的トイレ有り；スロープ有り；エレベーター有り,,,201-0015,,1,1台障がい者専用,1,,使用する部屋ごとに設定,1,市内在住・在勤・在学者が過半数の３名以上の団体,0,,,,,2019-02-25
132195,0000000003,東京都,狛江市,上和泉地域センター,カミイズミチイキセンター,上和泉地域センター,1309a,狛江市和泉本町4-7-51,,35.645149 ,139.568014 ,03-3489-9101,,,,日月火水木金土,09:00,21:30,第２・４火曜日及び年末年始(12月28日～１月４日)は休館,,優先駐車場有り；多目的トイレ有り；スロープ有り；エレベーター有り,,,201-0003,,1,2台障がい者専用,1,,使用する部屋ごとに設定,1,市内在住・在勤・在学者が過半数の３名以上の団体,0,,,,,2019-02-25
132195,0000000004,東京都,狛江市,岩戸地域センター,イワトチイキセンター,岩戸地域センター,1309a,狛江市岩戸南2-2-5,,35.632071 ,139.586045 ,03-3488-7040,,,,日月火水木金土,09:00,21:30,第２・４火曜日及び年末年始(12月28日～１月４日)は休館,授乳スペースあり,優先駐車場有り；多目的トイレ有り；スロープ有り；エレベーター有り,,,201-0005,,1,1台障がい者専用,1,,使用する部屋ごとに設定,1,市内在住・在勤・在学者が過半数の３名以上の団体,0,,,,,2019-02-25
132195,0000000005,東京都,狛江市,野川地域センター,ノガワチイキセンター,野川地域センター,1309a,狛江市西野川1-6-9,,35.646093 ,139.575503 ,03-3480-2211,,,,日月火水木金土,09:00,21:30,第２・４火曜日及び年末年始(12月28日～１月４日)は休館,,優先駐車場有り；多目的トイレ有り；スロープ有り；エレベーター有り,,,201-0001,,1,４台(内１台障がい者専用),1,,使用する部屋ごとに設定,1,市内在住・在勤・在学者が過半数の３名以上の団体,0,,,,,2019-02-25
