年月日,選挙,大島町,利島村,新島村,神津島村,支庁管内,東京都,備考
2007/4/8,都知事選挙（％）,68.41,86.27,71.05,67.35,69.23,54.35,石原都知事3期目
2007/4/22,町村長選挙（％）,82.91,-,-,-,82.91,-,藤井町長3期目
2007/7/29,参院選挙（都選出）（％）,61.57,86.72,65.03,63.39,63.12,57.87,
2007/7/29,参院選挙（比例）（％）,61.57,86.72,65.03,63.39,63.12,57.86,
2008/10/5,町村長選挙（％）,-,無投票,-,-,無投票,-,梅田（和） 村長2期目
2009/7/12,都議会議員選挙（％）,74.88,94.05,78.86,76.26,76.37,54.49,川島都議7期目
2009/8/30,衆院選挙（都選出）（％）,71.11,90.51,74.2,70.73,72.17,66.37,
2009/8/30,衆院選挙（比例）（％）,71.11,90.51,74.05,70.73,72.13,66.35,
2009/12/13,町村長選挙（％）,-,-,84.73,-,84.73,-,出川村長4期目
2010/1/24,都議会議員補欠選挙（％）,73.59,91.3,71.98,72.84,73.51,-,三宅都議1期目
2010/7/11,衆院選挙（都選出）（％）,64.35,89.33,64.82,66.58,65.3,58.7,
2010/7/11,参院選挙（比例）（％）,64.35,89.33,64.82,66.58,65.3,58.69,
2010/9/19,町村長選挙（％）,-,-,-,無投票,無投票,-,石野田村長2期目
2011/4/10,都知事選挙（％）,70.78,86.04,71.03,68.99,70.94,57.8,石原都知事4期目
2011/4/24,町村長選挙（％）,82.75,-,-,-,82.75,-,川島町長1期目
2012/10/7,町村長選挙（％）,-,無投票,-,-,無投票,-,梅田（和）村長3期目
2012/12/16,衆院選挙（都選出）（％）,67.66,89.35,70.23,70.39,69.11,62.2,
2012/12/16,衆院選挙（比例）（％）,67.66,89.35,70.23,70.39,69.11,62.2,
2012/12/16,都知事選挙（％）,68.24,89.73,70.32,70.53,69.53,62.6,猪瀬都知事1期目
2013/6/23,都議会議員選挙（％）,69.36,86.33,65.8,60.09,67.65,43.5,三宅都議2期目
2013/7/21,参院選挙（都選出）（％）,60.52,86.72,58.92,63.28,61.13,53.51,
2013/7/21,参院選挙（比例）（％）,60.51,86.72,58.92,63.28,61.13,53.5,
2013/12/1,町村長選挙（％）,-,無投票,-,-,無投票,-,前田村長1期目
2013/12/15,町村長選挙（％）,-,-,80.54,-,80.54,-,小澤村長1期目
2014/2/9,都知事選挙（％）,62.87,82.63,61.63,59.4,62.56,62.6,舛添都知事1期目
2014/9/21,町村長選挙（％）,-,-,-,84.75,-,-,浜川村長1期目
2014/12/14,衆院選挙（都選出）（％）,62.26,89.8,63.21,60.56,62.86,54.36,
2014/12/14,衆院選挙（比例）（％）,62.26,89.8,63.21,60.56,62.86,54.36,
2015/4/26,町村長選挙（％）,81.43,-,-,-,-,-,三辻町長1期目
2015/10/11,町村長選挙（％）,-,-,84.35,-,-,-,青沼村長1期目
2016/7/21,参院選挙（都選出）（％）,60.9,82.17,61.03,63.61,61.8,57.5,
2016/7/21,参院選挙（比例）（％）,60.9,82.17,61.03,63.61,61.8,57.49,
2016/7/30,都知事選挙（％）,68.36,81.25,69.16,64.13,68.23,59.73,小池都知事1期目
2017/7/2,都議会議員選挙（％）,70.96,84.8,68.04,64.95,69.78,51.28,三宅都議3期目
