,,２０％未満            ,２０～４０％未満        ,４０～６０％未満        ,６０～８０％未満        ,８０％以上            ,  無回答            ,ｎ
,今回調査（全体）,29.5 ,25.0 ,14.1 ,10.7 ,18.4 ,2.4 ,2348 
,前回調査,33.3 ,26.4 ,14.6 ,9.5 ,13.3 ,2.8 ,2263 
業種別,情報・コンテンツ業,18.0 ,26.7 ,17.0 ,14.1 ,22.2 ,2.0 ,640 
業種別,専門サービス業,43.3 ,22.6 ,12.1 ,7.9 ,12.7 ,1.5 ,820 
業種別,技術サービス業,15.3 ,30.3 ,14.4 ,13.8 ,22.6 ,3.5 ,340 
業種別,事業サービス業,31.2 ,22.7 ,13.8 ,9.1 ,19.5 ,3.7 ,507 
特定10業種,ソフトウェア業,12.9 ,28.0 ,17.8 ,14.0 ,25.5 ,1.7 ,286 
特定10業種,インターネット附随サービス業,37.1 ,22.6 ,6.5 ,12.9 ,19.4 ,1.6 ,62 
特定10業種,映像情報制作・配給業,11.8 ,30.9 ,13.2 ,22.1 ,22.1 ,0.0 ,68 
特定10業種,出版業,32.7 ,27.3 ,14.5 ,9.1 ,9.1 ,7.3 ,55 
特定10業種,税理士事務所,82.6 ,10.6 ,0.9 ,1.8 ,3.2 ,0.9 ,218 
特定10業種,デザイン業,13.5 ,32.7 ,18.3 ,13.5 ,21.2 ,1.0 ,104 
特定10業種,経営コンサルタント業,22.3 ,24.0 ,18.4 ,9.5 ,24.0 ,1.7 ,179 
特定10業種,建築設計業,13.3 ,32.2 ,15.0 ,15.0 ,21.7 ,2.8 ,180 
特定10業種,自動車整備業,48.1 ,16.7 ,13.0 ,5.6 ,7.4 ,9.3 ,54 
特定10業種,建物サービス業,25.2 ,28.8 ,14.4 ,9.0 ,20.7 ,1.8 ,111 
従業者規模別,1～2人,24.9 ,21.0 ,14.7 ,11.9 ,25.4 ,2.0 ,971
従業者規模別,3～5人,31.6 ,25.3 ,14.8 ,10.3 ,15.5 ,2.4 ,573 
従業者規模別,6～9人,35.6 ,26.8 ,10.4 ,10.8 ,13.6 ,2.8 ,250 
従業者規模別,10～29人,32.6 ,31.0 ,15.8 ,7.6 ,11.1 ,1.9 ,316 
従業者規模別,30人以上,32.4 ,29.5 ,12.4 ,11.4 ,11.0 ,3.3 ,210 
年間売上高増減別（３年前）,大幅(10％以上)増加,29.5 ,26.9 ,15.0 ,9.8 ,16.2 ,2.6 ,234 
年間売上高増減別（３年前）,やや(10％未満)増加,30.3 ,31.9 ,12.2 ,9.7 ,15.1 ,0.8 ,238 
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,30.8 ,21.3 ,13.1 ,10.3 ,21.6 ,2.9 ,662 
年間売上高増減別（３年前）,やや(10％未満)減少,37.3 ,22.4 ,13.6 ,11.0 ,14.0 ,1.6 ,308
年間売上高増減別（３年前）,大幅(10％以上)減少,26.3 ,25.9 ,15.6 ,11.1 ,18.6 ,2.5 ,795
売上高経常利益率別,黒字,31.9 ,25.7 ,13.3 ,9.9 ,17.5 ,1.8 ,1409
売上高経常利益率別,赤字,22.8 ,24.2 ,16.5 ,12.8 ,21.1 ,2.6 ,693
経常損益の変化別（３年前）,増益,26.0 ,28.1 ,14.7 ,10.4 ,19.2 ,1.5 ,469
経常損益の変化別（３年前）,横ばい,34.4 ,21.4 ,12.7 ,11.4 ,17.8 ,2.4 ,765
経常損益の変化別（３年前）,減益,28.2 ,26.5 ,15.2 ,10.2 ,17.7 ,2.3 ,973
創業時期別,1970年以前,38.5 ,28.0 ,13.2 ,6.0 ,11.5 ,2.7 ,182
創業時期別,1971～1980年,37.8 ,25.5 ,10.1 ,11.7 ,11.2 ,3.7 ,188
創業時期別,1981～1990年,34.1 ,21.8 ,15.2 ,10.9 ,13.8 ,4.3 ,349
創業時期別,1991～2000年,27.9 ,26.2 ,13.9 ,12.1 ,18.2 ,1.7 ,423
創業時期別,2001～2010年,27.1 ,23.5 ,12.5 ,9.8 ,24.7 ,2.4 ,550
創業時期別,2011年以降,25.6 ,25.6 ,17.9 ,11.7 ,18.3 ,0.8 ,496
,13.1 結椏s,練馬区,石神井町３丁目,2018-07-20,21,道路上,50歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町３丁目,2018-07-30,21,道路上,30歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町３丁目,2018-08-01,09,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町３丁目,2018-08-01,09,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町３丁目,2018-08-03,17,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町３丁目,2018-08-17,13,道路上,50歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町３丁目,2018-08-20,14,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町３丁目,2018-08-24,17,道路上,10歳代,小学生,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町３丁目,2018-10-07,17,その他,20歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町３丁目,2018-10-18,12,道路上,20歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町３丁目,2018-10-29,11,４階建て以上共同住宅,65-69歳,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町３丁目,2018-11-12,22,一戸建住宅,20歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町３丁目,2018-11-24,23,道路上,10歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町３丁目,2018-11-29,07,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町３丁目,2018-12-05,17,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町４丁目,2017-12-31,15,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町４丁目,2018-01-08,11,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町４丁目,2018-03-18,09,その他,40歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町４丁目,2018-04-09,12,その他,50歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町４丁目,2018-04-28,17,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町４丁目,2018-05-14,07,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町４丁目,2018-05-16,10,その他,10歳代,大学生,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町４丁目,2018-05-27,07,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町４丁目,2018-07-09,08,道路上,50歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町４丁目,2018-07-27,17,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町４丁目,2018-08-04,08,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町４丁目,2018-09-19,06,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町４丁目,2018-10-13,16,駐車（輪）場,30歳代,その他,施錠した
