区分１,区分２,度数計,割合計,契約時から未加入_度数,契約時から未加入_割合,当初は加入していたが、解除した_度数,当初は加入していたが、解除した_割合,わからない_度数,わからない_割合
全体,全体,523,100,346,66.2,57,10.9,120,22.9
児童・生徒別,小学生,129,100,75,58.1,17,13.2,37,28.7
児童・生徒別,中学生,167,100,118,70.7,10,6,39,23.4
児童・生徒別,高校生,227,100,153,67.4,30,13.2,44,19.4
子供の性別,男子,265,100,176,66.4,35,13.2,54,20.4
子供の性別,女子,258,100,170,65.9,22,8.5,66,25.6
児童・生徒×子供の性別,小学生男子,57,100,30,52.6,12,21.1,15,26.3
児童・生徒×子供の性別,小学生女子,72,100,45,62.5,5,6.9,22,30.6
児童・生徒×子供の性別,中学生男子,80,100,58,72.5,7,8.8,15,18.8
児童・生徒×子供の性別,中学生女子,87,100,60,69,3,3.4,24,27.6
児童・生徒×子供の性別,高校生男子,128,100,88,68.8,16,12.5,24,18.8
児童・生徒×子供の性別,高校生女子,99,100,65,65.7,14,14.1,20,20.2
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,294,100,184,62.6,38,12.9,72,24.5
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,40,100,24,60,7,17.5,9,22.5
携帯電話の購入所別,家電量販店,105,100,80,76.2,9,8.6,16,15.2
携帯電話の購入所別,インターネット販売,55,100,41,74.5,3,5.5,11,20
携帯電話の購入所別,その他,23,100,15,65.2,0,0,8,34.8
携帯電話の購入所別,わからない,6,100,2,33.3,0,0,4,66.7
フィルタリングサービスの加入状況別,加入している,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,加入している,523,100,346,66.2,57,10.9,120,22.9
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,わからない,0,0,0,0,0,0,0,0
利用制限サービスの加入状況別,加入している,29,100,17,58.6,3,10.3,9,31
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,75,100,54,72,8,10.7,13,17.3
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,278,100,194,69.8,28,10.1,56,20.1
利用制限サービスの加入状況別,わからない,20,100,15,75,1,5,4,20
利用状況の管理状態別,利用状況の把握及び監督もできている,172,100,126,73.3,14,8.1,32,18.6
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,241,100,153,63.5,28,11.6,60,24.9
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,80,100,49,61.3,10,12.5,21,26.3
利用状況の管理状態別,子供の利用状況に関心がない,29,100,17,58.6,5,17.2,7,24.1
利用状況の管理状態別,その他,1,100,1,100,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,143,100,100,69.9,13,9.1,30,21
説明・学習経験別,インターネットで調べた,179,100,130,72.6,18,10.1,31,17.3
説明・学習経験別,学校から配布される資料等を読んだ,164,100,118,72,18,11,28,17.1
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,105,100,77,73.3,9,8.6,19,18.1
説明・学習経験別,知識のある知人から説明を受けた,27,100,18,66.7,3,11.1,6,22.2
説明・学習経験別,販売店等から詳しく説明をうけた,25,100,15,60,5,20,5,20
説明・学習経験別,公共施設などで開催された講座に参加した,9,100,7,77.8,2,22.2,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,145,100,94,64.8,9,6.2,42,29
説明・学習経験別,その他,2,100,0,0,1,50,1,50

1983,…,2758888,28676,985594,10848,290401,7511,30394,…,…,24213,1388875,91,1622,0,0,36,3540,334,29050,6736,29412
1984,…,2913830,28784,1050808,11751,328417,7255,31681,…,…,25556,1434836,60,846,0,0,40,3681,335,30413,6879,33148
1985,…,3036846,33442,1087462,12800,359416,7292,31570,…,…,27798,1487826,89,1366,0,0,40,4171,313,29026,7021,36010
1986,…,3127607,31864,1053871,12750,370861,5152,29642,…,…,27545,1596504,117,1481,1,156,44,4801,323,31346,6588,38944
1987,…,3057790,30567,1011586,12601,380538,4869,27430,…,…,27448,1563800,155,2071,0,0,38,4175,333,33185,6377,35005
1988,…,3043113,28897,1021961,12235,391303,4471,25829,…,…,26752,1530860,178,2339,0,0,36,3612,298,31635,6041,35574
1989,…,3006980,27410,1018487,12228,399216,3888,23521,…,…,25898,1492469,195,3426,0,0,42,5053,296,32381,4074,32424
1990,…,2982647,26189,982002,11689,400086,3382,20267,…,…,25908,1504092,200,2116,0,0,43,5538,322,37702,3882,30844
1991,…,3001257,24223,981098,11229,391545,2867,17924,…,…,25847,1537508,54,966,0,0,40,5150,315,37368,3656,29698
1992,…,3013983,22518,967972,10681,400778,2308,15104,…,…,25315,1543049,55,853,0,0,38,4630,325,42183,3754,39414
1993,…,2965657,22331,960164,10403,411230,2195,14259,…,…,24934,1492895,48,688,0,0,45,5852,313,41718,3536,38851
1994,…,3070449,22227,1010408,10767,449432,2009,13286,…,…,26584,1509884,80,942,0,0,46,6195,332,45382,3441,34920
1995,…,3285348,23473,1089042,11733,490522,1813,12975,…,…,28093,1614539,41,1271,0,0,40,5768,315,44431,3331,26800
1996,…,3483672,24619,1147439,12031,529030,1977,13014,0,0,32390,1718871,55,487,0,0,42,6502,302,44144,3396,24185
1997,…,3520258,25656,1225613,12479,570212,1757,14111,0,0,33797,1641609,24,171,0,0,28,4716,250,38832,3478,24994
1998,…,3806000,27266,1315188,13267,593018,1744,15819,0,0,37564,1810496,7,57,1,113,62,10738,244,38226,3684,22345
1999,…,4073367,25649,1344758,14337,635186,2410,16028,0,0,44413,2010169,3,88,1,68,51,8817,234,36422,3683,21831
2000,…,4292594,27472,1472712,15895,720586,2326,15404,1242,30782,47441,1982557,2,92,1,136,50,9091,231,38894,3836,22340
2001,…,4806979,30237,1631510,17426,801444,2889,18777,1513,31742,54002,2246528,4,116,1,5,59,10600,247,42641,4204,23616
2002,…,5241597,32666,1754409,18793,868002,3254,21214,2001,55818,66316,2462543,10,408,1,197,64,11921,247,40753,4576,26332
2003,…,5440746,35660,1924691,20529,959971,3612,23558,2574,66435,68119,2389352,12,963,2,389,44,8137,246,39441,4988,27809
2004,…,6015634,45649,2033143,22675,1040308,7105,25389,5869,68707,82415,2765878,27,1187,1,5,77,13193,171,37686,5354,30138
2005,…,6205780,46731,2074094,24223,1102983,7535,28527,6738,86399,87850,2839137,2438,12619,1,104,86,14460,216,35462,1230,11995
2006,…,6205385,47893,2075616,25016,1136697,7680,28691,7542,92180,83000,2791141,2972,12654,1,240,87,16987,217,36616,1420,14563
2007,…,6338202,47806,2123198,25642,1182052,7731,28435,7758,101270,85180,2816887,2868,16030,0,0,77,15076,224,39674,1419,15580
2008,…,6443421,46066,2139973,26846,1234546,7681,27746,8039,114725,95379,2832747,4019,21063,0,0,105,19354,216,38937,1426,14330
2009,…,6854081,54975,2406756,30331,1416421,9800,38627,8691,129720,103237,2768145,5795,29258,0,0,74,13930,208,35371,1467,15853
2010,…,7806008,59022,2733604,33797,1594408,12064,45459,9845,144027,110127,3184204,5009,28031,1,179,129,23140,205,33991,1525,18965
2011,…,8238312,65437,2929620,36503,1743212,13270,48553,12951,151300,123808,3254784,5876,30776,1,231,138,23083,229,36451,1701,20302
2012,…,8686596,67176,3042841,38961,1842415,13101,47222,14151,148315,132874,3503922,5773,30596,1,293,119,19803,206,30913,1560,20276
2013,…,8931203,68068,3074562,40944,1941441,13747,49185,15814,141246,141320,3618834,6340,33730,0,0,122,18978,174,27807,1685,25420
2014,…,9324272,72359,3177085,42793,2032078,13671,50767,17327,138279,149351,3816215,6017,34823,1,252,125,21907,144,23179,1657,29687
2015,…,9607561,74023,3187613,44617,2133867,13603,50139,19875,159532,154649,3959782,6170,35182,0,0,151,26155,150,24689,1742,30602
2016,…,9648868,72222,3170188,45145,2131601,12776,47808,21640,169915,155698,4010604,6217,34780,2,551,149,26619,173,25226,1697,31576
2017,…,9604968,72531,3075071,44930,2106145,12182,44907,23080,181436,156643,4081972,5894,32135,2,512,125,22350,181,27124,1600,33316
2018,…,9400652,69886,2959575,45350,2112935,9628,37541,24992,177543,162720,3988638,4654,26888,0,0,166,28620,213,34384,1503,34528
2019,…,9444225,72132,2912406,45540,2107793,7300,31040,26399,175003,169100,4099812,3969,26554,0,0,152,25809,208,33334,1428,32474
2020,…,9428377,70469,2929313,45629,2120966,7235,32720,27159,170309,156448,4056868,326,20753,1,3,192,33887,275,33457,1343,30101
2021,…,9292784,71158,2852399,45878,2127507,6776,30390,26898,165874,161154,3990610,198,23567,1,17,172,32662,388,40648,1338,29110
2022,…,9200152,70515,2832656,46370,2133141,6221,26428,26375,151876,165649,3943445,192,20816,0,0,163,31762,381,35620,1165,24408
2023,…,9496690,70944,2779446,45939,2106324,5443,24735,26702,164637,166115,4305841,195,21369,1,555,167,30912,386,37962,1108,24909
｡�ﾌKﾌ	5}wｫﾖZ�$硼ｶ_Aﾘ75ｰBm@
