一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
589,あきる野市舘谷230,35.731209,139.230316,JGD2011,都道杉並あきる野線［主地道7号］ （五日市街道）,c,2009-10-15,2009-10-16,4,4,3.0 ,1.2 ,65,58
590,あきる野市小川837,35.720715,139.319839,JGD2011,都道杉並あきる野線［主地道7号］ （睦橋通り）,b,2009-10-15,2009-10-16,4,4,3.0 ,1.2 ,66,61
592,あきる野市五日市13,35.728553,139.222266,JGD2011,上野原あきる野線,C,2009-11-16,2009-11-17,4,2,3.0 ,1.2 ,66,59
593,あきる野市野辺1004,35.721588,139.305939,JGD2011,杉並あきる野線,A,2009-11-16,2009-11-17,4,2,2.6 ,1.2 ,69,63
595,西東京市柳沢2-18,35.724911,139.552231,JGD2011,都道東京所沢線(青梅街道),c,2009-11-18,2009-11-19,4,6,0.0 ,1.2 ,69,66
596,西東京市住吉町6-1,35.743519,139.551392,JGD2011,都道保谷志木線,a,2009-11-18,2009-11-19,4,2,1.0 ,1.2 ,70,65
597,西東京市泉町3-12,35.741554,139.556976,JGD2011,都道東大泉田無線,a,2009-11-18,2009-11-19,4,2,2.0 ,1.2 ,69,65
598,西東京市谷戸町1-17,35.741394,139.544571,JGD2011,都道ひばりが丘停車場線,a,2009-11-18,2009-11-19,4,2,2.0 ,1.2 ,67,63
599,西東京市保谷町1-19,35.732288,139.555161,JGD2011,都道杉並田無線(新青梅街道),b,2009-11-18,2009-11-19,4,2,1.5 ,1.2 ,69,64
600,西東京市向台町2-5,35.720837,139.542542,JGD2011,都道調布田無線(武蔵境通り),a,2009-11-18,2009-11-19,4,2,6.0 ,1.2 ,64,59
601,西東京市田無町7-3,35.730621,139.531067,JGD2011,都道新宿青梅線(旧青梅街道),c,2009-11-18,2009-11-19,4,2,2.0 ,1.2 ,71,69
602,西東京市芝久保4-15,35.731598,139.521395,JGD2011,新宿青梅線,A,2009-11-30,2009-12-01,4,2,1.5 ,1.2 ,68,65
