,,経営者が指示をしなくても従業員が率先して自発的に仕事を進めている,経営者の指示が必要となるケースが多い,経営者がひとつひとつ指示をしなければ従業員は動かない,経営者は指示をせず、従業員に任せている,その他              ,無回答            ,ｎ
,今回調査（全体）,53.8,31.3,5,6.9,1.2,1.8,1382
業種別,情報・コンテンツ業,59.2,26.2,4.6,8.3,1.2,0.5,412
業種別,専門サービス業,54.5,31.9,4.4,5.1,1.7,2.4,411
業種別,技術サービス業,53.4,32.5,5.8,6.3,0,2.1,191
業種別,事業サービス業,46,37,5.9,7.9,1.2,2.1,341
特定10業種,ソフトウェア業,59.8,25.6,3.5,9.5,1,0.5,199
特定10業種,インターネット附随サービス業,50,26.7,13.3,3.3,3.3,3.3,30
特定10業種,映像情報制作・配給業,62.8,25.6,2.3,9.3,0,0,43
特定10業種,出版業,59.5,21.6,5.4,10.8,2.7,0,37
特定10業種,税理士事務所,58.6,24.3,5,7.1,2.1,2.9,140
特定10業種,デザイン業,56.3,37.5,0,6.3,0,0,48
特定10業種,経営コンサルタント業,52.5,33.9,5.1,3.4,0,5.1,59
特定10業種,建築設計業,49.5,38.1,6.2,4.1,0,2.1,97
特定10業種,自動車整備業,50,19.2,23.1,3.8,3.8,0,26
特定10業種,建物サービス業,37.5,46.3,5,7.5,0,3.8,80
従業者規模別,1～2人,46,31.9,10.4,6.1,2.5,3.1,163
従業者規模別,3～5人,50.1,34.5,6.1,8.4,0,0.9,443
従業者規模別,6～9人,55.9,26.3,3.4,10.2,2.1,2.1,236
従業者規模別,10～29人,58,29,3.2,5.1,1.9,2.9,314
従業者規模別,30人以上,58.7,33.7,2.9,3.4,0.5,1,208
年間売上高増減別（３年前）,大幅(10％以上)増加,54.1,32.4,5.9,5.3,1.2,1.2,170
年間売上高増減別（３年前）,やや(10％未満)増加,55,33.3,2.9,5.8,1.8,1.2,171
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,55.4,29.6,4.2,6.9,1,3,406
年間売上高増減別（３年前）,やや(10％未満)減少,57.9,27.9,7.1,5.5,1.1,0.5,183
年間売上高増減別（３年前）,大幅(10％以上)減少,48.9,33.9,5.6,8.7,1.2,1.7,413
売上高経常利益率別,黒字,55,30.8,5.1,6.5,0.9,1.7,936
売上高経常利益率別,赤字,51.1,32.8,4.6,7.9,1.5,2.1,329
経常損益の変化別（３年前）,増益,55.5,28.8,5.3,6.9,1.9,1.6,319
経常損益の変化別（３年前）,横ばい,54.2,32.7,4.5,6.1,0.2,2.3,443
経常損益の変化別（３年前）,減益,52.1,31.9,5.4,7.4,1.6,1.6,570
年間売上高増6,16,駐車（輪）場,法人・団体、被害者なし,法人・団体、被害者なし,施錠した
窃盗,自転車盗,本富士,弥生町交番,131059,東京都,文京区,本郷６丁目,2018-02-13,19,一戸建住宅,60-64歳,その他,施錠した
窃盗,自転車盗,本富士,弥生町交番,131059,東京都,文京区,本郷７丁目,2018-01-30,11,その他,20歳代,大学生,施錠した
窃盗,自転車盗,本富士,弥生町交番,131059,東京都,文京区,向丘２丁目,2018-08-20,15,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,本富士,弥生町交番,131059,東京都,文京区,弥生１丁目,2018-03-31,18,その他,40歳代,その他,施錠した
窃盗,自転車盗,本富士,弥生町交番,131059,東京都,文京区,弥生１丁目,2018-07-18,08,その他,20歳代,大学生,施錠した
窃盗,自転車盗,駒込,上富士前交番,131059,東京都,文京区,本駒込２丁目,2017-12-03,14,その他の住宅（３階建て以下共同住宅等）,20歳代,大学生,施錠した
窃盗,自転車盗,駒込,上富士前交番,131059,東京都,文京区,本駒込２丁目,2018-06-01,11,その他,20歳代,その他,施錠した
窃盗,自転車盗,駒込,上富士前交番,131059,東京都,文京区,本駒込５丁目,2018-07-11,16,一戸建住宅,10歳代,高校生,施錠した
窃盗,自転車盗,駒込,上富士前交番,131059,東京都,文京区,本駒込６丁目,2017-12-18,10,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,駒込,浅嘉交番,131059,東京都,文京区,千駄木５丁目,2018-08-09,23,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,駒込,浅嘉交番,131059,東京都,文京区,本駒込１丁目,2018-03-13,12,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,駒込,浅嘉交番,131059,東京都,文京区,本駒込１丁目,2018-04-29,19,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,駒込,浅嘉交番,131059,東京都,文京区,本駒込１丁目,2018-05-30,10,道路上,70歳以上,その他,施錠した
窃盗,自転車盗,駒込,浅嘉交番,131059,東京都,文京区,本駒込１丁目,2018-07-25,15,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,駒込,浅嘉交番,131059,東京都,文京区,向丘１丁目,2018-09-22,10,道路上,70歳以上,その他,施錠した
窃盗,自転車盗,駒込,浅嘉交番,131059,東京都,文京区,向丘２丁目,2018-01-28,22,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,駒込,浅嘉交番,131059,東京都,文京区,向丘２丁目,2018-03-01,18,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,駒込,浅嘉交番,131059,東京都,文京区,向丘２丁目,2018-03-26,00,その他の住宅（３階建て以下共同住宅等）,20歳代,大学生,施錠した
窃盗,自転車盗,駒込,浅嘉交番,131059,東京都,文京区,向丘２丁目,2018-04-08,19,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,駒込,浅嘉交番,131059,東京都,文京区,向丘２丁目,2018-05-10,13,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,駒込,動坂交番,131059,東京都,文京区,千駄木４丁目,2018-05-06,17,道路上,40歳代,その他,施錠した
窃盗,自転車盗,駒込,動坂交番,131059,東京都,文京区,千駄木４丁目,2018-05-22,17,４階建て以上共同住宅,10歳代,大学生,施錠した
窃盗,自転車盗,駒込,動坂交番,131059,東京都,文京区,千駄木４丁目,2018-06-05,22,その他の住宅（３階建て以下共同住宅等）,10歳代,小学生,施錠した
窃盗,自転車盗,駒込,動坂交番,131059,東京都,文京区,本駒込４丁目,2018-07-06,17,４階建て以上共同住宅,10歳代,小学生,施錠した
窃盗,自転車盗,駒込,団子坂交番,131059,東京都,文京区,千駄木１丁目,2018-05-17,14,その他,40歳代,その他,施錠した
窃盗,自転車盗,駒込,団子坂交番,131059,東京都,文京区,千駄木２丁目,2018-02-03,08,道路上,50歳代,その他,施錠した
窃盗,自転車盗,駒込,団子坂交番,131059,東京都,文京区,千駄木２丁目,2018-12-08,08,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,駒込,団子坂交番,131059,東京都,文京区,千駄木３丁目,2018-03-06,10,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,駒込,団子坂交番,131059,東京都,文京区,千駄木３丁目,2018-03-25,18,道路上,30歳代,その他,施錠した
窃盗,自転車盗,駒込,団子坂交番,131059,東京都,文京区,千駄木３丁目,2018-03-26,16,道路上,10歳代,中学生,施錠した
窃盗,自転車盗,駒込,団子坂交番,131059,東京都,文京区,千駄木３丁目,2018-04-06,15,駐車（輪）場,10歳代,小学生,施錠した
窃盗,自転車盗,駒込,団子坂交番,131059,東京都,文京区,千駄木３丁目,2018-04-08,18,４階建て以上共同住宅,10歳代,小学生,施錠した
窃盗,自転車盗,駒込,団子坂交番,131059,東京都,文京区,千駄木３丁目,2018-09-07,00,道路上,50歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,駒込５丁目,2018-02-23,17,その他,10歳代,小学生,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,駒込５丁目,2018-02-26,17,その他,40歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨１丁目,2017-08-19,12,４階建て以上共同住宅,10歳代,大学生,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨１丁目,2017-12-27,08,道路上,40歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨１丁目,2018-02-28,09,その他,20歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨１丁目,2018-04-02,18,道路上,20歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨１丁目,2018-08-03,12,道路上,10歳代,中学生,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨１丁目,2018-08-27,23,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨１丁目,2018-12-09,16,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨２丁目,2018-03-05,01,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨２丁目,2018-03-26,13,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨２丁目,2018-07-30,10,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨２丁目,2018-08-13,11,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨２丁目,2018-08-20,09,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨２丁目,2018-08-22,15,道路上,40歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨２丁目,2018-08-26,16,道路上,40歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨２丁目,2018-09-12,16,道路上,10歳代,高校生,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨２丁目,2018-11-07,11,道路上,30歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨３丁目,2018-03-29,09,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨３丁目,2018-04-13,16,道路上,60-64歳,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨３丁目,2018-07-08,12,一戸建住宅,40歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨３丁目,2018-09-01,07,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨５丁目,2018-11-11,09,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,巣鴨,駒込駅前交番,131164,東京都,豊島区,駒込１丁目,2018-03-02,17,４階建て以上共同住宅,70歳以上,その他,施錠した
窃盗,自転車盗,巣鴨,駒込駅前交番,131164,東京都,豊島区,駒込１丁目,2018-06-25,08,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,巣鴨,駒込駅前交番,131164,東京都,豊島区,駒込１丁目,2018-10-21,22,道路上,20歳代,その他,施錠した
窃盗,自転車盗,巣鴨,駒込駅前交番,131164,東京都,豊島区,駒込２丁目,2018-02-23,23,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,巣鴨,駒込駅前交番,131164,東京都,豊島区,駒込７丁目,2018-09-27,12,一戸建住宅,70歳以上,その他,施錠した
窃盗,自転車盗,巣鴨,庚申塚交番,131164,東京都,豊島区,巣鴨４丁目,2018-02-19,12,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,巣鴨,庚申塚交番,131164,東京都,豊島区,巣鴨４丁目,2018-10-25,09,一戸建住宅,50歳代,その他,施錠した
窃盗,自転車盗,巣鴨,庚申塚交番,131164,東京都,豊島区,巣鴨５丁目,2018-05-26,15,一戸建住宅,10歳代,中学生,施錠した
窃盗,自転車盗,巣鴨,庚申塚交番,131164,東京都,豊島区,巣鴨５丁目,2018-07-24,11,道路上,20歳代,その他,施錠した
窃盗,自転車盗,巣鴨,庚申塚交番,131164,東京都,豊島区,巣鴨５丁目,2018-09-23,20,一戸建住宅,10歳代,高校生,施錠した
窃盗,自転車盗,巣鴨,庚申塚交番,131164,東京都,豊島区,西巣鴨２丁目,2018-07-20,13,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,巣鴨,庚申塚交番,131164,東京都,豊島区,西巣鴨２丁目,2018-09-24,21,その他の住宅（３階建て以下共同住宅等）,30歳代,大学生,施錠した
窃盗,自転車盗,巣鴨,庚申塚交番,131164,東京都,豊島区,西巣鴨２丁目,2018-11-03,22,その他の住宅（３階建て以下共同住宅等）,20歳代,大学生,施錠した
窃盗,自転車盗,巣鴨,庚申塚交番,131164,東京都,豊島区,西巣鴨３丁目,2018-03-22,23,道路上,60-64歳,その他,施錠した
窃盗,自転車盗,巣鴨,庚申塚交番,131164,東京都,豊島区,西巣鴨３丁目,2018-03-26,21,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,巣鴨,庚申塚交番,131164,東京都,豊島区,西巣鴨３丁目,2018-06-03,05,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,巣鴨,庚申塚交番,131164,東京都,豊島区,西巣鴨４丁目,2018-03-01,17,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,巣鴨,庚申塚交番,131164,東京都,豊島区,西巣鴨４丁目,2018-03-17,17,道路上,10歳代,大学生,施錠した
窃盗,自転車盗,巣鴨,庚申塚交番,131164,東京都,豊島区,西巣鴨４丁目,2018-04-14,17,道路上,40歳代,その他,施錠した
窃盗,自転車盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚１丁目,2018-11-11,22,道路上,40歳代,その他,施錠した
窃盗,自転車盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2018-02-13,08,その他,50歳代,その他,施錠した
窃盗,自転車盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2018-02-14,22,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2018-04-18,18,道路上,法人・団体、被害者なし,法人・団体、被害者なし,施錠した
窃盗,自転車盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2018-04-20,06,道路上,50歳代,その他,施錠した
窃盗,自転車盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2018-04-22,10,道路上,60-64歳,その他,施錠した
窃盗,自転車盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2018-05-16,16,道路上,50歳代,その他,施錠した
窃盗,自転車盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2018-06-20,不明,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2018-07-07,09,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2018-07-20,09,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2018-08-27,07,道路上,65-69歳,その他,施錠した
窃盗,自転車盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2018-10-18,18,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2018-10-24,12,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2018-11-08,18,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2018-11-16,19,道路上,10歳代,高校生,施錠した
