,,増加（５％以上）,ほぼ横ばい（±５％未満）,やや減少(５～30％未満）            ,減少（30～50％未満）,大幅減少（50％以上）,  無回答            ,ｎ
,今回調査（全体）,14.5,32.7,24.4,15.5,11,1.9,2348
業種別,情報・コンテンツ業,20,30.3,22.2,17,9.4,1.1,640
業種別,専門サービス業,13.7,35.6,23.9,13.2,11.5,2.2,820
業種別,技術サービス業,10.6,31.5,25.9,18.5,11.2,2.4,340
業種別,事業サービス業,11.8,32.5,28,15,11,1.6,507
特定10業種別,ソフトウェア業,24.1,36.4,20.6,12.6,5.6,0.7,286
特定10業種別,インターネット附随サービス業,30.6,22.6,14.5,21,11.3,0,62
特定10業種別,映像情報制作・配給業,16.2,16.2,22.1,27.9,14.7,2.9,68
特定10業種別,出版業,7.3,20,40,21.8,10.9,0,55
特定10業種別,税理士事務所,11,49.5,27.5,7.8,3.2,0.9,218
特定10業種別,デザイン業,5.8,23.1,26,26,19.2,0,104
特定10業種別,経営コンサルタント業,17.3,33.5,18.4,11.7,16.2,2.8,179
特定10業種別,建築設計業,12.8,32.8,27.2,13.9,11.7,1.7,180
特定10業種別,自動車整備業,5.6,29.6,33.3,18.5,7.4,5.6,54
特定10業種別,建物サービス業,10.8,46.8,30.6,6.3,5.4,0,111
従業者規模別,1～2人,10.8,31,20.3,18.6,17.4,1.9,971
従業者規模別,3～5人,13.8,32.1,26.4,16.6,8.7,2.4,573
従業者規模別,6～9人,12.8,37.2,32.4,10.4,5.6,1.6,250
従業者規模別,10～29人,22.5,32,27.2,12.3,5.1,0.9,316
従業者規模別,30人以上,24.8,37.1,24.3,9,2.9,1.9,210
従業者規模別,17.2,17.4,17.1,127.9,136.7,124,121.3,128.3,118.2,6.6,8.4,5.8
30莠ｺ莉･荳�,R 繧ｵ繝ｼ繝薙せ讌ｭ�井ｻ悶↓蛻�｡槭＆繧後↑縺�ｂ縺ｮ��,莉､蜥鯉ｼ�,2022,6譛�,18.1,18.9,17.4,143.4,158.1,128.6,131.4,141.9,120.9,12,16.2,7.7
30莠ｺ莉･荳�,R 繧ｵ繝ｼ繝薙せ讌ｭ�井ｻ悶↓蛻�｡槭＆繧後↑縺�ｂ縺ｮ��,莉､蜥鯉ｼ�,2022,7譛�,18.3,19.2,17.5,145.8,159.3,131.9,133.8,142.8,124.5,12,16.5,7.4
30莠ｺ莉･荳�,R 繧ｵ繝ｼ繝薙せ讌ｭ�井ｻ悶↓蛻�｡槭＆繧後↑縺�ｂ縺ｮ��,莉､蜥鯉ｼ�,2022,8譛�,17.6,18.3,16.9,139.9,152.7,127,128.2,136.3,120.1,11.7,16.4,6.9
30莠ｺ莉･荳�,R 繧ｵ繝ｼ繝薙せ讌ｭ�井ｻ悶↓蛻�｡槭＆繧後↑縺�ｂ縺ｮ��,莉､蜥鯉ｼ�,2022,9譛�,17.9,18.5,17.3,142.9,154.5,130.5,131,138.6,123,11.9,15.9,7.5
30莠ｺ莉･荳�,R 繧ｵ繝ｼ繝薙せ讌ｭ�井ｻ悶↓蛻�｡槭＆繧後↑縺�ｂ縺ｮ��,莉､蜥鯉ｼ�,2022,10譛�,17.7,18.5,16.9,140.8,154.2,127.4,129,137.6,120.4,11.8,16.6,7
30莠ｺ莉･荳�,R 繧ｵ繝ｼ繝薙せ讌ｭ�井ｻ悶↓蛻�｡槭＆繧後↑縺�ｂ縺ｮ��,莉､蜥鯉ｼ�,2022,11譛�,17.9,18.7,17.1,141.4,155.8,127.8,129.2,138.5,120.3,12.2,17.3,7.5
30莠ｺ莉･荳�,R 繧ｵ繝ｼ繝薙せ讌ｭ�井ｻ悶↓蛻�｡槭＆繧後↑縺�ｂ縺ｮ��,莉､蜥鯉ｼ�,2022,12譛�,17.7,18.4,17,139.4,151.7,126.4,127.4,135.2,119.2,12,16.5,7.2
,,,,,,,,,,,,,,,,
譚ｱ莠ｬ驛ｽ縺ｮ雉�≡縲∝感蜒肴凾髢灘所縺ｳ髮�畑縺ｮ蜍輔″�域ｯ取怦蜍､蜉ｴ邨ｱ險郁ｪｿ譟ｻ�我ｻ､蜥鯉ｼ泌ｹｴ蟷ｴ蝣ｱ,,,,,,,,,,,,,,,,
隨ｬ�厄ｼ搾ｼ定｡ｨ縲�逕｣讌ｭ縲∵�ｧ蛻･蟶ｸ逕ｨ蜉ｴ蜒崎����台ｺｺ蟷ｳ蝮�怦髢灘�蜍､譌･謨ｰ蜿翫�螳溷感蜒肴凾髢薙���井ｺ区･ｭ謇�隕乗ｨ｡30莠ｺ莉･荳奇ｼ�,,,,,,,,,,,,,,,,
窃盗,車上ねらい,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町５丁目,2018-07-23,15,その他,施錠せず,なし
窃盗,車上ねらい,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町５丁目,2018-08-16,14,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町６丁目,2018-11-17,22,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町７丁目,2018-03-10,15,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉１丁目,2018-07-04,16,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉１丁目,2018-07-25,05,道路上,施錠せず,なし
窃盗,車上ねらい,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉１丁目,2018-08-22,08,道路上,施錠せず,なし
窃盗,車上ねらい,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉１丁目,2018-10-23,08,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉４丁目,2018-10-07,15,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉４丁目,2018-12-13,13,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉５丁目,2018-11-15,18,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉６丁目,2018-06-26,10,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉６丁目,2018-09-11,19,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,石神井,武蔵関駅前交番,131202,東京都,練馬区,関町北２丁目,2018-05-03,19,道路上,施錠せず,あり
窃盗,車上ねらい,石神井,武蔵関駅前交番,131202,東京都,練馬区,関町北２丁目,2018-05-26,10,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,石神井,武蔵関駅前交番,131202,東京都,練馬区,関町北２丁目,2018-10-02,09,道路上,施錠せず,なし
窃盗,車上ねらい,石神井,武蔵関駅前交番,131202,東京都,練馬区,関町北３丁目,2018-02-15,06,道路上,施錠せず,あり
窃盗,車上ねらい,石神井,武蔵関駅前交番,131202,東京都,練馬区,関町北４丁目,2018-05-07,07,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,石神井,武蔵関駅前交番,131202,東京都,練馬区,関町北５丁目,2018-11-22,17,その他,施錠せず,あり
窃盗,車上ねらい,石神井,武蔵関駅前交番,131202,東京都,練馬区,関町北５丁目,2018-11-26,16,道路上,施錠せず,あり
窃盗,車上ねらい,石神井,上石神井駅前交番,131202,東京都,練馬区,上石神井２丁目,2018-06-26,18,その他,施錠せず,なし
窃盗,車上ねらい,石神井,大泉学園交番,131202,東京都,練馬区,大泉学園町１丁目,2018-06-01,13,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,石神井,大泉学園交番,131202,東京都,練馬区,大泉学園町３丁目,2018-02-18,14,その他,施錠せず,なし
窃盗,車上ねらい,石神井,大泉学園交番,131202,東京都,練馬区,大泉学園町７丁目,2018-05-27,11,道路上,施錠せず,あり
窃盗,車上ねらい,石神井,関町交番,131202,東京都,練馬区,立野町,2018-10-15,19,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,石神井,北大泉交番,131202,東京都,練馬区,大泉町１丁目,2018-01-04,10,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,石神井,西大泉交番,131202,東京都,練馬区,西大泉５丁目,2018-09-01,11,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,石神井,西大泉交番,131202,東京都,練馬区,西大泉５丁目,2018-12-29,19,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,石神井,南大泉交番,131202,東京都,練馬区,東大泉７丁目,2018-01-08,20,道路上,施錠せず,あり
窃盗,車上ねらい,石神井,南大泉交番,131202,東京都,練馬区,東大泉７丁目,2018-09-30,11,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,石神井,南大泉交番,131202,東京都,練馬区,南大泉１丁目,2018-11-16,19,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,石神井,南大泉交番,131202,東京都,練馬区,南大泉２丁目,2018-12-20,16,道路上,施錠せず,あり
窃盗,車上ねらい,石神井,南大泉交番,131202,東京都,練馬区,南大泉３丁目,2018-11-18,15,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,石神井,南大泉交番,131202,東京都,練馬区,南大泉４丁目,2018-07-02,11,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,石神井,南大泉交番,131202,東京都,練馬区,南大泉５丁目,2018-11-12,10,その他,施錠せず,あり
窃盗,車上ねらい,石神井,富士街道交番,131202,東京都,練馬区,石神井台３丁目,2018-01-26,11,道路上,施錠せず,なし
窃盗,車上ねらい,石神井,富士街道交番,131202,東京都,練馬区,石神井台３丁目,2018-10-25,13,その他,施錠せず,あり
窃盗,車上ねらい,石神井,富士街道交番,131202,東京都,練馬区,石神井台５丁目,2018-09-21,19,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,石神井,富士街道交番,131202,東京都,練馬区,石神井台７丁目,2018-03-15,16,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,石神井,富士街道交番,131202,東京都,練馬区,石神井台８丁目,2018-02-25,20,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,石神井,富士街道交番,131202,東京都,練馬区,石神井台８丁目,2018-05-01,16,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,石神井,富士街道交番,131202,東京都,練馬区,石神井台８丁目,2018-12-03,12,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,高島平,高島平駅前交番,131199,東京都,板橋区,高島平１丁目,2018-02-20,17,道路上,施錠せず,あり
窃盗,車上ねらい,高島平,高島平駅前交番,131199,東京都,板橋区,高島平２丁目,2018-01-16,13,道路上,施錠せず,なし
窃盗,車上ねらい,高島平,高島平駅前交番,131199,東京都,板橋区,高島平２丁目,2018-02-05,17,道路上,施錠せず,あり
窃盗,車上ねらい,高島平,高島平駅前交番,131199,東京都,板橋区,高島平２丁目,2018-03-24,11,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,高島平,高島平駅前交番,131199,東京都,板橋区,高島平２丁目,2018-06-12,15,道路上,施錠せず,なし
窃盗,車上ねらい,高島平,高島平駅前交番,131199,東京都,板橋区,高島平２丁目,2018-07-01,10,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,高島平,高島平駅前交番,131199,東京都,板橋区,高島平２丁目,2018-08-16,14,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,高島平,高島平駅前交番,131199,東京都,板橋区,高島平２丁目,2018-12-01,16,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,高島平,高島平駅前交番,131199,東京都,板橋区,高島平２丁目,2018-12-27,10,道路上,施錠せず,なし
窃盗,車上ねらい,高島平,高島平駅前交番,131199,東京都,板橋区,高島平３丁目,2018-05-27,11,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,高島平,高島平駅前交番,131199,東京都,板橋区,高島平３丁目,2018-08-16,16,その他,施錠せず,あり
窃盗,車上ねらい,高島平,高島平駅前交番,131199,東京都,板橋区,高島平８丁目,2018-08-24,01,道路上,施錠せず,あり
窃盗,車上ねらい,高島平,西台駅前交番,131199,東京都,板橋区,高島平１丁目,2018-04-14,22,道路上,施錠せず,なし
窃盗,車上ねらい,高島平,西台駅前交番,131199,東京都,板橋区,高島平１丁目,2018-08-26,16,道路上,施錠せず,なし
窃盗,車上ねらい,高島平,西台駅前交番,131199,東京都,板橋区,高島平１丁目,2018-08-26,18,その他,施錠せず,あり
窃盗,車上ねらい,高島平,西台駅前交番,131199,東京都,板橋区,高島平１丁目,2018-09-09,00,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,高島平,西台駅前交番,131199,東京都,板橋区,高島平１丁目,2018-12-16,14,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,高島平,新河岸交番,131199,東京都,板橋区,新河岸１丁目,2018-10-17,14,道路上,施錠せず,あり
窃盗,車上ねらい,高島平,新河岸交番,131199,東京都,板橋区,新河岸２丁目,2018-03-04,16,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,高島平,笹目橋交番,131199,東京都,板橋区,高島平４丁目,2018-01-18,09,その他,施錠せず,あり
窃盗,車上ねらい,高島平,笹目橋交番,131199,東京都,板橋区,三園１丁目,2018-02-20,11,道路上,施錠せず,なし
窃盗,車上ねらい,高島平,笹目橋交番,131199,東京都,板橋区,三園１丁目,2018-03-09,16,道路上,施錠せず,あり
窃盗,車上ねらい,高島平,北野交番,131199,東京都,板橋区,徳丸１丁目,2018-03-26,18,道路上,施錠せず,なし
窃盗,車上ねらい,高島平,北野交番,131199,東京都,板橋区,徳丸１丁目,2018-05-18,09,道路上,施錠せず,あり
窃盗,車上ねらい,高島平,北野交番,131199,東京都,板橋区,徳丸２丁目,2018-05-24,14,道路上,施錠せず,あり
窃盗,車上ねらい,高島平,北野交番,131199,東京都,板橋区,徳丸２丁目,2018-08-17,21,その他,施錠せず,なし
窃盗,車上ねらい,高島平,北野交番,131199,東京都,板橋区,徳丸２丁目,2018-12-29,22,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,高島平,北野交番,131199,東京都,板橋区,徳丸４丁目,2018-02-09,10,道路上,施錠せず,あり
窃盗,車上ねらい,高島平,北野交番,131199,東京都,板橋区,徳丸５丁目,2018-01-07,22,道路上,施錠せず,あり
窃盗,車上ねらい,高島平,北野交番,131199,東京都,板橋区,徳丸６丁目,2018-11-26,18,その他,施錠せず,なし
窃盗,車上ねらい,高島平,下赤塚交番,131199,東京都,板橋区,赤塚１丁目,2018-06-27,07,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,高島平,下赤塚交番,131199,東京都,板橋区,赤塚２丁目,2018-01-14,11,道路上,施錠せず,なし
窃盗,車上ねらい,高島平,下赤塚交番,131199,東京都,板橋区,赤塚６丁目,2018-04-24,20,その他,施錠せず,なし
窃盗,車上ねらい,高島平,下赤塚交番,131199,東京都,板橋区,赤塚新町１丁目,2018-06-27,10,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,高島平,下赤塚交番,131199,東京都,板橋区,赤塚新町１丁目,2018-11-29,16,道路上,施錠せず,なし
窃盗,車上ねらい,高島平,下赤塚交番,131199,東京都,板橋区,成増３丁目,2018-10-14,21,その他,施錠せず,なし
窃盗,車上ねらい,高島平,成増駅前交番,131199,東京都,板橋区,成増２丁目,2018-04-13,18,道路上,施錠せず,あり
窃盗,車上ねらい,高島平,成増駅前交番,131199,東京都,板橋区,成増２丁目,2018-05-01,16,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,高島平,成増駅前交番,131199,東京都,板橋区,成増２丁目,2018-10-07,21,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,高島平,成増駅前交番,131199,東京都,板橋区,成増３丁目,2018-06-23,17,道路上,施錠せず,なし
窃盗,車上ねらい,高島平,成増駅前交番,131199,東京都,板橋区,成増３丁目,2018-11-26,18,道路上,施錠せず,なし
窃盗,車上ねらい,高島平,上赤塚交番,131199,東京都,板橋区,成増４丁目,2018-07-18,11,道路上,施錠せず,なし
窃盗,車上ねらい,高島平,上赤塚交番,131199,東京都,板橋区,成増５丁目,2018-02-07,16,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,高島平,松月院前交番,131199,東京都,板橋区,赤塚５丁目,2018-05-14,08,道路上,施錠せず,あり
窃盗,車上ねらい,高島平,松月院前交番,131199,東京都,板橋区,�
