,,活用している        ,どちらともいえない  ,活用していない      ,無回答,ｎ
,今回調査（全体）,42.6,38.5,17.1,1.8,1741
業種別,情報・コンテンツ業,50.3,35,12.9,1.8,503
業種別,専門サービス業,42.3,39.1,16.5,2.1,617
業種別,技術サービス業,45.4,40.2,14,0.4,271
業種別,事業サービス業,29.5,41.3,27.1,2.1,329
特定10業種別,ソフトウェア業,49.4,35.3,13.2,2.1,235
特定10業種別,インターネット附随サービス業,67.3,30.8,1.9,0,52
特定10業種別,映像情報制作・配給業,44,38,18,0,50
特定10業種別,出版業,37.5,40,12.5,10,40
特定10業種別,税理士事務所,39.6,41.5,16.4,2.5,159
特定10業種別,デザイン業,53.5,27.9,15.1,3.5,86
特定10業種別,経営コンサルタント業,49.2,38.9,11.9,0,126
特定10業種別,建築設計業,47.9,41.1,11,0,146
特定10業種別,自動車整備業,26.1,34.8,34.8,4.3,23
特定10業種別,建物サービス業,19.7,40.8,36.6,2.8,71
従業者規模別,1～2人,42.5,37.8,18.4,1.3,696
従業者規模別,3～5人,42.3,37.3,19.6,0.7,418
従業者規模別,6～9人,40.7,37.6,18,3.7,189
従業者規模別,10～29人,41.2,42.4,13.2,3.3,243
従業者規模別,30人以上,47.7,40.3,10.2,1.7,176
年間売上高増減別（３年前）,大幅(10％以上)増加,49.5,34.6,13.8,2.1,188
年間売上高増減別（３年前）,やや(10％未満)増加,45,39.7,14.8,0.5,189
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,39.9,42,16,2.1,481
年間売上高増減別（３年前）,やや(10％未満)減少,42.2,33,22.5,2.3,218
年間売上高増減別（３年前）,大幅(10％以上)減少,40.3,40.7,17.5,1.6,578
売上高経常利益率別,黒字,43.5,38.8,16,1.7,1062
売上高経常利益率別,赤字,42.6,38.8,17.6,1,505
経常損益の変化別（３年前）,増益,43.1,39.5,15,2.5,367
経常損益の変化別（３年前）,横ばい,43.5,38,17.2,1.2,563
経常損益の変化別（３年前）,減益,40.7,40,17.9,1.4,705
経常損益の変30,13,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葛西,西葛西駅前交番,131237,東京都,江戸川区,西葛西３丁目,2018-08-03,03,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葛西,西葛西駅前交番,131237,東京都,江戸川区,西葛西５丁目,2018-10-19,16,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葛西,西葛西駅前交番,131237,東京都,江戸川区,西葛西７丁目,2018-02-27,18,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,葛西,西葛西駅前交番,131237,東京都,江戸川区,西葛西７丁目,2018-02-27,18,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葛西,宇喜田駐在所,131237,東京都,江戸川区,宇喜田町,2018-03-02,10,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,葛西,宇喜田駐在所,131237,東京都,江戸川区,北葛西１丁目,2018-05-18,17,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,葛西,南葛西交番,131237,東京都,江戸川区,南葛西３丁目,2017-08-03,17,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葛西,南葛西交番,131237,東京都,江戸川区,南葛西３丁目,2018-07-06,22,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,葛西,南葛西交番,131237,東京都,江戸川区,南葛西３丁目,2018-08-09,16,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,葛西,葛西駅前交番,131237,東京都,江戸川区,中葛西５丁目,2018-04-07,10,その他の住宅（３階建て以下共同住宅等）,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,葛西,葛西駅前交番,131237,東京都,江戸川区,中葛西５丁目,2018-05-21,19,道路上,キーあり,なし,自動二輪（50cc超）
