年齢別人口　令和２年４月１日現在,,,,
年齢,男,女,合計,
0,448,425,873,
1,482,433,915,
2,558,503,"1,061",
3,540,540,"1,080",
4,539,542,"1,081",
5,590,591,"1,181",
6,604,607,"1,211",
7,579,543,"1,122",
8,616,564,"1,180",
9,589,617,"1,206",
小計,"5,545","5,365","10,910",
10,662,633,"1,295",
11,648,620,"1,268",
12,630,623,"1,253",
13,651,627,"1,278",
14,614,547,"1,161",
15,613,575,"1,188",
16,627,646,"1,273",
17,632,573,"1,205",
18,685,652,"1,337",
19,711,689,"1,400",
小計,"6,473","6,185","12,658",
20,776,717,"1,493",
21,785,790,"1,575",
22,797,758,"1,555",
23,824,803,"1,627",
24,797,747,"1,544",
25,771,795,"1,566",
26,721,668,"1,389",
27,706,671,"1,377",
28,669,625,"1,294",
29,677,619,"1,296",
小計,"7,523","7,193","14,716",
30,661,643,"1,304",
31,707,682,"1,389",
32,800,725,"1,525",
33,832,775,"1,607",
34,805,807,"1,612",
35,905,841,"1,746",
36,957,900,"1,857",
37,934,952,"1,886",
38,921,938,"1,859",
39,"1,069",919,"1,988",
小計,"8,591","8,182","16,773",
40,"1,071",922,"1,993",
41,"1,074","1,035","2,109",
42,"1,158","1,107","2,265",
43,"1,186","1,049","2,235",
44,"1,120","1,139","2,259",
45,"1,266","1,221","2,487",
46,"1,280","1,205","2,485",
47,"1,269","1,284","2,553",
48,"1,358","1,232","2,590",
49,"1,185","1,167","2,352",
小計,"11,967","11,361","23,328",
50,"1,176","1,175","2,351",
51,"1,241","1,166","2,407",
52,"1,172","1,059","2,231",
53,"1,014",934,"1,948",
54,"1,041",959,"2,000",
55,"1,033","1,038","2,071",
56,951,902,"1,853",
57,914,896,"1,810",
58,869,845,"1,714",
59,800,796,"1,596",
小計,"10,211","9,770","19,981",
60,778,800,"1,578",
61,741,832,"1,573",
62,790,825,"1,615",
63,726,826,"1,552",
64,760,910,"1,670",
65,769,934,"1,703",
66,805,952,"1,757",
67,858,"1,053","1,911",
68,963,"1,060","2,023",
69,"1,003","1,199","2,202",
小計,"8,193","9,391","17,584",
70,"1,120","1,352","2,472",
71,"1,235","1,447","2,682",
72,"1,278","1,475","2,753",
73,949,"1,086","2,035",
74,696,847,"1,543",
75,870,"1,006","1,876",
76,905,"1,221","2,126",
77,918,"1,068","1,986",
78,864,996,"1,860",
79,775,978,"1,753",
小計,"9,610","11,476","21,086",
80,659,794,"1,453",
81,561,709,"1,270",
82,583,684,"1,267",
83,515,662,"1,177",
84,465,660,"1,125",
85,407,484,891,
86,345,479,824,
87,312,457,769,
88,222,392,614,
89,176,331,507,
小計,"4,245","5,652","9,897",
90,141,262,403,
91,116,269,385,
92,68,204,272,
93,64,158,222,
94,34,132,166,
95,31,114,145,
96,21,79,100,
97,13,48,61,
98,3,46,49,
99,7,28,35,
小計,498,"1,340","1,838",
100以上,8,56,64,
合計,"72,864","75,971","148,835",
,,,,
W蜚N齢別人口　令和２年５月１日現在,,,,
年齢,男,女,合計,
0,429,426,855,
1,484,438,922,
2,551,503,"1,054",
3,539,545,"1,084",
4,555,537,"1,092",
5,573,596,"1,169",
6,608,602,"1,210",
7,594,548,"1,142",
8,603,557,"1,160",
9,602,619,"1,221",
小計,"5,538","5,371","10,909",
10,642,632,"1,274",
11,666,613,"1,279",
12,628,622,"1,250",
13,646,626,"1,272",
14,620,549,"1,169",
15,606,581,"1,187",
16,632,654,"1,286",
17,625,573,"1,198",
18,701,666,"1,367",
19,724,682,"1,406",
小計,"6,490","6,198","12,688",
20,757,722,"1,479",
21,790,771,"1,561",
22,796,781,"1,577",
23,807,825,"1,632",
24,807,747,"1,554",
25,772,786,"1,558",
26,712,687,"1,399",
27,711,686,"1,397",
28,682,610,"1,292",
29,668,629,"1,297",
小計,"7,502","7,244","14,746",
30,686,637,"1,323",
31,690,699,"1,389",
32,783,721,"1,504",
33,835,780,"1,615",
34,819,795,"1,614",
35,885,847,"1,732",
36,956,890,"1,846",
37,929,952,"1,881",
38,923,931,"1,854",
39,"1,070",928,"1,998",
小計,"8,576","8,180","16,756",
40,"1,050",912,"1,962",
41,"1,098","1,011","2,109",
42,"1,128","1,116","2,244",
43,"1,188","1,062","2,250",
44,"1,128","1,113","2,241",
45,"1,262","1,245","2,507",
46,"1,255","1,213","2,468",
47,"1,262","1,250","2,512",
48,"1,373","1,252","2,625",
49,"1,197","1,170","2,367",
小計,"11,941","11,344","23,285",
50,"1,170","1,178","2,348",
51,"1,234","1,158","2,392",
52,"1,170","1,077","2,247",
53,"1,045",949,"1,994",
54,"1,002",952,"1,954",
55,"1,032","1,037","2,069",
56,958,899,"1,857",
57,922,904,"1,826",
58,873,849,"1,722",
59,799,806,"1,605",
小計,"10,205","9,809","20,014",
60,781,796,"1,577",
61,762,845,"1,607",
62,777,829,"1,606",
63,729,821,"1,550",
64,754,890,"1,644",
65,770,926,"1,696",
66,811,951,"1,762",
67,842,"1,054","1,896",
68,962,"1,062","2,024",
69,985,"1,192","2,177",
小計,"8,173","9,366","17,539",
70,"1,113","1,345","2,458",
71,"1,228","1,407","2,635",
72,"1,302","1,508","2,810",
73,992,"1,132","2,124",
74,683,836,"1,519",
75,839,968,"1,807",
76,910,"1,245","2,155",
77,903,"1,056","1,959",
78,885,"1,009","1,894",
79,781,983,"1,764",
小計,"9,636","11,489","21,125",
80,669,801,"1,470",
81,543,715,"1,258",
82,601,691,"1,292",
83,507,654,"1,161",
84,465,670,"1,135",
85,404,495,899,
86,355,466,821,
87,303,465,768,
88,231,407,638,
89,184,331,515,
小計,"4,262","5,695","9,957",
90,138,268,406,
91,117,257,374,
92,65,215,280,
93,65,157,222,
94,38,136,174,
95,32,114,146,
96,20,82,102,
97,14,47,61,
98,2,44,46,
99,8,28,36,
小計,499,"1,348","1,847",
100以上,8,55,63,
合計,"72,830","76,099","148,929",
,,,,
煌lK年齢別人口　令和２年６月１日現在,,,,
年齢,男,女,合計,
0,432,426,858,
1,478,437,915,
2,549,501,"1,050",
3,552,528,"1,080",
4,536,543,"1,079",
5,573,595,"1,168",
6,608,603,"1,211",
7,589,559,"1,148",
8,608,557,"1,165",
9,611,613,"1,224",
小計,"5,536","5,362","10,898",
10,619,627,"1,246",
11,685,628,"1,313",
12,616,616,"1,232",
13,644,623,"1,267",
14,618,564,"1,182",
15,616,570,"1,186",
16,627,638,"1,265",
17,632,592,"1,224",
18,693,654,"1,347",
19,737,693,"1,430",
小計,"6,487","6,205","12,692",
20,742,727,"1,469",
21,758,750,"1,508",
