運航社[スペースチャーター],寄港地,配船数[配船間隔],投入船船名,投入船TEU,投入船DWT,利用ターミナル
SITC［QingdaoMarine/Sinotrans］,上海/名古屋/東京/川崎/清水/名古屋/神戸/大連/竜口/新港/煙台/東京/横浜/名古屋/上海,3隻21日ラウンド（木、火、ウィークリー）,SITCNAGOYA,907,12601,大井O1/2
SITC［QingdaoMarine/Sinotrans］,上海/名古屋/東京/川崎/清水/名古屋/神戸/大連/竜口/新港/煙台/東京/横浜/名古屋/上海,3隻21日ラウンド（木、火、ウィークリー）,SITCHONGKONG,831,12621,大井O1/2
SITC［QingdaoMarine/Sinotrans］,上海/名古屋/東京/川崎/清水/名古屋/神戸/大連/竜口/新港/煙台/東京/横浜/名古屋/上海,3隻21日ラウンド（木、火、ウィークリー）,SITCXIAMEN,831,12628,大井O1/2
SITC［川崎汽船/Sinokor］,青島/東京/横浜/名古屋/大連/新港/煙台/大連/名古屋/四日市/豊橋/東京/横浜/清水/青島,3隻21日ラウンド（火、月、ウィークリー）,SITCLIANYUNGANG,1042,12716,大井O1/2
SITC［川崎汽船/Sinokor］,青島/東京/横浜/名古屋/大連/新港/煙台/大連/名古屋/四日市/豊橋/東京/横浜/清水/青島,3隻21日ラウンド（火、月、ウィークリー）,SITCSHENZHEN,1042,12692,大井O1/2
SITC［川崎汽船/Sinokor］,青島/東京/横浜/名古屋/大連/新港/煙台/大連/名古屋/四日市/豊橋/東京/横浜/清水/青島,3隻21日ラウンド（火、月、ウィークリー）,SITCHOCHIMINH,1042,12696,大井O1/2
SITC［川崎汽船/Sinokor］,青島/東京/横浜/名古屋/大連/新港/煙台/大連/名古屋/四日市/豊橋/東京/横浜/清水/青島,3隻21日ラウンド（火、月、ウィークリー）,VEGATOPAS,834,11400,大井O1/2
SITC［川崎汽船/Sinokor］,青島/東京/横浜/名古屋/大連/新港/煙台/大連/名古屋/四日市/豊橋/東京/横浜/清水/青島,3隻21日ラウンド（火、月、ウィークリー）,CONDOR,887,12400,青海公共
TCLC,太倉/東京/横浜/名古屋/太倉/東京/横浜/名古屋/太倉,3隻21日ラウンド（月、水、ウィークリー）,TAICANGHE,357,6720,青海公共
TCLC,太倉/東京/横浜/名古屋/太倉/東京/横浜/名古屋/太倉,3隻21日ラウンド（月、水、ウィークリー）,OSGARGOSY,585,8732,青海公共
TCLC,太倉/東京/横浜/名古屋/太倉/東京/横浜/名古屋/太倉,3隻21日ラウンド（月、水、ウィークリー）,GUANGPING,629,7991,青海公共
Winland［Goto/ShanghaiPuhai/Sinotrans］,大連/威海/門司/博多/威海/大連/名古屋/東京/横浜/大連/威海,2隻14日ラウンド（水、ウィークリー）,ESMSIVANA,787,12649,"青海A3,青海公共"
Winland［Goto/ShanghaiPuhai/Sinotrans］,大連/威海/門司/博多/威海/大連/名古屋/東京/横浜/大連/威海,2隻14日ラウンド（水、ウィークリー）,LILLY,672,8238,"青海A3,青海公共"
