"年次・月次コード","年次・月次","西暦（年）","月","都平均","第1階層","第2階層","第3階層","第4階層","第5階層","第6階層","第7階層"
"nen","平成28年平均","2016","",24.8,28.9,26.5,26.9,25.6,24.5,23.0,21.6
"nen","平成29年平均","2017","",24.2,29.2,24.8,26.8,24.4,23.1,21.8,22.2
"nen","平成30年平均","2018","",25.0,30.5,27.6,26.7,25.7,23.7,22.2,22.8
"nen","平成31年・令和元年平均","2019","",25.1,28.4,27.4,28.0,25.7,23.7,22.6,23.1
"nen","令和 2年平均","2020","",27.2,33.1,28.0,26.9,27.6,26.1,25.5,25.9
"nen","令和 3年平均","2021","",26.4,33.4,28.3,28.0,27.5,23.9,24.5,23.9
"nen","令和 4年平均","2022","",26.2,30.1,29.1,27.7,27.9,22.7,25.7,24.2
"tuki","令和 4年 4月","2022","4",22.0,23.3,28.5,27.9,19.4,24.6,17.4,20.0
"tuki","令和 4年 5月","2022","5",27.8,32.0,30.3,27.0,32.6,30.8,24.3,23.9
"tuki","令和 4年 6月","2022","6",29.0,32.9,33.1,29.5,29.7,27.6,25.8,28.2
"tuki","令和 4年 7月","2022","7",27.3,28.5,32.5,29.9,30.9,21.5,25.9,26.6
"tuki","令和 4年 8月","2022","8",25.7,33.6,23.6,24.3,25.9,26.1,26.2,24.0
"tuki","令和 4年 9月","2022","9",25.8,32.6,29.4,25.3,27.6,25.9,24.0,21.6
"tuki","令和 4年10月","2022","10",26.9,31.3,28.8,27.9,28.4,27.5,29.9,20.8
"tuki","令和 4年11月","2022","11",26.6,33.2,30.6,28.4,26.2,23.2,26.4,23.2
"tuki","令和 4年12月","2022","12",27.9,32.8,34.6,27.8,29.8,27.1,25.1,24.1
"tuki","令和 5年 1月","2023","1",26.1,29.9,24.8,25.6,28.3,26.9,24.6,24.6
"tuki","令和 5年 2月","2023","2",28.3,30.7,31.4,29.4,29.6,24.5,26.5,28.8
"tuki","令和 5年 3月","2023","3",25.6,33.4,28.9,26.3,26.1,27.2,21.5,22.3
"tuki","令和 5年 4月","2023","4",24.5,36.2,27.9,28.0,23.3,27.1,21.4,18.9
"","","","","","","","","","","",""
"東京都生計分析調査　令和 5年 4月","","","","","","","","","","",""
"主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―","","","","","","","","","","",""
"エンゲル係数　   　　〔＝（食料費÷消費支出） ×１００〕","","","","","","","","","","",""
