"年次・月次コード","年次・月次","西暦（年）","月","都平均","第1階層","第2階層","第3階層","第4階層","第5階層","第6階層","第7階層"
"nen","平成28年平均","2016","",73.7,364.0,110.1,84.4,77.5,77.6,69.1,44.3
"nen","平成29年平均","2017","",77.9,266.3,115.4,93.7,81.7,78.3,77.3,46.7
"nen","平成30年平均","2018","",70.3,227.3,90.1,87.2,78.1,73.4,70.5,41.6
"nen","平成31年・令和元年平均","2019","",66.8,189.6,102.8,77.5,74.0,74.5,67.4,36.5
"nen","令和 2年平均","2020","",61.2,228.2,85.9,74.3,68.7,64.7,59.4,34.9
"nen","令和 3年平均","2021","",61.2,169.7,83.2,74.1,70.3,68.0,62.0,36.3
"nen","令和 4年平均","2022","",63.6,216.9,83.5,76.1,72.0,74.5,59.6,38.1
"tuki","令和 4年 5月","2022","5",74.8,335.7,82.6,78.9,70.1,73.3,71.4,57.9
"tuki","令和 4年 6月","2022","6",38.3,176.2,52.9,65.7,63.8,51.3,29.7,19.2
"tuki","令和 4年 7月","2022","7",60.8,407.2,93.1,70.9,70.4,74.1,53.9,32.3
"tuki","令和 4年 8月","2022","8",73.7,218.5,95.3,86.4,73.4,74.2,64.6,52.2
"tuki","令和 4年 9月","2022","9",77.0,247.0,93.1,81.4,77.8,76.4,66.9,59.0
"tuki","令和 4年10月","2022","10",73.3,149.2,82.0,77.4,81.7,61.3,56.7,68.1
"tuki","令和 4年11月","2022","11",77.9,288.8,108.9,80.7,81.1,80.5,61.9,56.4
"tuki","令和 4年12月","2022","12",37.8,131.1,70.6,74.1,39.4,32.5,27.1,25.2
"tuki","令和 5年 1月","2023","1",78.4,413.4,137.8,92.3,78.2,65.8,66.7,53.9
"tuki","令和 5年 2月","2023","2",60.2,129.0,66.0,57.6,66.3,69.7,57.3,40.0
"tuki","令和 5年 3月","2023","3",78.8,337.7,98.9,93.4,71.2,73.2,73.3,58.3
"tuki","令和 5年 4月","2023","4",77.1,133.5,69.6,63.3,83.6,75.4,76.2,74.8
"tuki","令和 5年 5月","2023","5",73.0,307.7,48.5,100.4,71.3,78.6,67.2,58.7
"","","","","","","","","","","",""
"東京都生計分析調査　令和 5年 5月","","","","","","","","","","",""
"主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―","","","","","","","","","","",""
"平均消費性向　　　〔＝（消費支出÷可処分所得） ×１００〕","","","","","","","","","","",""
