区分,住宅,所在地,住宅種別戸数／世帯,住宅種別戸数／小世帯,住宅種別戸数／単身,住宅種別戸数／計,建築年月,備考
大島町,小清水,元町字小清水273-14,10,,,10,S55.12,大規模改修中
大島町,家の上,元町字家の上461-3,8,8,,16,S60.8,
大島町,八重川,元町3-15-3（1･2号棟）,8,16,,24,H11.3,
大島町,八重川第二,元町3-15-5,,24,,24,H25.6,
大島町,元町第二,元町3-14-4,24,,,24,H27.10,
大島町,仲野,元町字仲野189-13（1･2号棟）,4,8,,12,H6.9,
大島町,仲野第二,元町字仲野189-3（3･4･5号棟）,8,12,,20,H8.6,
大島町,岡田,岡田字沢立112-1,4,4,,8,S63.7,
大島町,泉津,泉津字不重208-6（2号棟）,4,,,4,S45.3,H7大規模改修済
大島町,泉津第二,泉津字不重205-3（3号棟）,,4,,4,H6.2,
大島町,野増,野増字ゼンニャウ502-2,,10,,10,H3.12,
大島町,差木地第一,差木地字2番地,,12,,12,H1.12,
大島町,差木地第三,差木地字クダッチ,8,,,8,S52.4,H27大規模改修済
大島町,トウシキ,差木地字クダッチ,,24,,24,H15.3,
大島町,波浮,波浮港17番地,4,12,,16,S63.8,
大島町,小計,,82,134,,216,,
利島村,東山,東山318（1号棟）,,8,,8,H5.1,
利島村,東山,東山839（2号棟）,3,,,3,S54.12,
利島村,東山,東山317（3号棟）,,12,,12,S62.9,
利島村,小計,,3,20,,23,,
新島村,本村,本村5-7-10（3号棟）,,3,1,4,S45.3,H5大規模改修済
新島村,本村第一,本村5-7-10（1･2号棟）,8,8,,16,S59.7,
新島村,本村第二,本村4-7-16（2号棟）,3,,,3,S54.3,H5大規模改修済
新島村,本村第三,本村5-7-11,,8,,8,H1.11,
新島村,本村第四,本村4-11-13,,8,,8,H5.1,
新島村,川原,本村字川原284-2,,8,,8,H17.7,
新島村,若郷,若郷1-3（1･2号棟）,2,8,,10,H10.3,
新島村,若郷第二,若郷9-3,3,,,3,S54.3,H7大規模改修済
新島村,泊,式根島390-3,,8,,8,S62.6,
新島村,式根ヶ沢,式根島606-1,,4,,4,H2.11,
新島村,野伏,式根島950,4,10,,14,H7.1,
新島村,小計,,20,65,1,86,,
