対象局,実地監査期間,対象件数(件),抽出件数(件),対象金額(百万円),抽出金額(百万円)
総務局,R3.10.8～R3.10.11,38,14(36.8%),630,437(69.4%)
財務局,R3.6.29～R3.7.9,395,110(27.8%),"205,307","127,602(62.2%)"
主税局,R3.4.16～R3.4.20,125,18(14.4%),"1,340",516(38.6%)
生活文化局,R3.4.16～R3.4.20,60,12(20.0%),853,551(64.6%)
オリンピック・パラリンピック準備局,R3.10.4～R3.10.11,34,20(58.8%),"1,743","1,034(59.4%)"
都市整備局,R3.10.1～R3.10.5,195,21(10.8%),"15,111","2,883(19.1%)"
住宅政策本部,R3.7.9～R3.10.18,688,104(15.1%),"135,984","47,979(35.3%)"
環境局,R3.2.16～R3.2.26,123,28(22.8%),"2,763","1,875(67.9%)"
産業労働局,R3.2.16～R3.2.26,171,30(17.5%),"3,560","1,660(46.6%)"
中央卸売市場,R3.1.27～R3.2.1,503,78(15.5%),"18,636","5,176(27.8%)"
建設局,R3.4.22～R3.10.15,7023,258(3.7%),"592,729","252,981(42.7%)"
港湾局,R3.2.3～R3.2.19,925,86(9.3%),"104,669","29,651(28.3%)"
東京消防庁,R3.1.20～R3.1.24,600,91(15.2%),"29,819","13,782(46.2%)"
交通局,R3.1.12～R3.1.19,856,104(12.1%),"243,670","86,465(35.5%)"
水道局,R3.10.11～R3.10.13,54,20(37.0%),"20,959","20,678(98.7%)"
下水道局,R3.4.22～R3.7.2,"1,344",83(6.2%),"281,779","71,305(25.3%)"
教育庁,R3.1.27～R3.2.5,818,73(8.9%),"16,229","5,142(31.7%)"
警視庁,R3.10.1～R3.10.4,"1,062",29(2.7%),"89,627","23,554(26.3%)"
島しょ,R3.6.23～R3.6.28,"1,999",131(6.6%),"71,501","21,551(30.1%)"
合計,,"17,013","1,310(7.7%)","1,837,066","714,832(38.9%)"
産業労働局.03,,,,< 0.03,,,,< 0.03,,,,< 0.03,,,,< 0.03,,,< 0.03,,,,< 0.004,,,,< 0.004,,,,< 0.004,,
,�泌慍轤ｹ豐ｿ驕灘ｹｳ蝮�,< 0.03,< 0.03,,< 0.03,,< 0.03,,< 0.03,,< 0.03,,< 0.03,,,< 0.03,,,< 0.03,,,,< 0.03,,,,< 0.03,,,,< 0.03,,,,0.034,,,,< 0.03,,,< 0.03,,,,0.005,,,,< 0.004,,,,< 0.004,,
,荳ｭ螟ｮ蛹ｺ譎ｴ豬ｷ,0.253,0.376,,0.53,,0.27,,0.506,,0.79,,0.45,,,0.568,,,0.944,,,,0.389,,,,0.704,,,,0.201,,,,0.944,,,,0.201,,,0.498,,,,0.189,,,,0.04,,,,0.1,,
蛹ｺ,蝗ｽ險ｭ譚ｱ莠ｬ譁ｰ螳ｿ,0.273,0.612,,0.555,,0.342,,0.486,,0.787,,0.494,,,0.613,,,1.276,,,,0.437,,,,0.576,,,,0.189,,,,1.276,,,,0.189,,,0.553,,,,0.255,,,,0.038,,,,0.111,,
驛ｨ,螟ｧ逕ｰ蛹ｺ譚ｱ邉�隹ｷ,0.551,0.591,,0.616,,0.362,,1.249,,1.218,,0.471,,,1.005,,,1.105,,,,0.726,,,,0.896,,,,0.303,,,,1.249,,,,0.303,,,0.758,,,,0.25,,,,0.061,,,,0.152,,
荳�,荳也伐隹ｷ蛹ｺ荳也伐隹ｷ,0.423,0.634,,0.54,,0.274,,0.498,,0.67,,0.508,,,0.79,,,0.98,,,,0.628,,,,0.28,,,,0.167,,,,0.98,,,,0.167,,,0.533,,,,0.196,,,,0.033,,,,0.107,,
闊ｬ,譚ｿ讖句玄豌ｷ蟾晉伴,0.451,0.672,,0.628,,0.284,,0.571,,0.939,,0.831,,,0.796,,,1.298,,,,0.656,,,,0.493,,,,0.211,,,,1.298,,,,0.211,,,0.653,,,,0.26,,,,0.042,,,,0.131,,
迺ｰ,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴,0.469,0.698,,0.605,,0.238,,0.389,,0.611,,0.599,,,0.791,,,1.526,,,,0.743,,,,0.502,,,,0.162,,,,1.526,,,,0.162,,,0.611,,,,0.305,,,,0.032,,,,0.122,,
蠅�,雜ｳ遶句玄隘ｿ譁ｰ莠�,0.551,0.837,,0.671,,0.271,,0.622,,0.829,,0.96,,,1.361,,,1.77,,,,0.79,,,,1.019,,,,0.183,,,,1.77,,,,0.183,,,0.822,,,,0.354,,,,0.037,,,,0.164,,
,豎滓虻蟾晏玄譏･豎溽伴,0.31,0.328,,0.305,,0.179,,0.307,,0.658,,0.72,,,1.231,,,1.46,,,,0.65,,,,0.879,,,,0.638,,,,1.46,,,,0.179,,,0.639,,,,0.292,,,,0.036,,,,0.128,,
,蛹ｺ驛ｨ荳�闊ｬ蟷ｳ蝮�,0.41,0.593,,0.556,,0.277,,0.579,,0.813,,0.629,,,0.894,,,1.295,,,,0.627,,,,0.669,,,,0.257,,,,1.77,,,,0.162,,,0.633,,,,0.354,,,,0.032,,,,0.127,,
螟�,蟆城≡莠募ｸよ悽逕ｺ,0.643,0.828,,0.72,,0.232,,0.433,,0.637,,0.876,,,0.925,,,1.571,,,,0.807,,,,0.806,,,,0.425,,,,1.571,,,,0.232,,,0.742,,,,0.314,,,,0.046,,,,0.148,,
鞫ｩ,譚ｱ螟ｧ蜥悟ｸょ･郁憶讖�,0.601,1.143,,1.294,,0.502,,0.644,,0.615,,0.799,,,1.146,,,1.728,,,,1.854,,,,1.086,,,,0.168,,,,1.854,,,,0.168,,,0.965,,,,0.371,,,,0.034,,,,0.193,,
荳�闊ｬ,螟壽束驛ｨ荳�闊ｬ蟷ｳ蝮�,0.622,0.985,,1.007,,0.367,,0.538,,0.626,,0.837,,,1.036,,,1.649,,,,1.331,,,,0.946,,,,0.296,,,,1.854,,,,0.168,,,0.853,,,,0.371,,,,0.034,
