"事業名","平成25年度実績","平成27年度実績","平成28年度見込み","平成29年度見込み","備考"
"専門性の高い相談支援事業/東京都発達障害者支援センターの運営(か所)","1","1","1","1","実施箇所数"
"専門性の高い相談支援事業/高次脳機能障害支援普及事業(か所)","1","1","1","1","実施箇所数"
"専門性の高い相談支援事業/障害児等療育支援事業(施設)","8","8","8","8","実施箇所数"
"専門性の高い相談支援事業/障害者就業・生活支援センター事業(か所)","6","6","6","6","実施箇所数"
"専門性の高い意思疎通支援を行う者の養成研修事業・派遣事業/手話通訳者等養成事業(人)","182","420","継続して実施する","継続して実施する","修了者数派遣件数派遣時間数"
"専門性の高い意思疎通支援を行う者の養成研修事業・派遣事業/中途失聴・難聴者コミュニケーション事業（要約筆記者講習会）(人)","20","24","継続して実施する","継続して実施する","修了者数派遣件数派遣時間数"
"専門性の高い意思疎通支援を行う者の養成研修事業・派遣事業/聴覚障害者意思疎通支援事業（広域型行事への派遣）(件)","","88","継続して実施する","継続して実施する","修了者数派遣件数派遣時間数"
"専門性の高い意思疎通支援を行う者の養成研修事業・派遣事業/盲ろう者通訳・介助者養成研修事業(人)","35","40","継続して実施する","継続して実施する","修了者数派遣件数派遣時間数"
"専門性の高い意思疎通支援を行う者の養成研修事業・派遣事業/盲ろう者通訳・介助者派遣事業(時間)","9757件/42952","48412","継続して実施する","継続して実施する","修了者数派遣件数派遣時間数"
"意思疎通支援を行う者の派遣に係る市町村相互間の連絡調整事業/聴覚障害者意思疎通支援事業（広域的連絡調整）","実施","実施","継続して実施する","継続して実施する",""
"広域的な支援事業（精神障害者地域生活支援広域調整等事業）/精神障害者地域移行体制整備支援事業（協議会開催）（実施事業所）（ピアサポーター登録者）(人)","26年度から地域生活支援事業必須事業化","16回6事業所43","継続して実施する","継続して実施する",""
"その他の事業（主なもの）/点訳奉仕員指導者養成(人)","13","30","継続して実施する","継続して実施する","修了者数"
"その他の事業（主なもの）/専門点訳奉仕員養成(人)","12","30","継続して実施する","継続して実施する","修了者数"
"その他の事業（主なもの）/朗読奉仕員指導者養成(人)","13","20","継続して実施する","継続して実施する","修了者数"
"その他の事業（主なもの）/音声機能障害者発声訓練指導者養成事業(人)","12","12","継続して実施する","継続して実施する","修了者数"
9区市（4区5市）／○子供家庭支援センターの組織対応力強化／28区市（13区15市）","平成24年度末で事業終了／平成25年度からは、それぞれ地域子育て支援拠点事業及び子どもを守る地域ネットワーク機能強化事業内の取組として継続実施。","平成24年度末で事業終了／平成25年度からは、それぞれ地域子育て支援拠点事業及び子どもを守る地域ネットワーク機能強化事業内の取組として継続実施。"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","○","","○","4","子供家庭総合センターの整備","福祉保健局","総合的な子育て支援体制の確立に向け、福祉・保健・教育などが連携し、子供と家庭を総合的・専門的に支援する拠点として、子供家庭総合センターを設置する。","建設工事に着手","躯体工事、外壁工事、内装工事等を実施","建物竣工、開設","事業終了","事業終了"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","○","○","","5","親の子育て力向上支援事業＜子供家庭支援区市町村包括補助事業＞","福祉保健局","子育てに不安を持つ親に対し、グループワークを通し子育てスキルの向上や仲間作りを促進し、育児不安の解消を図る取組を支援する。","23区市（13区10市）","25区市（13区12市）","事業実施25区市（12区13市）","事業実施27区市（16区11市）","事業実施 28区市（15区13市）"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","6","4152（よいこに）電話","福祉保健局","土・日・祝日（年末年始を除く）を含め、毎日、電話相談を行うとともに、聴覚言語障害者向けには、FAX相談を実施し、多様な児童相談ニーズに応える。","相談受理件数7,714件","相談受理件数8,475件","相談受理件数9,255件","相談受理件数8,407件","相談受理件数10,495件"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","7","電話相談「母と子の健康相談室」（小児救急相談）","福祉保健局","妊娠中の生活や育児など母子の健康相談や子供の急病等に関する電話相談を、保健師、助産師、必要に応じて小児科医師が実施し、親の不安の軽減を図る。","相談受理件数30,868件","相談受理件数29,400件","相談受理件数28,824件","相談受理件数29,948件","相談受理件数 31,836件"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","8","生涯を通じた女性の健康支援事業","福祉保健局","女性の心身の健康に関する電話相談「東京都女性のための健康ホットライン」や妊娠・出産に関する相談（電話・メール）「妊娠相談ほっとライン」、不妊や不育に関する電話相談「不妊・不育ホットライン」を実施し、女性特有の健康不安の軽減を図る。","女性のための健康ホットライン590件／不妊ホットライン400件","女性のための健康ホットライン532件／不妊ホットライン422件","女性のための健康ホットライン448件／不妊・不育ホットライン377件","女性のための健康ホットライン623件／不妊・不育ホットライン432件","女性のための健康ホットライン 617件不妊・不育ホットライン 428件／妊娠相談ほっとライン 電話 644件、メール78件"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","○","","","9","要支援家庭の早期発見に向けた取組","福祉保健局","母子健康手帳交付時や新生児訪問時の機会等を活用して、支援が必要な家庭の早期発見を図り、保健所・保健センターの個別指導、子供家庭支援センターで実施する在宅サービスなど、適切な支援につなげる区市町村の取組を促進する。","○普及啓発／母子保健研修の実施2回／○医療保健政策区市町村補助事業（包括補助）／28か所","○普及啓発／母子保健研修の実施2回／○医療保健政策区市町村補助事業（包括補助）／29か所","○普及啓発／母子保健研修の実施2回／○医療保健政策区市町村補助事業（包括補助）／29か所","○普及啓発／母子保健研修の実施1回／○子供家庭支援区市町村包括補助事業／31か所","○普及啓発／母子保健研修の実施 ５回／○子供家庭支援区市町村包括補助事業 ２８か所"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","10","母子保健研修","福祉保健局","区市町村、保健所職員等を対象として専門研修を実施し、地域における母子保健水準の維持・向上を図る。","年間10回実施／受講者合計2,400名","年間10回実施／受講者合計2,089名","年間10回実施／受講者合計2,361名","年間10回実施／参加者合計2,134名","年間１０回実施／参加者合計 2,049名"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","○","","","11","アレルギー疾患対策","福祉保健局","「保育園・幼稚園・学校における食物アレルギー日常生活・緊急時対応ガイドブック」などを活用した、子供のアレルギー疾患に関する研修などを実施し、人材育成と普及啓発を推進する。","【人材育成】／○都作成の食物アレルギーガイドブックを活用して研修を実施／○子供のアレルギー相談実務研修（年3回）720名参加／○ぜん息・食物アレルギー緊急時対応研修（年2回）546名参加（546施設）／【普及啓発】／○子供のアレルギー講演会（年1回）338名参加／○アレルギー教室：都保健所７か所にて実施675名参加","【人材育成】／○都作成の食物アレルギーガイドブックを活用して研修を実施／○子供のアレルギー相談実務研修（年2回）507名参加／○ぜん息・食物アレルギー緊急時対応研修（年2回）527名参加（419施設）／【普及啓発】／○子供のアレルギー講演会（年1回）304名参加／○アレルギー教室：都保健所6か所にて実施616名参加","【人材育成】／○都作成の食物アレルギーガイドブックを活用して研修を実施／○子供のアレルギー相談実務研修（年3回）763名参加／○ぜん息・食物アレルギー緊急時対応研修（年2回）554名参加（478施設）／【普及啓発】／○子供のアレルギー講演会（年1回）201名参加／○アレルギー教室：都保健所6か所にて実施388名参加","【人材育成】／○食物アレルギー緊急時対応マニュアルの作成／○都作成の「食物アレルギーガイドブック」「食物アレルギー緊急時対応マニュアル」を活用して研修を実施／○子供のアレルギー相談実務研修（年3回）981名参加／○ぜん息・食物アレルギー緊急時対応研修（年4回）1,077名参加／【普及啓発】／○子供のアレルギー講演会（年1回）368名参加／○アレルギー教室：都保健所6ヶ所にて実施1,070名参加","【人材育成】／○子供のアレルギー相談実務研修（年3回） 965名参加／○ぜん息・食物アレルギー緊急時対応研修（年4回） 1,871名参加／【普及啓発】／○子供のアレルギー講演会（年1回）371名参加／○アレルギー教室：都保健所6か所にて実施 603名参加／【調査】／○アレルギー疾患に関する3歳児全都調査／都内区市町村3歳児健康診査受診者を対象に調査を実施（調査票配布：8,383名、回収数：3,435名）／○アレルギー疾患に関する施設調査／都内保育施設等に対するアレルギー対応調査を実施（調査票配布：7,405施設、回収数：5,348施設）"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","12","食を通じた子供の健全育成","教育庁","子供たちが食に関する適切な判断力を養い、健全な食生活を身に付けられるよう、次の取組を推進する。／○「食育研究指定地区」に指定した区市に栄養教諭を配置し、地場産物を活用した食育の実践研究を行い、研究成果を全区市町村に広め、食育の推進を図る。","○食育研究指定地区10区市／栄養教諭を指定地区に各1名配置（計26名配置）／○食育研究発表会の開催／○栄養教諭による「食に関する指導」研究報告書の作成及び全公立学校への配布","○食育研究指定地区9区市／栄養教諭を指定地区に各1名配置（計35名配置）／○食育研究発表会の開催／○栄養教諭による「食に関する指導」研究報告書の作成及び全公立学校への配布","○食育研究指定地区8区市／栄養教諭を指定地区に各1名配置（計44名配置）／○食育研究発表会の開催／○栄養教諭による「食に関する指導」研究報告書の作成及び全公立学校への配布","○栄養教諭の複数配置（９区）栄養教諭配置計49名／○食育研究発表会の開催／○栄養教諭による「食に関する指導」研究報告書の作成及び全公立学校への配布","○栄養教諭の複数配置の推進（１１区１市）／○栄養教諭の資質向上及び食育リーダーの支援等による食育の推進／○食に関する指導研修会の開催／○栄養教諭による「食に関する指導」研究報告書の作成及び全公立学校への配布"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","12","食を通じた子供の健全育成","福祉保健局","○幼児期からの健康的な食習慣の確立を図るため、「東京都幼児向け食事バランスガイド」の普及を行うとともに、区市町村等が実施する親子食育教室等の開催を支援する。／○「東京都健康推進プラン21（栄養・食生活分野）推進連絡会議」を開催し、区市町村や保健所における食を通じた子どもの健全育成のための推進方策の検討や情報交換等を行い、各自治体の取組を支援する。","○技術支援／・幼稚園、保育所等の職員向け講習会の開催5回／・親子食育教室等の開催支援70回／・栄養士・管理栄養士養成施設向け講習の開催１回／○普及啓発／・都民に対する普及啓発等2回","○技術支援／・幼稚園、保育所等の職員向け講習会の開催8回／・親子食育教室等の開催支援67回／・栄養士・管理栄養士養成施設向け講習の開催1回／○普及啓発／・都民に対する普及啓発等2回","○技術支援／・幼稚園、保育所等の職員向け講習会の開催3回／・親子食育教室等の開催支援85回／・栄養士・管理栄養士養成施設向け講習の実施1回／○普及啓発／・都民に対する普及啓発等3回","○技術支援／・幼稚園、保育所等の職員向け講習会の開催1回／・親子食育教室等の開催支援69回／・栄養士・管理栄養士養成施設向け講習の実施1回／○普及啓発／・都民に対する普及啓発等3回","○技術支援／・幼稚園、保育所等の職員向け講習会の開催 1回／・親子食育教室等の開催支援 73回／・栄養士・管理栄養士養成施設向け講習の実施 0回／○普及啓発／・都民に対する普及啓発等 2回"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(1)子育てに関する相談支援体制の充実","","","","","13","医療保健政策区市町村包括補助事業","福祉保健局","身近な地域医療・保健の実施主体である区市町村が地域の実情に合わせて行う自主的、主体的な取組を支援し、医療保健サービスの向上を推進する。","交付確定額2,026,089千円／62区市町村","交付確定額2,145,275千円／61区市町村","交付確定額1,862,331千円／61区市町村","交付確定額2,193,248千円／61区市町村","交付確定額 1,782,003千円 61区市町村"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(2)地域における子育て支援サービスの充実","","","","○","14","子育て短期支援事業（ショートステイ）","福祉保健局","子育て家庭が、ショートステイのサービスを、必要に応じて利用することができるよう、整備に取り組む区市町村を支援する。","45区市町（20区24市１町）","47区市町（21区25市１町）","51区市町（23区26市2町）","51区市町（23区26市2町）","51区市町（23区26市2町）"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(2)地域における子育て支援サービスの充実","","","○","○","15","一時預かり事業","福祉保健局","地域の保育需要に対応するため、保育所等で児童を一時的に預かるなどにより、安心して子育てができる環境を整備する。","年間延べ利用児童数：375,958人","年間延べ利用児童数：423,948人","年間延べ利用児童数：454,285人","年間延べ利用児童数：514,205人","年間延べ利用児童数：572,441人【確定見込数】"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(2)地域における子育て支援サービスの充実","","","","○","16","乳児家庭全戸訪問（こんにちは赤ちゃん）・養育家庭訪問事業","福祉保健局","生後4ヶ月までの乳児のいるすべての家庭を訪問する乳児家庭全戸訪問事業や、保護者の養育を支援することが特に必要な家庭を訪問し支援する養育支援訪問事業を実施する区市町村の取組を支援する。","乳児家庭全戸訪問事業48区市町村（20区22市4町2村）／養育支援訪問事業49区市町","乳児家庭全戸訪問事業52区市町村（21区24市4町3村）／養育支援訪問事業50区市町","乳児家庭全戸訪問事業54区市町村（22区25市4町3村）／養育支援訪問事業52区市町（23区26市3町）","乳児家庭全戸訪問事業54区市町村（22区25市4町3村）／養育支援訪問事業53区市町（23区26市4町）","乳児家庭全戸訪問事業 53区市町村（23区25市3町2村）養育支援訪問事業 50区市町（23区25市2町）"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(2)地域における子育て支援サービスの充実","","","","○","17","ファミリー・サポート・センター事業<子供家庭支援区市町村包括補助事業及び保育緊急確保事業>","福祉保健局","仕事と家庭の両立や子を持つすべての家庭の子育てを支援するため、地域の会員同士で育児の援助を行うファミリー･サポート･センターの安定的な実施に取り組む区市町村を支援する。","47区市町（22区23市2町）／提供会員数：13,012人","47区市町（22区23市2町）／提供会員数：13,446人","47区市町（22区23市2町）／提供会員数：13,496人","48区市町（22区24市2町）／提供会員数：13,968人","48区市町（22区24市2町）提供会員数：14,452人"
"目標1地域で安心して子育てができる新たな仕組みづくり／（1）子育て家庭を地域で支える仕組みとサービスの充実／(2)地域における子育て支援サービスの充実","","新","○","","18","子育て支援のための拠点施設整備事業","福祉保健局","地域における子育て支援の中心となる「子育て支援のための拠点施設」の整備に取り組む区市町村を支援する。また、子育て家庭に対する一時預かりを実施する施設整備への補助を拡充し、在宅で子育てをする家庭への支援を推進する。","1か所／1区","7か所／7区市（3区4市）","1か所／1市","2か所／2区","2か所／1区1市"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(1)小児医療体制の整備","","","○","","19","小児救急医療体制の充実（初期・二次救急）","福祉保健局","子どもの急病に対応するため、区市町村が地域の小児科医の協力を得て実施する「小児初期救急平日夜間診療事業」に対して積極的な支援を行う。入院を必要とする小児の救急患者に対応する二次救急医療については、小児科の「休日・全夜間診療事業」を引き続き実施し、原則、固定・通年制で常時小児科医師による対応が可能な体制を確保する。","＜初期救急＞32区市（18区14市）／＜二次救急＞71床（46施設）","＜初期救急＞32区市（18区14市）／＜二次救急＞72床（47施設）","＜初期救急＞32区市（18区14市）／＜二次救急＞76床（50施設）","＜初期救急＞35区市町（18区16市1町）／＜二次救急＞79床（51施設）","＜初期救急＞35区市町（18区16市1町）／＜二次救急＞80床（51施設）"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(1)小児医療体制の整備","","○","","","20","地域における小児医療研修","福祉保健局","地域の診療所の医師を対象とした「地域小児医療研修（臨床研修）」や症例報告・疾病別の発生動向等の情報交換を行う地域研修会の実施などにより、小児救急医療の基盤を強化する。","地域小児医療研修（臨床研修）11名","地域小児医療研修（臨床研修）15名","地域小児医療研修（臨床研修）４名","地域小児医療研修（臨床研修）１６名","地域小児医療研修（臨床研修） １
