一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
527,国分寺市内藤1-6,35.693974,139.458237,JGD2011,都道145号線立川・国分寺線（多喜窪通り）,c,2009-12-15,2009-12-16,4,2,1.5 ,1.2 ,69,66
528,国分寺市西元町1-1,35.695480,139.473618,JGD2011,立川国分寺線,A,2009-11-19,2009-11-20,4,2,1.9 ,1.2 ,67,63
529,国立市谷保7190-4,35.681619,139.441444,JGD2011,都道256号線,b,2010-02-23,2010-02-24,4,4,1.0 ,1.2 ,71,67
531,国立市東2-29,35.694640,139.446731,JGD2011,国立停車場谷保線（大学通り）,a,2010-02-22,2010-02-23,4,4,3.0 ,1.2 ,66,62
533,福生市本町5,35.738701,139.326782,JGD2011,都道立川・青梅線〈新奥多摩街道〉,c,2010-02-04,2010-02-05,4,2,3.0 ,1.5 ,59,56
534,福生市牛浜163,35.733948,139.336945,JGD2011,都道杉並・あきる野線〈五日市街道〉,a,2010-01-28,2010-01-29,4,2,3.0 ,1.5 ,55,50
536,福生市熊川304,35.719582,139.333450,JGD2011,都道杉並・あきる野線〈睦橋通り〉,b,2010-03-04,2010-03-05,4,4,3.0 ,2.0 ,63,69
537,福生市熊川1631,35.723953,139.348816,JGD2011,都道杉並・あきる野線〈五日市街道〉,c,2010-02-18,2010-02-19,4,2,3.0 ,1.5 ,62,61
539,東大和市中央2-870,35.746445,139.429016,JGD2011,都道新宿青梅線（新青梅街道）,b,2009-11-26,2009-11-27,4,4,2.0 ,1.5 ,77,74
540,東大和市中央2-1101,35.743881,139.430359,JGD2011,都道新宿青梅線（青梅街道）,b,2009-11-19,2009-11-20,4,2,1.0 ,1.2 ,69,65
541,東大和市蔵敷1-448,35.754211,139.421036,JGD2011,都道新宿青梅線（青梅街道）,a,2009-11-18,2009-11-19,4,2,0.5 ,1.2 ,67,62
542,東大和市立野4-476,35.741055,139.417053,JGD2011,都道立川東大和線（芋窪街道）,c,2009-11-30,2009-12-01,4,2,3.4 ,1.2 ,70,67
543,清瀬市中清戸2-686,35.781063,139.527237,JGD2011,都道浦和東村山線（志木街道）,a,2009-10-27,2009-10-28,4,2,2.0 ,1.2 ,64,63
544,清瀬市元町2-27,35.778091,139.517990,JGD2011,都道練馬所沢線（小金井街道）,c,2009-11-26,2009-11-27,4,2,2.0 ,1.2 ,64,63
545,清瀬市竹丘1-17,35.769478,139.508118,JGD2011,都道東村山清瀬線（病院街道）,a,2009-11-18,2009-11-19,4,2,2.0 ,1.2 ,67,59
546,清瀬市上清戸1-2,35.772640,139.524704,JGD2011,練馬所沢線,A,2009-11-30,2009-12-01,4,2,2.0 ,1.2 ,64,60
547,東久留米市滝山3-11,35.740479,139.505096,JGD2011,都道新宿青梅線（新青梅街道）,b,2010-01-14,2010-01-15,4,4,3.8 ,1.2 ,69,66
548,東久留米市野火止1-1,35.761608,139.515976,JGD2011,都道府中清瀬線（小金井街道）,c,2010-01-14,2010-01-15,4,2,3.2 ,1.2 ,70,69
549,東久留米市南沢5-18,35.744312,139.524948,JGD2011,都道東京所沢線（所沢街道）,a,2010-01-14,2010-01-15,4,2,2.5 ,1.2 ,69,68
550,東久留米市滝山6-1,35.746067,139.504303,JGD2011,都道東久留米線（新小金井街道）,a,2010-01-14,2010-01-15,4,2,3.5 ,1.2 ,68,67
551,武蔵村山市三ﾂ木3-23,35.760361,139.371445,JGD2011,都道新宿青梅線（青梅街道）,b,2009-10-29,2009-10-30,4,2,2.5 ,1.2 ,71,66
552,武蔵村山市中藤4-18,35.757717,139.403427,JGD2011,都道新宿青梅線（青梅街道）,b,2009-10-29,2009-10-30,4,2,2.0 ,1.2 ,64,59
553,武蔵村山市三ﾂ藤3-7,35.756237,139.371658,JGD2011,都道新宿青梅線（新青梅街道）,b,2009-10-27,2009-10-28,4,4,2.8 ,1.2 ,73,70
554,武蔵村山市学園3-24,35.748310,139.405487,JGD2011,都道新宿青梅線（新青梅街道）,b,2009-10-27,2009-10-28,4,4,2.8 ,1.2 ,75,71
555,武蔵村山市残堀5-8,35.749798,139.373489,JGD2011,都道三ツ木八王子線,b,2009-10-28,2009-10-29,4,2,4.0 ,1.2 ,66,62
556,武蔵村山市榎3-113,35.749233,139.383408,JGD2011,都道八王子武蔵村山線,b,2009-10-28,2009-10-29,4,2,3.9 ,1.2 ,68,66
557,武蔵村山市伊奈平2-19,35.740856,139.382156,JGD2011,都道八王子武蔵村山線,c,2009-10-28,2009-10-29,4,2,3.9 ,1.2 ,68,64
558,武蔵村山市大南1-148,35.736668,139.395889,JGD2011,都道所沢武蔵村山立川線,c,2009-10-29,2009-10-30,4,2,3.1 ,1.2 ,66,64
句ｭ千一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
560,多摩市一ﾉ宮4-40,35.651226,139.438278,JGD2011,府中相模原線（野猿街道）,c,2009-12-02,2009-12-08,4,8,4.0 ,1.2 ,67,63
561,多摩市貝取5,35.612305,139.440384,JGD2011,府中町田線（鎌倉街道）,b,2009-12-02,2009-12-08,4,4,4.0 ,1.2 ,67,64
562,多摩市関戸4-10,35.647438,139.452744,JGD2011,府中町田線（鎌倉街道）,c,2009-12-02,2009-12-08,4,7,4.0 ,1.2 ,70,68
563,多摩市鶴牧1-1,35.625404,139.421799,JGD2011,小山乞田線（多摩ニュータウン通り）,c,2009-12-02,2009-12-08,4,4,3.5 ,1.2 ,67,61
564,多摩市乞田712,35.631371,139.436386,JGD2011,小山乞田線（多摩ニュータウン通り）,b,2009-12-02,2009-12-08,4,4,4.0 ,1.2 ,68,65
565,多摩市関戸5-12,35.641865,139.450806,JGD2011,府中町田線（鎌倉街道）,b,2009-12-02,2009-12-08,4,5,4.0 ,1.2 ,67,63
566,多摩市永山2-26,35.625298,139.442551,JGD2011,府中町田線（鎌倉街道）,b,2009-12-02,2009-12-08,4,4,3.5 ,1.2 ,67,63
567,多摩市一ﾉ宮1-27,35.651836,139.438416,JGD2011,府中相模原線（川崎街道）,c,2009-12-02,2009-12-08,4,5,5.0 ,1.2 ,69,65
568,多摩市和田1837,35.646501,139.436155,JGD2011,府中相模原線（野猿街道）,b,2009-12-02,2009-12-08,4,4,4.0 ,1.2 ,66,62
569,多摩市南野3-15,35.612259,139.414017,JGD2011,町田日野線（尾根幹線）,b,2009-12-02,2009-12-08,4,2,5.5 ,1.2 ,64,60
570,稲城市矢野口432,35.640675,139.521408,JGD2011,都道川崎府中線（川崎街道）,c,2009-08-20,2009-08-20,4,4,6.0 ,1.2 ,69,-
571,稲城市大丸928-1,35.648172,139.492174,JGD2011,都道稲城日野線（川崎街道）,c,2009-08-20,2009-08-20,4,4,6.0 ,1.2 ,70,-
572,稲城市坂浜418,35.627499,139.487488,JGD2011,都道町田調布線（鶴川街道）,a,2009-08-20,2009-08-20,4,2,2.0 ,1.2 ,69,-
573,稲城市東長沼1735,35.637405,139.509216,JGD2011,都道町田調布線（鶴川街道）,b,2009-08-20,2009-08-20,4,2,4.0 ,1.2 ,67,-
574,稲城市百村2130,35.637875,139.493317,JGD2011,都道南多摩尾根幹線（尾根幹線）,b,2009-08-20,2009-08-20,4,2,5.0 ,1.2 ,64,-
575,稲城市若葉台2-17,35.621483,139.478241,JGD2011,都道町田調布線（鶴川街道）,b,2009-08-20,2009-08-20,4,2,5.0 ,1.2 ,62,-
