景況調査推移表（業況DI（全体・製造業））,,,,
　平成20年(2008年)１月分～　【過去12年分】,,,,
,,,,
年,月,全体,サービス業,経緯
2007,1,▲ 29,▲ 17,
2007,2,▲ 31,▲ 24,
2007,3,▲ 35,▲ 27,
2007,4,▲ 31,▲ 23,
2007,5,▲ 27,▲ 21,
2007,6,▲ 27,▲ 20,
2007,7,▲ 31,▲ 24,
2007,8,▲ 29,▲ 20,
2007,9,▲ 34,▲ 29,
2007,10,▲ 33,▲ 22,
2007,11,▲ 31,▲ 20,
2007,12,▲ 38,▲ 30,
2008,1,▲ 40,▲ 34,
2008,2,▲ 41,▲ 33,2008.2～2009.3景気後退期
2008,3,▲ 44,▲ 35,
2008,4,▲ 44,▲ 32,
2008,5,▲ 43,▲ 33,
2008,6,▲ 42,▲ 31,
2008,7,▲ 42,▲ 33,
2008,8,▲ 50,▲ 40,
2008,9,▲ 48,▲ 40,リーマンショック
2008,10,▲ 58,▲ 44,
2008,11,▲ 64,▲ 52,
2008,12,▲ 63,▲ 55,
2009,1,▲ 62,▲ 49,
2009,2,▲ 67,▲ 56,
2009,3,▲ 69,▲ 59,
2009,4,▲ 71,▲ 56,
2009,5,▲ 66,▲ 58,
2009,6,▲ 63,▲ 52,
2009,7,▲ 65,▲ 52,
2009,8,▲ 57,▲ 48,
2009,9,▲ 59,▲ 53,
2009,10,▲ 57,▲ 50,
2009,11,▲ 62,▲ 55,
2009,12,▲ 58,▲ 52,
2010,1,▲ 49,▲ 41,
2010,2,▲ 48,▲ 47,
2010,3,▲ 45,▲ 38,
2010,4,▲ 48,▲ 47,
2010,5,▲ 48,▲ 46,
2010,6,▲ 46,▲ 44,
2010,7,▲ 42,▲ 36,
2010,8,▲ 43,▲ 42,
2010,9,▲ 43,▲ 37,
2010,10,▲ 47,▲ 48,
2010,11,▲ 38,▲ 34,
2010,12,▲ 36,▲ 33,
2011,1,▲ 37,▲ 33,
2011,2,▲ 35,▲ 31,
2011,3,▲ 54,▲ 56,東日本大震災
2011,4,▲ 57,▲ 53,
2011,5,▲ 53,▲ 46,
2011,6,▲ 46,▲ 41,
2011,7,▲ 44,▲ 36,
2011,8,▲ 41,▲ 37,
2011,9,▲ 41,▲ 35,
2011,10,▲ 40,▲ 33,
2011,11,▲ 40,▲ 34,
2011,12,▲ 38,▲ 32,
2012,1,▲ 39,▲ 33,
2012,2,▲ 37,▲ 23,
2012,3,▲ 30,▲ 19,2012.3～11景気後退期
2012,4,▲ 36,▲ 25,
2012,5,▲ 36,▲ 27,
2012,6,▲ 37,▲ 28,
2012,7,▲ 38,▲ 34,
2012,8,▲ 42,▲ 28,
2012,9,▲ 43,▲ 28,
2012,10,▲ 41,▲ 28,
2012,11,▲ 41,▲ 29,
2012,12,▲ 37,▲ 21,
2013,1,▲ 38,▲ 29,
2013,2,▲ 35,▲ 25,
2013,3,▲ 30,▲ 17,
2013,4,▲ 29,▲ 21,
2013,5,▲ 32,▲ 22,
2013,6,▲ 37,▲ 25,
2013,7,▲ 33,▲ 23,
2013,8,▲ 36,▲ 23,
2013,9,▲ 30,▲ 23,
2013,10,▲ 28,▲ 25,増税決定
2013,11,▲ 24,▲ 19,
2013,12,▲ 24,▲ 14,
2014,1,▲ 25,▲ 15,
2014,2,▲ 27,▲ 23,
2014,3,▲ 13,▲ 14,
2014,4,▲ 32,▲ 24,消費税(5%→8%)
2014,5,▲ 29,▲ 20,
2014,6,▲ 31,▲ 23,
2014,7,▲ 30,▲ 22,
2014,8,▲ 36,▲ 29,
2014,9,▲ 29,▲ 20,
2014,10,▲ 27,▲ 20,
2014,11,▲ 35,▲ 26,
2014,12,▲ 36,▲ 27,
2015,1,▲ 36,▲ 25,
2015,2,▲ 35,▲ 22,
2015,3,▲ 35,▲ 24,
2015,4,▲ 27,▲ 19,
2015,5,▲ 27,▲ 19,
2015,6,▲ 24,▲ 16,
2015,7,▲ 29,▲ 19,
2015,8,▲ 33,▲ 23,
2015,9,▲ 33,▲ 25,
2015,10,▲ 25,▲ 18,
2015,11,▲ 30,▲ 22,
2015,12,▲ 31,▲ 22,
2016,1,▲ 34,▲ 23,
2016,2,▲ 34,▲ 26,
2016,3,▲ 35,▲ 30,
2016,4,▲ 31,▲ 18,
2016,5,▲ 34,▲ 25,
2016,6,▲ 35,▲ 21,
2016,7,▲ 36,▲ 22,
2016,8,▲ 33,▲ 22,
2016,9,▲ 33,▲ 23,
2016,10,▲ 34,▲ 27,
2016,11,▲ 28,▲ 24,
2016,12,▲ 30,▲ 21,
2017,1,▲ 31,▲ 25,
2017,2,▲ 30,▲ 22,
2017,3,▲ 33,▲ 22,
2017,4,▲ 26,▲ 17,
2017,5,▲ 28,▲ 18,
2017,6,▲ 24,▲ 15,
2017,7,▲ 25,▲ 17,
2017,8,▲ 23,▲ 16,
2017,9,▲ 22,▲ 12,
2017,10,▲ 28,▲ 19,
2017,11,▲ 20,▲ 11,
2017,12,▲ 22,▲ 15,
2018,1,▲ 27,▲ 18,
2018,2,▲ 26,▲ 16,
2018,3,▲ 29,▲ 16,
2018,4,▲ 23,▲ 12,
2018,5,▲ 21,▲ 9,
2018,6,▲ 23,▲ 16,
2018,7,▲ 25,▲ 18,
2018,8,▲ 23,▲ 14,
2018,9,▲ 28,▲ 17,
2018,10,▲ 23,▲ 12,
2018,11,▲ 22,▲ 16,
2018,12,▲ 29,▲ 17,
2019,1,▲ 32,▲ 25,
2019,2,▲ 31,▲ 19,
2019,3,▲ 37,▲ 23,
2019,4,▲ 25,▲ 17,
2019,5,▲ 31,▲ 15,
2019,6,▲ 33,▲ 17,
2019,7,▲ 31,▲ 20,
2019,8,▲ 27,▲ 14,
2019,9,▲ 21,▲ 12,
2019,10,▲ 40,▲ 23,消費税(8%→10%)
2019,11,▲ 36,▲ 25,
2019,12,▲ 35,▲ 23,
ont/normal.css" rel="stylesheet" type="text/css" id="tmp_font" media="all" title="default" class="tmp_font">
<link href="/shared/style/font/small.css" rel="alternate stylesheet" type="text/css" media="all" title="small" class="tmp_font">
<link href="/shared/style/font/big.css" rel="alternate stylesheet" type="text/css" media="all" title="big" class="tmp_font">
<link href="/shared/style/font/big2.css" rel="alternate stylesheet" type="text/css" media="all" title="big2" class="tmp_font">
<link href="/shared/style/tablet.css" rel="stylesheet" media="only screen and (min-width : 671px) and (max-width : 959px)" type="text/css" id="tmp_tablet_css">
<link href="/shared/style/smartphone.css" rel="stylesheet" media="only screen and (max-width : 670px)" type="text/css" id="tmp_smartphone_css">
<!-- 霑ｽ蜉�css --> 

<!-- Plugins or Flameworks --> 
<script src="/scripts/vendor/lib.js"></script> 
<script src="/scripts/main.js"></script> 

<!-- 霑ｽ蜉�js --> 
<script type="text/javascript" src="/shared/js/jquery.js"></script> 
<script type="text/javascript" src="/shared/js/gd.js"></script> 
<script type="text/javascript" src="/shared/js/setting_head.js"></script> 
<!-- 霑ｽ蜉�js --> 

<!-- Google Tag Manager -->
<script>(function(w,d,s,l,i){w[l]=w[l]||[];w[l].push({'gtm.start':
new Date().getTime(),event:'gtm.js'});var f=d.getElementsByTagName(s)[0],
j=d.createElement(s),dl=l!='dataLayer'?'&l='+l:'';j.async=true;j.src=
'https://www.googletagmanager.com/gtm.js?id='+i+dl;f.parentNode.insertBefore(j,f);
})(window,document,'script','dataLayer','GTM-M9947LT');</script>
<!-- End Google Tag Manager -->
<script type="text/javascript">
jQuery(function() {
    jQuery("a").click(function(e) {
        var ahref = jQuery(this).attr('href');
        if (ahref.indexOf("sangyo-rodo.metro.tokyo.jp") != -1 || ahref.indexOf("http") == -1 ) {
            ga('send', 'event', '蜀�Κ繝ｪ繝ｳ繧ｯ', 'click', ahref);}
        else {
            ga('send', 'event', '螟夜Κ繝ｪ繝ｳ繧ｯ', 'click', ahref);}
        });
    });

19
</script>
</head>
<body>

27
<!-- Google Tag Manager (noscript) -->

50
<noscript><iframe src="https://www.googletagmanager.com/ns.html?id=GTM-M9947LT"

51
height="0" width="0" style="display:none;visibility:hidden"></iframe></noscript>

2b
<!-- End Google Tag Manager (noscript) -->

1a
<!-- [ Reader Start ] -->

19
<div class="pageReader">

4b
  <p><a id="reader-pagetop" tabindex="-1">繝壹�繧ｸ縺ｮ蜈磯�ｭ縺ｧ縺�</a></p>

7
</div>

19
<!-- [ Reader End ] --> 

1


1a
<!-- [ Reader Start ] -->

19
<div class="pageReader">

7
  <dl>

3b
    <dt>繝壹�繧ｸ蜀�ｒ遘ｻ蜍輔☆繧九◆繧√�繝ｪ繝ｳ繧ｯ</dt>

54
    <dd><a href="#reader-content" accesskey="c" tabindex="-1">譛ｬ譁�(c)縺ｸ</a></dd>

70
    <dd><a href="#reader-gnavi" accesskey="g" tabindex="-1">繧ｰ繝ｭ繝ｼ繝舌Ν繝翫ン繧ｲ繝ｼ繧ｷ繝ｧ繝ｳ(g)縺ｸ</a></dd>

5e
    <dd><a href="#reader-lnavi" accesskey="l" tabindex="-1">繝ｭ繝ｼ繧ｫ繝ｫ繝翫ン(l)縺ｸ</a></dd>

66
    <dd><a href="#reader-site" accesskey="i" tabindex="-1">繧ｵ繧､繝医�縺泌茜逕ｨ譯亥�(i)縺ｸ</a></dd>

8
  </dl>

7
</div>

18
<!-- [ Reader End ] -->

1


1d
<div id="base" class="base">

1


2e
<!-- 繝倥ャ繝�繝ｼ荳雁��医リ繝薙↑縺暦ｼ� -->

1


17
<div id="tmp_wrapper">

b
<noscript>

a6
<p>縺薙�繧ｵ繧､繝医〒縺ｯJavaScript繧剃ｽｿ逕ｨ縺励◆繧ｳ繝ｳ繝�Φ繝��讖溯�繧呈署萓帙＠縺ｦ縺�∪縺吶��avaScript繧呈怏蜉ｹ縺ｫ縺吶ｋ縺ｨ縺泌茜逕ｨ縺�◆縺�縺代∪縺吶��</p>

c
</noscript>

1b
<div id="tmp_wrap_header">

16
<div id="tmp_header">

17
  <div id="tmp_hlogo">

4d
    <h1><a href="/index.html"><span>譚ｱ莠ｬ驛ｽ逕｣讌ｭ蜉ｴ蜒榊ｱ�</span></a></h1>

9
  </div>

d1
<a href="https://tokyotokyo.jp/ja/"><img src="https://www.sangyo-rodo.metro.tokyo.lg.jp/images/tokyo_ouen2.jpg" height="200" width="250" alt="tokyotokyo" style="padding-left:20px;縲�word-spacing: 0.1em;"></a>

18
  <ul id="tmp_hnavi_s">

5f
    <li id="tmp_hnavi_lmenu"><a href="javascript:void(0);"><span>繝｡繝九Η繝ｼ</span></a> </li>

8
  </ul>

17
  <div id="tmp_means">

21
    <div id="tmp_means_primary">

1a
      <ul id="tmp_hnavi">

13d
        <!-- 髻ｳ螢ｰ隱ｭ縺ｿ荳翫￡蜑企勁 <li class="read_btn"><a accesskey="L" onclick="readpage(this.href, 'tmp_readspeaker'); return false;" target="_blank" rel="nofollow" href="//app-as.readspeaker.com/cgi-bin/rsent?customerid=5511&amp;lang=ja_jp&amp;readid=tmp_maincontents&amp;url=">髻ｳ螢ｰ隱ｭ縺ｿ荳翫￡</a></li> -->

7a
        <li class="read_btn"><a href="/eng/" class="headerLink__item__link headerLink__item__link--lang">English</a></li>

5d
        <li class="func_btn"><a href="/moji.html">譁�ｭ励し繧､繧ｺ繝ｻ濶ｲ蜷医＞螟画峩</a
