島別,大島／2017年（人）,大島／2016年（人）,利島／2017年（人）,利島／2016年（人）,新島／2017年（人）,新島／2016年（人）,式根島／2017年（人）,式根島／2016年（人）,神津島／2017年（人）,神津島／2016年（人）,計／2017年（人）,計／2016年（人）,前年対比（％）
1月,15570,13679,481,496,2172,2357,447,332,1857,1611,20527,18475,111.1
2月,26459,23227,467,450,2128,2329,470,443,1749,1376,31273,27825,112.4
3月,36003,28352,565,570,2917,2750,886,724,2585,2339,42956,34735,123.7
4月,14684,14189,611,477,3199,3394,915,993,2247,2329,21656,21382,101.3
5月,18637,16839,1114,802,5784,5226,2187,1752,4849,3368,32571,27987,116.4
6月,16198,15198,619,691,3406,3436,1205,1150,2532,2119,23960,22594,106
7月,21367,20507,1140,1039,6613,6426,5221,4837,7163,6400,41504,39209,105.9
8月,30305,28082,1352,1015,11362,9516,9527,7731,13046,10733,65592,57077,114.9
9月,17396,18258,759,725,4545,4850,2973,3728,4643,4613,30316,32174,94.2
10月,14491,18174,455,747,2601,3357,763,1269,2164,2634,20474,26181,78.2
11月,16444,16814,665,529,3256,2595,1023,858,2479,2137,23867,22933,104.1
12月,16432,16349,541,502,2564,2717,684,568,2140,1925,22361,22061,101.4
計,243986,229668,8769,8043,50547,48953,26301,24385,47454,41584,377057,352633,106.9
前年対比（％）,106.2,,109,,103.3,,107.9,,114.1,,106.9,,
年対比-,-,5,19,-,-,-,-,-,-,24,54,4,11,2,7,2,4,5,9,9,21,8,18,1,3,1,1,1,1,-,-,5,12,1,4,-,-,4,8,-,-,38,232,-,-,3,10,1,2,2,8,-,-,-,-,-,-,3,14,1,2,11,79,4,52,2,4,4,12,1,11,20,127,5,85,-,-,-,-,2,4,6,20,5,13,1,2,-,-,1,3,11,28,2,3,-,-,-,-,-,-,2,3,2,2,7,23,5,17,-,-,2,6,-,-,48,163,1,3,-,-,-,-,1,3,-,-,1,1,1,1,-,-,-,-,-,-,16,73,1,5,2,9,10,54,3,5,-,-,-,-,-,-,-,-,3,4,1,-,2,4,6,26,2,6,-,-,1,10,3,10,2,7,1,4,-,-,1,3,5,8,1,2,4,6,14,41,-,-,5,10,4,14,-,-,2,3,-,-,-,-,-,-,3,14,6,20,6,20,-,-,1,3,1,1,1,2,3,14,-,-,-,-
6,13117,1311700401,蛹怜玄,蛹怜玄譚ｱ蜊∵擅,1荳∫岼,蛹怜玄譚ｱ蜊∵擅1荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,8,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,1,2,1,2,-,-,1,3,-,-,1,3,-,-,4,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,2,4,-,-,-,-,-,-,-,-,-,-,2,23,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,5,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,1,1,-,-,1,1,2,4,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13117,1311700402,蛹怜玄,蛹怜玄譚ｱ蜊∵擅,2荳∫岼,蛹怜玄譚ｱ蜊∵擅2荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,3,-,-,1,29,-,-,1,29,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,40,1,37,-,-,1,3,-,-,3,33,2,31,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,5,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,-,-,-,-,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,1,3,-,-,1,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,4,2,4,-,-,-,-,-,-,1,2,1,2,-,-,-,-
6,13117,1311700403,蛹怜玄,蛹怜玄譚ｱ蜊∵擅,3荳∫岼,蛹怜玄譚ｱ蜊∵擅3荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13,1,8,-,-,-,-,-,-,-,-,1,8,1,5,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,46,2,20,-,-,-,-,-,-,-,-,2,20,-,-,-,-,-,-,-,-,1,26,-,-,1,26,-,-,-,-,-,-,-,-,4,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,1,18,-,-,1,18,2,71,-,-,-,-,-,-,-,-,-,-,-,-,1,64,-,-,1,7,-,-,-,-,-,-,9,22,1,2,-,-,1,2,2,4,3,9,2,6,1,3,-,-,-,-,-,-,3,7,1,4,-,-,2,3,-,-,13,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,8,1,2,5,22,-,-,2,4,2,7,1,11,5,21,1,12,-,-,-,-,1,2,2,4,-,-,-,-,-,-,1,3,4,13,-,-,-,-,-,-,-,-,-,-,-,-,4,13,2,7,-,-,2,6,-,-,18,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,41,-,-,1,4,6,36,1,1,-,-,-,-,-,-,-,-,1,2,-,-,1,2,1,5,1,5,-,-,-,-,-,-,1,4,1,4,-,-,-,-,1,2,1,2,-,-,6,19,-,-,1,3,2,2,-,-,1,2,-,-,-,-,-,-,2,12,1,3,1,3,-,-,1,3,-,-,-,-,-,-,-,-,-,-
6,13117,1311700404,蛹怜玄,蛹怜玄譚ｱ蜊∵擅,4荳∫岼,蛹怜玄譚ｱ蜊∵擅4荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,9,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,15,32,3,9,2,7,1,2,3,5,6,12,6,12,-,-,1,1,1,1,-,-,2,5,-,-,-,-,2,5,-,-,10,72,-,-,2,8,1,2,1,6,-,-,-,-,-,-,1,6,-,-,3,15,2,13,-,-,1,2,-,-,4,43,1,30,-,-,-,-,-,-,1,10,1,1,1,2,-,-,-,-,4,9,2,3,-,-,-,-,-,-,2,3,-,-,2,6,2,6,-,-,-,-,-,-,16,53,1,3,-,-,-,-,1,3,-,-,1,1,1,1,-,-,-,-,-,-,4,18,1,5,1,5,1,7,1,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,2,12,-,-,-,-,1,10,1,2,1,3,-,-,-,-,1,3,2,2,-,-,2,2,4,14,-,-,1,1,2,12,-,-,1,1,-,-,-,-,-,-,-,-,3,13,3,13,-,-,-,-,1,1,-,-,2,12,-,-,-,-
6,13117,1311700405,蛹怜玄,蛹怜玄譚ｱ蜊∵擅,5荳∫岼,蛹怜玄譚ｱ蜊∵擅5荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,18,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,1,17,-,-,1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,15,2,15,-,-,-,-,-,-,-,-,-,-,-,-,2,14,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,26,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,4,22,1,12,-,-,-,-,-,-,1,2,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13117,1311700406,蛹怜玄,蛹怜玄譚ｱ蜊∵擅,6荳∫岼,蛹怜玄譚ｱ蜊∵擅6荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,32,1,5,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,1,12,-,-,1,12,1,15,-,-,1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13117,1311702900,蛹怜玄,蛹怜玄譚ｱ逕ｰ遶ｯ,,蛹怜玄譚ｱ逕ｰ遶ｯ,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,1,4,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,15,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,3,13,1,5,-,-,-,-,-,-,1,3,-,-,-,-,1,5,4,66,2,44,-,-,-,-,-,-,-,-,2,44,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,20,-,-,-,-,1,20,-,-,-,-,7,69,5,45,-,-,-,-,-,-,-,-,5,45,-,-,-,-,-,-,-,-,2,24,-,-,2,24,-,-,-,-,-,-,-,-,6,141,4,23,-,-,-,-,-,-,-,-,1,2,3,21,2,118,1,98,-,-,1,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,207,1,52,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,3,63,-,-,2,11,1,52,-,-,9,86,5,58,-,-,2,3,-,-,1,12,-,-,-,-,-,-,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,21,-,-,1,1,2,12,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,5,26,5,26,-,-,2,2,-,-,3,24,-,-,-,-,-,-
6,13117,1311702901,蛹怜玄,蛹怜玄譚ｱ逕ｰ遶ｯ,1荳∫岼,蛹怜玄譚ｱ逕ｰ遶ｯ1荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,8,1,5,-,-,-,-,-,-,1,3,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,15,2,10,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,1,5,-,-,1,5,-,-,-,-,-,-,-,-,3,110,2,12,-,-,-,-,-,-,-,-,-,-,2,12,1,98,1,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,170,1,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,3,63,-,-,2,11,1,52,-,-,6,52,4,39,-,-,1,1,-,-,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,17,-,-,-,-,2,12,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13117,1311702902,蛹怜玄,蛹怜玄譚ｱ逕ｰ遶ｯ,2荳∫岼,蛹怜玄譚ｱ逕ｰ遶ｯ2荳∫岼,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,1,4,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,3,64,2,44,-,-,-,-,-,-,-,-,2,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,20,-,-,-,-,1,20,-,-,-,-,4,54,3,35,-,-,-,-,-,-,-,-,3,35,-,-,-,-,-,-,-,-,1,19,-,-,1,19,-,-,-,-,-,-,-,-,3,31,2,11,-,-,-,-,-,-,-,-,1,2,1,9,1,20,-,-,-,-,1,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,3,34,1,19,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,1,1,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,26,5,26,-,-,2,2,-,-,3,24,-,-,-,-,-,-
5,13117,1311700300,蛹怜玄,蛹怜玄蝣�闊ｹ,,蛹怜玄蝣�闊ｹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,53,2,16,-,-,1,11,-,-,-,-,1,5,-,-,-,-,2,37,-,-,-,-,-,-,1,33,-,-,-,-,-,-,1,4,6,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,14,2,14,-,-,1,1,-,-,-,-,1,1,1,3,-,-,1,3,2,9,-,-,1,7,1,2,-,-,-,-,5,14,2,3,-,-,-,-,-,-,-,-,2,3,1,3,1,3,-,-,-,-,1,6,-,-,1,6,1,2,-,-,1,2,-,-,3,31,2,27,2,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,5,11,-,-,-,-,-,-,-,-,3,8,1,3,2,5,1,1,-,-,1,1,1,2,-,-,-,-,1,2,-,-,26,119,1,26,3,9,3,9,-,-,3,7,1,3,2,4,2,3,3,5,5,23,2,18,2,4,-,-,1,1,9,46,1,16,-,-,2,8,-,-,2,5,1,3,-,-,1,2,2,12,3,43,2,38,1,33,-,-,1,5,-,-,-,-,1,5,-,-,-,-,-,-,1,5,24,67,1,2,-,-,-,-,1,2,-,-,3,5,2,4,-,-,1,1,-,-,7,37,-,-,1,2,4,25,2,10,-,-,-,-,-,-,-,-,2,6,-,-,2,6,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,1,1,-,-,1,1,9,14,-,-,5,9,1,1,-,-,-,-,-,-,-,-,2,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
