1,"東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　6  電気・上下水道 6  ELECTRICITY, WATERWORKS, AND SEWERAGE",,,,,,,,,,,,,,,,,,,,
2,,,,,6-5  工業用水道の業種・用途別基本水量（平成29～令和元年度末） 6-5  BASIC INDUSTRIAL WATER SUPPLY BY TYPE OF INDUSTRY AND WATER USE ( End of Fiscal Years 2017-2019 ),,,,,,,,,,,,,,,,
3,,,,,注 1) 集合住宅は含まない。,,,,,,,,,,,,,,,,
4,,,,,Note: 1) Excluding collective housing.,,,,,,,,,,,,,,,,
5,,,,,"資料：都水道局総務部企画調整課 Source: Bureau of Waterworks, TMG ",,,,,,,,,,,,,,,,
6,,,,,（単位　立方メ－トル／日）(In cubic meters per day),,,,,,,,,,,,,,,,
7,年度末,End of fiscal year,業種,Type of industry,工業用水 Industrial use／給水件数 № of customers,工業用水 Industrial use／基本水量 Basic water supply,工業用水 Industrial use／用途別 Use of water／冷却For cooling,工業用水 Industrial use／用途別 Use of water／洗浄 For washing,工業用水 Industrial use／用途別 Use of water／製品処理 For product treatment,工業用水 Industrial use／用途別 Use of water／原料 For materials,工業用水 Industrial use／用途別 Use of water／温調 For heat adjustment,工業用水 Industrial use／用途別 Use of water／ボイラー For boilers,工業用水 Industrial use／用途別 Use of water／その他 Others,一般雑用水 General miscellaneous use 1)／給水件数 № of customers,一般雑用水 General miscellaneous use 1)／基本水量 Basic water supply,一般雑用水 General miscellaneous use 1)／用途別 Use of water／冷却 For cooling,一般雑用水 General miscellaneous use 1)／用途別 Use of water／洗浄 For washing,一般雑用水 General miscellaneous use 1)／用途別 Use of water／洗車 For car washing,一般雑用水 General miscellaneous use 1)／用途別 Use of water／散水 For watering,一般雑用水 General miscellaneous use 1)／用途別 Use of water／水洗トイレ For toilet flushing,一般雑用水 General miscellaneous use 1)／用途別 Use of water／その他 Others
8,平成29,2017,総数,Total,181,18756,6146,6303,1397,2148,273,1175,1314,298,12610,1168,790,902,862,6445,2443
9,平成30,2018,総数,Total,181,18790,6100,6413,1367,2092,318,1175,1325,294,12412,1168,792,899,847,6332,2374
10,令和元,2019,総数,Total,125,16748,5596,5714,1157,1939,261,1025,1056,220,10866,1081,604,550,775,5482,2374
11,令和元,2019,化学,Chemicals,18,2390,541,359,43,520,110,395,422,,,,,,,,
12,令和元,2019,鉄鋼,Iron and steel,5,3313,2940,240,-,-,-,78,55,,,,,,,,
13,令和元,2019,金属,Metalworking,6,195,80,89,9,-,8,3,6,,,,,,,,
14,令和元,2019,鍍金,Plating,11,225,35,152,35,-,-,-,3,,,,,,,,
15,令和元,2019,食品,Food,14,5422,1073,3352,378,129,114,116,260,,,,,,,,
16,令和元,2019,ゴム,Rubber,3,75,70,-,-,-,-,-,5,,,,,,,,
17,令和元,2019,皮革,Leather,30,1050,29,783,135,42,6,55,-,,,,,,,,
18,令和元,2019,製紙,Paper manufacturing ,1,60,12,12,-,-,8,23,5,,,,,,,,
19,令和元,2019,繊維,Textiles,1,20,10,5,5,-,-,-,-,,,,,,,,
20,令和元,2019,染色,Dyeing,6,512,-,179,304,1,-,28,-,,,,,,,,
21,令和元,2019,窯業,Ceramics,12,1038,257,64,8,709,-,-,-,,,,,,,,
22,令和元,2019,印刷,Printing,7,1432,420,160,232,35,5,280,300,,,,,,,,
23,令和元,2019,ガス,Gas,-,-,-,-,-,-,-,-,-,,,,,,,,
24,令和元,2019,その他,Others,11,1016,129,319,8,503,10,47,-,,,,,,,,
24,令.599451222800347 ], [ 139.72066882574777, 35.599438878195727 ], [ 139.72066563211513, 35.599433917600642 ], [ 139.72065813336943, 35.599429583948904 ], [ 139.72064742987448, 35.599428221865793 ], [ 139.72064456519001, 35.599424793929735 ], [ 139.72064280251152, 35.599422538822658 ], [ 139.72064070482145, 35.599423077691242 ], [ 139.72063837831436, 35.599429385200395 ], [ 139.72063263365564, 35.599433436054163 ], [ 139.72063075151365, 35.599437670796604 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 38446, "SAFIELD001": 55348, "SAFIELD002": 1, "SAFIELD003": 1.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.72186075040361, 35.599451434169161 ], [ 139.72186505000948, 35.599454773265229 ], [ 139.72187686067707, 35.599453612390278 ], [ 139.72187940431829, 35.599449828931881 ], [ 139.72187510446213, 35.599446670112791 ], [ 139.72187455326264, 35.59944621891124 ], [ 139.72186473003879, 35.599446750655794 ], [ 139.72186075040361, 35.599451434169161 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 38447, "SAFIELD001": 55336, "SAFIELD002": 1, "SAFIELD003": 8.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.7219446225937, 35.599455207392715 ], [ 139.72194748646049, 35.599459266265626 ], [ 139.72196823306257, 35.599460727652811 ], [ 139.72197938091591, 35.599460016847075 ], [ 139.7219909682311, 35.59946074866 ], [ 139.72199990853667, 35.599460216089497 ], [ 139.7220030056196, 35.59945526134117 ], [ 139.72200069769414, 35.599448228417472 ], [ 139.72199198461163, 35.599444074003543 ], [ 139.72199154377637, 35.599443622904502 ], [ 139.7219876803816, 35.59944407002682 ], [ 139.72198436818687, 35.599444968350092 ], [ 139.72197608794943, 35.599447033881376 ], [ 139.72197057020509, 35.599446668229305 ], [ 139.72196406279829, 35.599443687650144 ], [ 139.72195755064641, 35.599444132323697 ], [ 139.72194628306289, 35.599451603393291 ], [ 139.7219446225937, 35.599455207392715 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 38448, "SAFIELD001": 55331, "SAFIELD002": 1, "SAFIELD003": 5.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.72139811174014, 35.599443163312174 ], [ 139.72140582485619, 35.59945209417301 ], [ 139.72140978782653, 35.599459399060201 ], [ 139.72141430977527, 35.599461566580231 ], [ 139.72142104630038, 35.599458508132145 ], [ 139.72142591214305, 35.599451481859063 ], [ 139.72142382713119, 35.599442916779346 ], [ 139.72141986127414, 35.599437685072054 ], [ 139.7214137943441, 35.599435425979074 ], [ 139.72141324314728, 35.599434974775413 ], [ 139.72140496515539, 35.599435417779162 ], [ 139.72139855872211, 35.599439197639775 ], [ 139.72139811174014, 35.599443163312174 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 38449, "SAFIELD001": 55298, "SAFIELD002": 1, "SAFIELD003": 8.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.72045424266508, 35.599462744337103 ], [ 139.72045908872175, 35.599469869805908 ], [ 139.7204661406854, 35.599477988862333 ], [ 139.7204749620326, 35.599483585701506 ], [ 139.72048389589708, 35.599487650293405 ], [ 139.72048753756007, 35.599487924118492 ], [ 139.72048997039664, 35.599484501139138 ], [ 139.7204871117905, 35.599476746564164 ], [ 139.72048402992439, 35.599470794547081 ], [ 139.72048117131934, 35.599463039971951 ], [ 139.72047632855129, 35.599453570909951 ], [ 139.72047125695539, 35.599449870487994 ], [ 139.72047070576377, 35.599449419280035 ], [ 139.7204634209227, 35.599449953287561 ], [ 139.72045480107116, 35.599458057665821 ], [ 139.72045424266508, 35.599462744337103 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 38450, "SAFIELD001": 55289, "SAFIELD002": 1, "SAFIELD003": 3.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.72138580550626, 35.59948317331007 ], [ 139.7213876760614, 35.599487231273528 ], [ 139.72139131534266, 35.599489217697801 ], [ 139.72140323211977, 35.599491121671832 ], [ 139.72140599337672, 35.599489591884399 ], [ 139.72140698942215, 35.599487609765724 ], [ 139.72140864778262, 35.599485538123787 ], [ 139.72141053101427, 35.599480492125032 ], [ 139.72141031153942, 35.599479590537676 ], [ 139.72141108848626, 35.599476436416886 ], [ 139.72140744907958, 35.599474540131453 ], [ 139.72140148799372, 35.599475526116869 ], [ 139.72139928245258, 35.599474262131416 ], [ 139.72139873138107, 35.599473720789462 ], [ 139.72139188812898, 35.59947416512491 ], [ 139.72138735952737, 35.599476774930558 ], [ 139.72138580550626, 35.59948317331007 ] ] ] } },
