歳入歳出区分,会計名,款,款名,項,項名,目,目名
歳出,一般会計,1,議会費,1,議会費,1,議会費
歳出,一般会計,2,総務費,1,総務管理費,1,一般管理費
歳出,一般会計,2,総務費,1,総務管理費,2,人事管理費
歳出,一般会計,2,総務費,1,総務管理費,3,文書広報費
歳出,一般会計,2,総務費,1,総務管理費,4,財政管理費
歳出,一般会計,2,総務費,1,総務管理費,5,会計管理費
歳出,一般会計,2,総務費,1,総務管理費,6,財産管理費
歳出,一般会計,2,総務費,1,総務管理費,7,企画費
歳出,一般会計,2,総務費,1,総務管理費,8,財政調整基金費
歳出,一般会計,2,総務費,1,総務管理費,9,青少年対策費
歳出,一般会計,2,総務費,1,総務管理費,10,交通安全対策費
歳出,一般会計,2,総務費,1,総務管理費,11,複合文化施設費
歳出,一般会計,2,総務費,1,総務管理費,12,文化推進費
歳出,一般会計,2,総務費,1,総務管理費,13,地域振興費
歳出,一般会計,2,総務費,1,総務管理費,15,出張所費
歳出,一般会計,2,総務費,1,総務管理費,16,防犯対策費
歳出,一般会計,2,総務費,1,総務管理費,17,諸費
歳出,一般会計,2,総務費,2,徴税費,1,税務総務費
歳出,一般会計,2,総務費,2,徴税費,2,賦課徴収費
歳出,一般会計,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費
歳出,一般会計,2,総務費,4,選挙費,1,選挙管理委員会費
歳出,一般会計,2,総務費,4,選挙費,2,選挙常時啓発費
歳出,一般会計,2,総務費,4,選挙費,3,市議会議員選挙費
歳出,一般会計,2,総務費,4,選挙費,4,市長選挙費
歳出,一般会計,2,総務費,4,選挙費,7,東京都議会議員選挙費
歳出,一般会計,2,総務費,4,選挙費,8,衆議院議員選挙費
歳出,一般会計,2,総務費,5,統計調査費,1,統計総務費
歳出,一般会計,2,総務費,5,統計調査費,2,基幹統計費
歳出,一般会計,2,総務費,6,監査委員費,1,監査委員費
歳出,一般会計,3,民生費,1,社会福祉費,1,社会福祉総務費
歳出,一般会計,3,民生費,1,社会福祉費,2,障害者福祉費
歳出,一般会計,3,民生費,1,社会福祉費,3,老人福祉費
歳出,一般会計,3,民生費,1,社会福祉費,4,社会福祉施設費
歳出,一般会計,3,民生費,2,児童福祉費,1,児童福祉総務費
歳出,一般会計,3,民生費,2,児童福祉費,2,児童措置費
歳出,一般会計,3,民生費,2,児童福祉費,3,母子福祉費
歳出,一般会計,3,民生費,2,児童福祉費,4,児童福祉施設費
歳出,一般会計,3,民生費,3,生活保護費,1,生活保護総務費
歳出,一般会計,3,民生費,3,生活保護費,2,扶助費
歳出,一般会計,3,民生費,4,国民年金費,1,国民年金総務費
歳出,一般会計,4,衛生費,1,保健衛生費,1,保健衛生総務費
歳出,一般会計,4,衛生費,1,保健衛生費,2,予防費
