町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,99,62,72,134
両国二丁目,128,78,96,174
両国三丁目,57,42,44,86
両国四丁目,105,70,74,144
千歳一丁目,38,21,32,53
千歳二丁目,34,21,28,49
千歳三丁目,50,41,41,82
緑一丁目,117,74,79,153
緑二丁目,72,54,64,118
緑三丁目,92,72,95,167
緑四丁目,225,155,170,325
立川一丁目,22,11,16,27
立川二丁目,37,31,16,47
立川三丁目,30,27,23,50
立川四丁目,55,39,36,75
菊川一丁目,48,31,36,67
菊川二丁目,38,23,37,60
菊川三丁目,88,67,71,138
江東橋一丁目,131,84,147,231
江東橋二丁目,166,111,167,278
江東橋三丁目,122,76,93,169
江東橋四丁目,326,203,319,522
江東橋五丁目,78,61,84,145
横網一丁目,9,10,6,16
横網二丁目,36,25,24,49
亀沢一丁目,42,33,40,73
亀沢二丁目,43,33,44,77
亀沢三丁目,49,37,53,90
亀沢四丁目,89,52,101,153
石原一丁目,92,70,63,133
石原二丁目,53,41,40,81
石原三丁目,63,49,42,91
石原四丁目,82,59,80,139
本所一丁目,44,31,54,85
本所二丁目,13,12,22,34
本所三丁目,56,25,54,79
本所四丁目,49,32,52,84
東駒形一丁目,44,34,28,62
東駒形二丁目,34,27,18,45
東駒形三丁目,26,14,23,37
東駒形四丁目,29,26,34,60
吾妻橋一丁目,62,59,54,113
吾妻橋二丁目,28,17,27,44
吾妻橋三丁目,20,18,27,45
錦糸一丁目,129,76,127,203
錦糸二丁目,80,55,81,136
錦糸三丁目,61,39,63,102
錦糸四丁目,111,81,117,198
太平一丁目,162,119,149,268
太平二丁目,76,52,71,123
太平三丁目,80,54,80,134
太平四丁目,150,131,181,312
横川一丁目,29,31,33,64
横川二丁目,40,35,31,66
横川三丁目,41,33,47,80
横川四丁目,62,35,51,86
横川五丁目,57,66,115,181
業平一丁目,48,37,33,70
業平二丁目,17,19,19,38
業平三丁目,22,16,16,32
業平四丁目,49,36,54,90
業平五丁目,39,33,29,62
向島一丁目,43,40,33,73
向島二丁目,44,34,34,68
向島三丁目,82,56,69,125
向島四丁目,35,36,29,65
向島五丁目,68,59,62,121
東向島一丁目,46,41,46,87
東向島二丁目,44,42,65,107
東向島三丁目,58,46,56,102
東向島四丁目,46,36,57,93
東向島五丁目,53,43,57,100
東向島六丁目,51,40,61,101
堤通一丁目,42,51,37,88
堤通二丁目,76,89,150,239
墨田一丁目,64,55,88,143
墨田二丁目,44,41,52,93
墨田三丁目,58,49,68,117
墨田四丁目,56,51,56,107
墨田五丁目,32,24,40,64
押上一丁目,32,30,29,59
押上二丁目,58,41,49,90
押上三丁目,66,55,91,146
京島一丁目,71,66,100,166
京島二丁目,28,28,18,46
京島三丁目,33,28,46,74
文花一丁目,75,92,149,241
文花二丁目,73,46,77,123
文花三丁目,18,24,23,47
八広一丁目,40,34,49,83
八広二丁目,49,52,51,103
八広三丁目,41,41,51,92
八広四丁目,53,39,72,111
八広五丁目,42,42,47,89
八広六丁目,41,39,60,99
立花一丁目,432,366,399,765
立花二丁目,50,40,41,81
立花三丁目,85,71,97,168
立花四丁目,67,75,103,178
立花五丁目,111,125,105,230
立花六丁目,67,46,74,120
東墨田一丁目,18,16,4,20
東墨田二丁目,40,46,30,76
東墨田三丁目,28,28,16,44
F町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,85,54,67,121
両国二丁目,119,77,89,166
両国三丁目,58,44,43,87
両国四丁目,100,67,72,139
千歳一丁目,35,19,31,50
千歳二丁目,33,21,27,48
千歳三丁目,52,43,42,85
緑一丁目,110,68,77,145
緑二丁目,70,52,63,115
緑三丁目,92,72,95,167
緑四丁目,220,149,174,323
立川一丁目,24,10,18,28
立川二丁目,37,32,14,46
立川三丁目,31,27,24,51
立川四丁目,54,38,36,74
菊川一丁目,48,32,36,68
菊川二丁目,38,22,37,59
菊川三丁目,82,61,71,132
江東橋一丁目,130,85,146,231
江東橋二丁目,171,111,173,284
江東橋三丁目,120,73,94,167
江東橋四丁目,324,200,320,520
江東橋五丁目,78,58,86,144
横網一丁目,9,10,6,16
横網二丁目,35,24,24,48
亀沢一丁目,39,32,38,70
亀沢二丁目,40,31,40,71
亀沢三丁目,49,37,53,90
亀沢四丁目,88,52,100,152
石原一丁目,88,67,62,129
石原二丁目,51,40,40,80
石原三丁目,63,50,43,93
石原四丁目,78,57,80,137
本所一丁目,45,28,57,85
本所二丁目,11,11,21,32
本所三丁目,48,28,43,71
本所四丁目,49,32,55,87
東駒形一丁目,43,34,28,62
東駒形二丁目,34,27,18,45
東駒形三丁目,27,14,23,37
東駒形四丁目,27,26,33,59
吾妻橋一丁目,62,60,54,114
吾妻橋二丁目,27,17,26,43
吾妻橋三丁目,22,19,27,46
錦糸一丁目,129,78,128,206
錦糸二丁目,78,54,80,134
錦糸三丁目,61,38,62,100
錦糸四丁目,111,80,118,198
太平一丁目,166,124,147,271
太平二丁目,78,50,70,120
太平三丁目,81,55,80,135
太平四丁目,148,127,181,308
横川一丁目,29,31,33,64
横川二丁目,39,34,31,65
横川三丁目,42,35,48,83
横川四丁目,60,35,49,84
横川五丁目,58,66,117,183
業平一丁目,44,35,32,67
業平二丁目,17,19,19,38
業平三丁目,25,16,20,36
業平四丁目,47,34,53,87
業平五丁目,38,32,27,59
向島一丁目,44,42,33,75
向島二丁目,43,33,34,67
向島三丁目,81,55,67,122
向島四丁目,35,35,30,65
向島五丁目,69,61,62,123
東向島一丁目,48,44,46,90
東向島二丁目,44,41,63,104
東向島三丁目,57,44,56,100
東向島四丁目,46,37,56,93
東向島五丁目,53,42,57,99
東向島六丁目,51,41,61,102
堤通一丁目,43,50,38,88
堤通二丁目,77,92,149,241
墨田一丁目,63,54,88,142
墨田二丁目,45,44,52,96
墨田三丁目,61,51,70,121
墨田四丁目,62,55,57,112
墨田五丁目,33,24,41,65
押上一丁目,34,31,32,63
押上二丁目,51,36,47,83
押上三丁目,65,51,91,142
京島一丁目,68,63,101,164
京島二丁目,27,26,18,44
京島三丁目,33,29,47,76
文花一丁目,74,89,146,235
文花二丁目,72,45,76,121
文花三丁目,19,24,24,48
八広一丁目,41,35,50,85
八広二丁目,46,50,49,99
八広三丁目,41,42,50,92
八広四丁目,52,39,71,110
八広五丁目,41,42,46,88
八広六丁目,43,40,61,101
立花一丁目,426,364,409,773
立花二丁目,49,41,39,80
立花三丁目,85,72,96,168
立花四丁目,65,73,101,174
立花五丁目,108,122,102,224
立花六丁目,67,45,75,120
東墨田一丁目,16,14,4,18
東墨田二丁目,39,45,31,76
東墨田三丁目,29,28,17,45
05町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,83,51,67,118
両国二丁目,115,76,87,163
両国三丁目,60,44,45,89
両国四丁目,103,69,73,142
千歳一丁目,34,20,29,49
千歳二丁目,35,23,28,51
千歳三丁目,51,41,44,85
緑一丁目,112,71,78,149
緑二丁目,70,52,65,117
緑三丁目,92,72,95,167
緑四丁目,216,144,172,316
立川一丁目,25,11,18,29
立川二丁目,37,30,14,44
立川三丁目,30,26,24,50
立川四丁目,54,39,35,74
菊川一丁目,48,33,35,68
菊川二丁目,40,24,37,61
菊川三丁目,85,63,73,136
江東橋一丁目,130,83,146,229
江東橋二丁目,175,116,172,288
江東橋三丁目,118,75,94,169
江東橋四丁目,323,197,321,518
江東橋五丁目,79,60,85,145
横網一丁目,9,10,6,16
横網二丁目,36,25,24,49
亀沢一丁目,39,32,38,70
亀沢二丁目,42,32,42,74
亀沢三丁目,50,38,53,91
亀沢四丁目,87,53,99,152
石原一丁目,90,68,63,131
石原二丁目,49,37,41,78
石原三丁目,62,51,44,95
石原四丁目,78,57,81,138
本所一丁目,46,29,57,86
本所二丁目,12,12,21,33
本所三丁目,49,27,45,72
本所四丁目,47,32,52,84
東駒形一丁目,42,32,28,60
東駒形二丁目,30,24,18,42
東駒形三丁目,28,15,24,39
東駒形四丁目,28,27,33,60
吾妻橋一丁目,60,60,49,109
吾妻橋二丁目,27,17,28,45
吾妻橋三丁目,22,20,27,47
錦糸一丁目,129,78,126,204
錦糸二丁目,77,54,79,133
錦糸三丁目,62,39,62,101
錦糸四丁目,114,82,120,202
太平一丁目,168,126,147,273
太平二丁目,81,51,75,126
太平三丁目,86,58,82,140
太平四丁目,146,127,184,311
横川一丁目,30,31,34,65
横川二丁目,39,33,31,64
横川三丁目,44,37,50,87
横川四丁目,61,34,50,84
横川五丁目,57,63,113,176
業平一丁目,42,35,32,67
業平二丁目,19,21,19,40
業平三丁目,24,16,19,35
業平四丁目,46,35,53,88
業平五丁目,37,31,27,58
向島一丁目,46,43,34,77
向島二丁目,43,33,34,67
向島三丁目,84,57,70,127
向島四丁目,35,35,30,65
向島五丁目,66,60,60,120
東向島一丁目,49,44,48,92
東向島二丁目,44,39,63,102
東向島三丁目,60,46,57,103
東向島四丁目,48,38,59,97
東向島五丁目,50,40,59,99
東向島六丁目,50,41,60,101
堤通一丁目,44,51,40,91
堤通二丁目,74,88,145,233
墨田一丁目,63,50,86,136
墨田二丁目,44,44,50,94
墨田三丁目,62,51,71,122
墨田四丁目,64,54,59,113
墨田五丁目,35,24,43,67
押上一丁目,33,33,29,62
押上二丁目,51,36,46,82
押上三丁目,66,51,92,143
京島一丁目,70,67,105,172
京島二丁目,26,25,19,44
京島三丁目,34,29,46,75
文花一丁目,74,89,147,236
文花二丁目,74,44,79,123
文花三丁目,19,24,24,48
八広一丁目,40,35,51,86
八広二丁目,45,50,49,99
八広三丁目,41,42,50,92
八広四丁目,52,39,70,109
八広五丁目,40,41,47,88
八広六丁目,43,41,61,102
立花一丁目,429,369,405,774
立花二丁目,54,44,41,85
立花三丁目,89,77,97,174
立花四丁目,63,70,104,174
立花五丁目,107,118,105,223
立花六丁目,67,46,74,120
東墨田一丁目,16,14,4,18
東墨田二丁目,38,45,30,75
東墨田三丁目,31,30,17,47
0 }, "geometry": { "type": "LineString", "coordinates": [ [ 139.70330034585146, 35.623454384539087 ], [ 139.70338898593582, 35.62373664432092423, 35.592882835580973,2021-12-07,驥手除,縺�縺�％繧�,逶ｸ蟇ｾ,24.9
髱呈棡,雎雁ｳｶ,Sei_K
