町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,147,82,103,185
両国二丁目,117,75,95,170
両国三丁目,55,43,45,88
両国四丁目,119,57,93,150
千歳一丁目,36,26,25,51
千歳二丁目,33,21,23,44
千歳三丁目,45,37,45,82
緑一丁目,93,65,65,130
緑二丁目,80,56,71,127
緑三丁目,98,81,89,170
緑四丁目,211,141,195,336
立川一丁目,32,18,24,42
立川二丁目,40,30,26,56
立川三丁目,15,13,15,28
立川四丁目,35,30,31,61
菊川一丁目,33,23,32,55
菊川二丁目,40,29,34,63
菊川三丁目,88,68,73,141
江東橋一丁目,106,69,128,197
江東橋二丁目,185,138,169,307
江東橋三丁目,108,75,95,170
江東橋四丁目,349,221,377,598
江東橋五丁目,65,53,82,135
横網一丁目,12,12,6,18
横網二丁目,63,41,35,76
亀沢一丁目,50,35,47,82
亀沢二丁目,67,40,60,100
亀沢三丁目,53,44,49,93
亀沢四丁目,89,55,92,147
石原一丁目,98,77,69,146
石原二丁目,51,39,35,74
石原三丁目,64,51,41,92
石原四丁目,58,48,61,109
本所一丁目,63,52,57,109
本所二丁目,19,16,27,43
本所三丁目,71,35,68,103
本所四丁目,46,30,48,78
東駒形一丁目,51,34,34,68
東駒形二丁目,36,32,21,53
東駒形三丁目,28,15,23,38
東駒形四丁目,26,30,34,64
吾妻橋一丁目,56,44,49,93
吾妻橋二丁目,24,12,25,37
吾妻橋三丁目,26,18,33,51
錦糸一丁目,152,100,135,235
錦糸二丁目,93,67,79,146
錦糸三丁目,85,61,87,148
錦糸四丁目,108,80,119,199
太平一丁目,163,128,149,277
太平二丁目,97,56,102,158
太平三丁目,78,65,74,139
太平四丁目,162,126,192,318
横川一丁目,28,34,33,67
横川二丁目,45,35,36,71
横川三丁目,45,34,47,81
横川四丁目,81,52,62,114
横川五丁目,50,65,103,168
業平一丁目,34,30,28,58
業平二丁目,24,21,27,48
業平三丁目,21,16,18,34
業平四丁目,47,41,59,100
業平五丁目,24,20,24,44
向島一丁目,45,37,32,69
向島二丁目,35,31,29,60
向島三丁目,72,36,72,108
向島四丁目,26,29,32,61
向島五丁目,61,55,59,114
東向島一丁目,33,31,32,63
東向島二丁目,48,40,67,107
東向島三丁目,61,43,57,100
東向島四丁目,52,39,54,93
東向島五丁目,37,33,48,81
東向島六丁目,46,41,50,91
堤通一丁目,47,51,47,98
堤通二丁目,71,88,148,236
墨田一丁目,40,45,70,115
墨田二丁目,33,37,46,83
墨田三丁目,46,33,63,96
墨田四丁目,54,51,65,116
墨田五丁目,29,14,40,54
押上一丁目,36,32,35,67
押上二丁目,53,37,56,93
押上三丁目,60,59,83,142
京島一丁目,63,65,103,168
京島二丁目,14,16,15,31
京島三丁目,31,33,45,78
文花一丁目,71,84,158,242
文花二丁目,61,35,65,100
文花三丁目,27,26,35,61
八広一丁目,30,30,41,71
八広二丁目,48,51,61,112
八広三丁目,41,45,50,95
八広四丁目,42,33,66,99
八広五丁目,44,39,50,89
八広六丁目,37,38,54,92
立花一丁目,342,319,342,661
立花二丁目,77,50,50,100
立花三丁目,90,67,91,158
立花四丁目,68,58,115,173
立花五丁目,107,119,115,234
立花六丁目,52,40,64,104
東墨田一丁目,26,27,2,29
東墨田二丁目,32,44,25,69
東墨田三丁目,34,30,18,48
業平三丁目,] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 5275, "SAFIELD001": 16983, "SAFIELD002": 1, "SAFIELD003": 5.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.74694543233477, 35.618723659688484 ], [ 139.74694785639059, 35.618727897916578 ], [ 139.74695414579514, 35.618730606568384 ], [ 139.7469607688943, 35.618730971868793 ], [ 139.74696573970755, 35.618728000875237 ], [ 139.74697015827252, 35.618725299899893 ], [ 139.7469741345931, 35.618723229574009 ], [ 139.74697678825117, 35.618719265400159 ], [ 139.74697370058578, 35.618716198492123 ], [ 139.74696355223068, 35.618709070308853 ], [ 139.74696134537149, 35.618708167345986 ], [ 139.74696079389898, 35.618707716260218 ], [ 139.746952182787, 35.618708250915404 ], [ 139.74694831433777, 35.618712664908188 ], [ 139.74694543233477, 35.618723659688484 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 5276, "SAFIELD001": 16957, "SAFIELD002": 1, "SAFIELD003": 3.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.74953685838381, 35.618738019054078 ], [ 139.74954115716343, 35.618744241571875 ], [ 139.74955153527807, 35.618742986855651 ], [ 139.74955683942696, 35.618737852672794 ], [ 139.7495598267646, 35.618731364807502 ], [ 139.74955817380686, 35.618728569377438 ], [ 139.74955100259297, 35.61872450817701 ], [ 139.74955056159124, 35.618723967041809 ], [ 139.74954195058839, 35.618724411744083 ], [ 139.74953808134026, 35.618729727200432 ], [ 139.74953685838381, 35.618738019054078 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 5277, "SAFIELD001": 16934, "SAFIELD002": 1, "SAFIELD003": 3.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.74644577056586, 35.618751153066164 ], [ 139.74644995978741, 35.618756384096123 ], [ 139.74645625171192, 35.618756749185451 ], [ 139.74646299066106, 35.618752066863927 ], [ 139.74646532009149, 35.618741702663492 ], [ 139.74646311645373, 35.618737825136975 ], [ 139.74645903518672, 35.618734847637462 ], [ 139.74645848371685, 35.618734396549399 ], [ 139.74645307180612, 35.618736916513519 ], [ 139.74645019509643, 35.618742953690933 ], [ 139.74644577056586, 35.618751153066164 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 5278, "SAFIELD001": 16876, "SAFIELD002": 1, "SAFIELD003": 9.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.74715787232378, 35.618783032542666 ], [ 139.74716283046646, 35.618791869621255 ], [ 139.74716889910019, 35.618794578103923 ], [ 139.7471781697657, 35.618796657909385 ], [ 139.74718512771932, 35.618793598189633 ], [ 139.74719407900255, 35.618784680918978 ], [ 139.74719441510655, 35.618780084116857 ], [ 139.74718912704319, 35.618770075008534 ], [ 139.74718703163455, 35.618768180610545 ], [ 139.74718206633713, 35.618766013746225 ], [ 139.74717963869094, 35.618765110629489 ], [ 139.7471782050516, 35.61876375753306 ], [ 139.74717102892774, 35.618764383368067 ], [ 139.74716373738445, 35.618769696300603 ], [ 139.74715787232378, 35.618783032542666 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 5279, "SAFIELD001": 16872, "SAFIELD002": 1, "SAFIELD003": 92.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.74723947754725, 35.61875893387451 ], [ 139.74724123762846, 35.618764703969724 ], [ 139.74724432559574, 35.618767500456848 ], [ 139.74724906856642, 35.618771109369149 ], [ 139.74725105232937, 35.618774175481427 ], [ 139.74725457848285, 35.618780127114384 ], [ 139.74725821715316, 35.618784095789707 ], [ 139.74725975432841, 35.618791848763273 ], [ 139.74726824993749, 35.618796091322196 ], [ 139.7472766370872, 35.618798531041307 ], [ 139.74728370475285, 35.618796102360832 ], [ 139.74728691025919, 35.618792228712408 ], [ 139.74728857057346, 35.618788083546157 ], [ 139.74729243659402, 35.618785922992927 ], [ 139.74729530793218, 35.618784843386315 ], [ 139.74729685611663, 35.618782320625435 ], [ 139.74729895925122, 35.618777003980114 ], [ 139.74730238534602, 35.618773310764951 ], [ 139.74730680776335, 35.618767004256554 ], [ 139.7473104554125, 35.618762590094654 ], [ 139.74731013340798, 35.618754026746494 ], [ 139.74732117564446, 35.618751150211018 ], [ 139.74732128912436, 35.618748265873243 ], [ 139.74731787422743, 35.618741503078844 ], [ 139.74731898171316, 35.61873816876026 ], [ 139.74732494970405, 35.618731773216425 ], [ 139.74732760643332, 35.618724924618256 ], [ 139.74733302285136, 35.618718168127927 ], [ 139.74733865599865, 35.618715197591733 ], [ 139.74733998407299, 35.618712043706545 ], [ 139.74733987551491, 35.618710331005396 ], [ 139.7473420854661, 35.61870834954474 ], [ 139.74734528932584, 35.61870600824102 ], [ 139.7473469541701, 35.618697626587007 ], [ 139.74735104386187, 35.618692762048852 ], [ 139.74734994438603, 35.618688614912188 ], [ 139.74734884240175, 35.618686811363993 ], [ 139.74734542837351, 35.618679237328145 ], [ 139.74734333441091, 35.618675990862549 ], [ 139.74734024904896, 35.618670760651398 ], [ 139.74733627737217, 35.618668504364464 ], [ 139.74732546287891, 35.618664891121597 ], [ 139.74730151461512, 35.618658654495881 ], [ 139.74729367953253, 35.618656125034597 ], [ 139.74729312805852, 35.61865567395035 ], [ 139.74729147170561, 35.61865612345796 ], [ 139.74728517766093, 35.618657741448665 ], [ 139.74727589725572, 35.618664765591369 ], [ 139.74726859336718, 35.61868161619681 ], [ 139.74726383234096, 35.618694863094781 ], [ 139.74726051094089, 35.618703874530866 ], [ 139.74725563845811, 35.618718112867796 ], [ 139.74725065703106, 35.618730999055352 ], [ 139.74724689444852, 35.61873964962345 ], [ 139.74723947754725, 35.61875893387451 ] ] ] } },
