町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,153,88,103,191
両国二丁目,114,70,97,167
両国三丁目,54,43,44,87
両国四丁目,109,57,84,141
千歳一丁目,36,28,24,52
千歳二丁目,28,17,23,40
千歳三丁目,41,34,43,77
緑一丁目,100,70,65,135
緑二丁目,82,57,72,129
緑三丁目,101,84,89,173
緑四丁目,220,146,202,348
立川一丁目,30,16,24,40
立川二丁目,39,29,22,51
立川三丁目,14,13,14,27
立川四丁目,30,24,29,53
菊川一丁目,34,23,33,56
菊川二丁目,37,25,34,59
菊川三丁目,86,65,75,140
江東橋一丁目,105,69,130,199
江東橋二丁目,178,133,166,299
江東橋三丁目,107,75,94,169
江東橋四丁目,353,228,379,607
江東橋五丁目,63,50,80,130
横網一丁目,11,11,6,17
横網二丁目,65,43,36,79
亀沢一丁目,49,34,47,81
亀沢二丁目,63,39,57,96
亀沢三丁目,51,42,48,90
亀沢四丁目,86,51,90,141
石原一丁目,99,77,71,148
石原二丁目,53,40,36,76
石原三丁目,67,52,43,95
石原四丁目,58,47,63,110
本所一丁目,65,54,58,112
本所二丁目,21,19,29,48
本所三丁目,70,34,67,101
本所四丁目,48,30,49,79
東駒形一丁目,55,38,37,75
東駒形二丁目,41,35,23,58
東駒形三丁目,27,14,22,36
東駒形四丁目,28,31,35,66
吾妻橋一丁目,54,42,48,90
吾妻橋二丁目,24,12,25,37
吾妻橋三丁目,25,17,33,50
錦糸一丁目,153,102,136,238
錦糸二丁目,90,64,77,141
錦糸三丁目,81,60,83,143
錦糸四丁目,108,84,119,203
太平一丁目,161,126,146,272
太平二丁目,95,55,102,157
太平三丁目,77,63,75,138
太平四丁目,161,124,188,312
横川一丁目,27,33,32,65
横川二丁目,46,36,37,73
横川三丁目,45,33,48,81
横川四丁目,82,54,60,114
横川五丁目,51,66,104,170
業平一丁目,33,31,27,58
業平二丁目,24,21,27,48
業平三丁目,20,14,19,33
業平四丁目,48,42,57,99
業平五丁目,23,20,23,43
向島一丁目,45,37,32,69
向島二丁目,34,30,29,59
向島三丁目,71,37,71,108
向島四丁目,26,29,32,61
向島五丁目,61,56,58,114
東向島一丁目,31,30,30,60
東向島二丁目,49,41,68,109
東向島三丁目,57,43,53,96
東向島四丁目,52,40,53,93
東向島五丁目,39,32,49,81
東向島六丁目,46,40,51,91
堤通一丁目,43,46,47,93
堤通二丁目,72,88,147,235
墨田一丁目,39,45,71,116
墨田二丁目,34,41,50,91
墨田三丁目,45,35,62,97
墨田四丁目,54,51,65,116
墨田五丁目,29,15,42,57
押上一丁目,35,30,35,65
押上二丁目,57,38,59,97
押上三丁目,59,57,83,140
京島一丁目,65,66,107,173
京島二丁目,14,16,14,30
京島三丁目,31,33,45,78
文花一丁目,71,83,157,240
文花二丁目,60,35,65,100
文花三丁目,28,27,35,62
八広一丁目,27,26,42,68
八広二丁目,50,52,62,114
八広三丁目,40,45,49,94
八広四丁目,42,33,67,100
八広五丁目,44,39,49,88
八広六丁目,37,41,52,93
立花一丁目,338,311,339,650
立花二丁目,68,45,46,91
立花三丁目,90,67,91,158
立花四丁目,69,58,118,176
立花五丁目,108,121,113,234
立花六丁目,55,41,65,106
東墨田一丁目,26,27,2,29
東墨田二丁目,32,44,25,69
東墨田三丁目,33,30,17,47
押上三丁目,5919395553357, 35.632590745872136 ], [ 139.71939168873692, 35.632590922492604 ], [ 139.71938241630951, 35.632589471516361 ], [ 139.71937767147662, 35.632587483995252 ], [ 139.7193669710075, 35.632580893809227 ], [ 139.71936123363355, 35.632578094107792 ], [ 139.71935968967944, 35.632576830717092 ], [ 139.71935869483434, 35.63257764101656 ], [ 139.7193679563847, 35.632586753702 ], [ 139.71936827802014, 35.632593514345373 ], [ 139.71936550765204, 35.632600632615002 ], [ 139.7193592051733, 35.632607026440006 ], [ 139.71935721305118, 35.632610359655843 ], [ 139.71934483671694, 35.632617649111864 ], [ 139.71933930416495, 35.63262611683497 ], [ 139.71933774562075, 35.632635129145555 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 39093, "SAFIELD001": 1945, "SAFIELD002": 1, "SAFIELD003": 11.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.71814451835849, 35.632725844573088 ], [ 139.71815135178906, 35.632734233927138 ], [ 139.71816481929636, 35.632736049560172 ], [ 139.7181875579341, 35.63274021763786 ], [ 139.7182029037161, 35.632741133683439 ], [ 139.718211734497, 35.632742584328376 ], [ 139.71821515929381, 35.63274114539557 ], [ 139.7182174779166, 35.632741147611227 ], [ 139.7182282038988, 35.632729890628944 ], [ 139.71822070321542, 35.632724835742138 ], [ 139.71821562549155, 35.632724019649302 ], [ 139.71820413891305, 35.632726712807695 ], [ 139.7181995003757, 35.63272760975309 ], [ 139.71818448905989, 35.63272444058051 ], [ 139.71817102090768, 35.632723075638303 ], [ 139.71815876753089, 35.632721531580323 ], [ 139.71815214612869, 35.632719271803296 ], [ 139.71815049178036, 35.632718008291604 ], [ 139.71814883484583, 35.632718547534431 ], [ 139.71814662378929, 35.632720528453028 ], [ 139.71814451835849, 35.632725844573088 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 39094, "SAFIELD001": 1940, "SAFIELD002": 1, "SAFIELD003": 33.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.71790477874401, 35.632752205763438 ], [ 139.71790620177146, 35.632760770222767 ], [ 139.7179097261002, 35.632766902973465 ], [ 139.71791248610714, 35.632767085893619 ], [ 139.71791856724434, 35.632761142621767 ], [ 139.71792133619138, 35.63275510603858 ], [ 139.71792709322111, 35.632744204873994 ], [ 139.71793516666938, 35.63273483827156 ], [ 139.71794344927801, 35.632733584275528 ], [ 139.71794643191865, 35.632732505478224 ], [ 139.71794863792843, 35.632734039934661 ], [ 139.71795348951812, 35.63273855147407 ], [ 139.71795845475719, 35.63274080967583 ], [ 139.71796828065376, 35.632741269775309 ], [ 139.71797126471898, 35.632739199462414 ], [ 139.71797524468116, 35.632735597759627 ], [ 139.71798054490802, 35.632735242283594 ], [ 139.71799180588286, 35.632735884031007 ], [ 139.71799401901541, 35.632732460911633 ], [ 139.71798706884559, 35.632728488191596 ], [ 139.71798243419076, 35.632726680996804 ], [ 139.71797835521519, 35.632722350474111 ], [ 139.71797914388875, 35.632711354411441 ], [ 139.71797716906062, 35.632702609148808 ], [ 139.71797011198055, 35.632696202603405 ], [ 139.7179632693761, 35.632694213017722 ], [ 139.7179554273778, 35.632696188539953 ], [ 139.71794537017288, 35.632703029383855 ], [ 139.71793952087481, 35.632701311161817 ], [ 139.71793799235721, 35.632689321363372 ], [ 139.71793589947998, 35.632685894120208 ], [ 139.71793479809529, 35.632684000170265 ], [ 139.71793204223695, 35.63268093284335 ], [ 139.71792850793409, 35.632681740698267 ], [ 139.71792574145184, 35.632686064664867 ], [ 139.71792042477261, 35.632697867629901 ], [ 139.71791864071167, 35.632710034530618 ], [ 139.71791177737461, 35.632722466978372 ], [ 139.71791032130403, 35.632736887639453 ], [ 139.71790810142943, 35.632744997919062 ], [ 139.71790477874401, 35.632752205763438 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 39095, "SAFIELD001": 1935, "SAFIELD002": 1, "SAFIELD003": 75.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.71875285948462, 35.632741297473615 ], [ 139.71875406010889, 35.632751033503567 ], [ 139.71876034798359, 35.632754915411624 ], [ 139.71877238055592, 35.63275645919844 ], [ 139.71878385708891, 35.632760796728718 ], [ 139.71879101873512, 35.632771349667038 ], [ 139.71879775339923, 35.632771626483908 ], [ 139.71880217471141, 35.632768205449111 ], [ 139.71880361339291, 35.632765863232777 ], [ 139.71880616158091, 35.632759736281457 ], [ 139.71881080667049, 35.632754242288506 ], [ 139.71881247427254, 35.632746221605018 ], [ 139.71881359252112, 35.632736307504359 ], [ 139.71881526590798, 35.632724230622969 ], [ 139.71881695896448, 35.632698362668798 ], [ 139.71881696050721, 35.632697281016036 ], [ 139.71881808351137, 35.632684031819231 ], [ 139.71882107642313, 35.632675741981799 ], [ 139.71882276009211, 35.632656454081705 ], [ 139.71883204022976, 35.632652496837146 ], [ 139.71884407638706, 35.632651516760333 ], [ 139.71884794923704, 35.63264557134265 ], [ 139.71884409245362, 35.632640249543925 ], [ 139.71883923824893, 35.632637540794882 ], [ 139.71881748841489, 35.632636799018513 ], [ 139.71878447298425, 35.632638660524286 ], [ 139.71877840388069, 35.632636221031106 ], [ 139.71877785247139, 35.632635769817497 ], [ 139.71876758352627, 35.632636300879085 ], [ 139.71876569407212, 35.632645042453937 ], [ 139.71876789700838, 35.63264874020097 ], [ 139.71877065096837, 35.632653159574815 ], [ 139.71876842976815, 35.632662261385597 ], [ 139.71876100280909, 35.632682895890547 ], [ 139.7187595479208, 35.632696595460423 ], [ 139.71875677376488, 35.632706327709982 ], [ 139.71875443353264, 35.632721468643318 ], [ 139.71875938863161, 35.63273084769277 ], [ 139.71875728581369, 35.632734361069019 ], [ 139.71875285948462, 35.632741297473615 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 39096, "SAFIELD001": 1927, "SAFIELD002": 1, "SAFIELD003": 2.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.71982312557031, 35.632780799557779 ], [ 139.71982566170252, 35.632783145531604 ], [ 139.71982908417854, 35.632783329032044 ], [ 139.71983538637897, 35.632777115458062 ], [ 139.71983694015566, 35.632771438237249 ], [ 139.71983849202087, 35.632767113082402 ], [ 139.71983805623944, 35.632762966330617 ], [ 139.71983816856135, 35.632761614368661 ], [ 139.71983652081133, 35.632755663717965 ], [ 139.71983508394402, 35.632756744018451 ], [ 139.719833754684, 35.63275980745307 ], [ 139.71983220345581, 35.632763681919187 ], [ 139.71982578906153, 35.632771157317237 ], [ 139.71982312557031, 35.632780799557779 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 39097, "SAFIELD001": 1924, "SAFIELD002": 1, "SAFIELD003": 16.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.71905989207468, 35.632677591238718 ], [ 139.71906120725103, 35.632684442963111 ], [ 139.71906770069097, 35.632699051454651 ], [ 139.71907100595232, 35.632704012171651 ], [ 139.71907320595392, 35.632709783080905 ], [ 139.71907629065149, 35.632714563312831 ], [ 139.71907793924217, 35.632719883009734 ], [ 139.71907967836208, 35.632739174159568 ], [ 139.71907956538607, 35.632740976809465 ], [ 139.71908154392673, 35.632747198197748 ], [ 139.71907954088675, 35.632758193115961 ], [ 139.71907112684485, 35.632774229673146 ], [ 139.71907398713168, 35.632781533552077 ], [ 139.71907972322745, 35.632785234644416 ], [ 139.71909032470424, 35.632783802493073 ], [ 139.71909441708121, 35.632778758654283 ], [ 139.71909663452848, 35.632772270831772 ], [ 139.71909754346348, 35.632754244123333 ], [ 139.71909590153976, 35.632744237264738 ], [ 139.71909403289567, 35.632738376532316 ], [ 139.71909172517456, 35.632730712626412 ], [ 139.71908523980824, 35.632710425459159 ], [ 139.719079075287, 35.632697439761898 ], [ 139.71907555510487, 35.632688332500045 ], [ 139.71907313312812, 35.632683372620953 ], [ 139.71907082117738, 35.632678683259726 ], [ 139.71906762299227, 35.632676066228463 ], [ 139.71906696104227, 35.632675705049166 ], [ 139.71905989207468, 35.632677591238718 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 39098, "SAFIELD001": 1920, "SAFIELD002": 1, "SAFIELD003": 5.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.71946826030933, 35.632784250450101 ], [ 139.71946979391484, 35.632792814995589 ], [ 139.71947553667655, 35.632791828907095 ], [ 139.71948382425208, 35.63278705943361 ], [ 139.71948592665623, 35.632783816457852 ], [ 139.71948758716189, 35.63278075334015 ], [ 139.71949466315772, 35.632773909550316 ], [ 139.7194949989906, 35.632770664904996 ], [ 139.71949191298791, 35.632766786061097 ], [ 139.71948816298791, 35.632763988243845 ], [ 139.71948761157373, 35.632763537033462 ], [ 139.7194802129101, 35.632764341281856 ], [ 139.71947435539369, 35.632768391949092 ], [ 139.71947125085686, 35.632777583075701 ], [ 139.71946826030933, 35.632784250450101 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 39099, "SAFIELD001": 1919, "SAFIELD002": 2, "SAFIELD003": 54.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.71889833210935, 35.632775507858902 ], [ 139.71889997388055, 35.632785604857816 ], [ 139.71890449789194, 35.632787592187917 ], [ 139.71891399038407, 35.632789584237038 ], [ 139.71892171784717, 35.632790492954889 ], [ 139.71893606609842, 35.632794112095212 ], [ 139.71895538617065, 35.63279539237034 ], [ 139.71896700587064, 35.632776744867016 ], [ 139.71896657616878, 35.632768361638874 ], [ 139.71896736804575, 35.632755021988608 ], [ 139.71896561200415, 35.632747629017629 ], [ 139.71896263271498, 35.632746364259184 ], [ 139.71895523854207, 35.632744013654772 ], [ 139.71895237274566, 35.632740585695402 ], [ 139.71895006413911, 35.632733552750921 ], [ 139.7189516263243, 35.632722016589135 ], [ 139.7189389705886, 35.632692890045597 ], [ 139.71890916064035, 35.6326922307695 ], [ 139.718907491636, 35.632701242969453 ], [ 139.71890570605447, 35.632714581675557 ], [ 139.71890403923319, 35.632722061534018 ], [ 139.71890191458223, 35.632740898326908 ], [ 139.71890079634449, 35.632750812428391 ], [ 139.71889935445432, 35.632755408089146 ], [ 139.71889833210935, 35.632775507858902 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 39100, "SAFIELD001": 1913, "SAFIELD002": 2, "SAFIELD003": 2.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.71905508022175, 35.632800264290907 ], [ 139.71906147595979, 35.632805949042577 ], [ 139.7190694252738, 35.632806136858576 ], [ 139.71907296431698, 35.632801993874224 ], [ 139.71907186739355, 35.632796945114116 ], [ 139.71907021572298, 35.632793788722715 ], [ 139.71905541992135, 35.632794315514978 ], [ 139.71905508022175, 35.632800264290907 ] ] ] } },
{ "type": "Feature", "properties": { "SAFIELD000": 39101, "SAFIELD001": 1910, "SAFIELD002": 1, "SAFIELD003": 2.0 }, "geometry": { "type": "Polygon", "coordinates": [ [ [ 139.71944944549028, 35.632815961188555 ], [ 139.71945319600275, 35.632818398456081 ], [ 139.7194603781968, 35.632814529317784 ], [ 139.71946812241464, 35.632803629957891 ], [ 139.7194685746675, 35.632796148943669 ], [ 139.71946769419432, 35.6327941650787 ], [ 139.7194640498746, 35.632794702461126 ], [ 139.71945188232499, 35.632810465083281 ], [ 139.71944944549028, 35.632815961188555 ] ] ] } },
