年齢別人口　平成30年1月1日現在,,,,
年齢,男,女,合計,
0,515,470,985,
1,539,497,"1,036",
2,547,566,"1,113",
3,573,589,"1,162",
4,602,600,"1,202",
5,580,544,"1,124",
6,592,585,"1,177",
7,630,626,"1,256",
8,619,592,"1,211",
9,651,627,"1,278",
小計,"5,848","5,696","11,544",
10,631,599,"1,230",
11,630,606,"1,236",
12,632,560,"1,192",
13,618,586,"1,204",
14,606,612,"1,218",
15,647,573,"1,220",
16,624,610,"1,234",
17,610,578,"1,188",
18,630,600,"1,230",
19,689,684,"1,373",
小計,"6,317","6,008","12,325",
20,775,714,"1,489",
21,809,781,"1,590",
22,836,777,"1,613",
23,782,755,"1,537",
24,756,767,"1,523",
25,719,702,"1,421",
26,712,646,"1,358",
27,678,658,"1,336",
28,671,670,"1,341",
29,731,683,"1,414",
小計,"7,469","7,153","14,622",
30,792,733,"1,525",
31,767,766,"1,533",
32,822,814,"1,636",
33,919,893,"1,812",
34,960,883,"1,843",
35,941,945,"1,886",
36,983,905,"1,888",
37,"1,029",927,"1,956",
38,"1,068",955,"2,023",
39,"1,101","1,023","2,124",
小計,"9,382","8,844","18,226",
40,"1,199","1,081","2,280",
41,"1,148","1,078","2,226",
42,"1,161","1,161","2,322",
43,"1,291","1,217","2,508",
44,"1,291","1,238","2,529",
45,"1,289","1,301","2,590",
46,"1,299","1,189","2,488",
47,"1,209","1,180","2,389",
48,"1,185","1,170","2,355",
49,"1,235","1,163","2,398",
小計,"12,307","11,778","24,085",
50,"1,205","1,086","2,291",
51,900,847,"1,747",
52,"1,095","1,034","2,129",
53,"1,006",971,"1,977",
54,958,922,"1,880",
55,916,896,"1,812",
56,835,848,"1,683",
57,827,776,"1,603",
58,762,815,"1,577",
59,767,887,"1,654",
小計,"9,271","9,082","18,353",
60,740,836,"1,576",
61,766,818,"1,584",
62,791,948,"1,739",
63,775,929,"1,704",
64,847,986,"1,833",
65,917,"1,079","1,996",
66,997,"1,124","2,121",
67,"1,011","1,223","2,234",
68,"1,254","1,460","2,714",
69,"1,296","1,461","2,757",
小計,"9,394","10,864","20,258",
70,"1,268","1,417","2,685",
71,848,966,"1,814",
72,806,912,"1,718",
73,934,"1,118","2,052",
74,946,"1,199","2,145",
75,965,"1,064","2,029",
76,869,"1,038","1,907",
77,800,975,"1,775",
78,701,808,"1,509",
79,581,733,"1,314",
小計,"8,718","10,230","18,948",
80,640,728,"1,368",
81,585,709,"1,294",
82,501,667,"1,168",
83,452,499,951,
84,396,565,961,
85,335,501,836,
86,269,390,659,
87,224,368,592,
88,192,312,504,
89,113,311,424,
小計,"3,707","5,050","8,757",
90,107,250,357,
91,77,209,286,
92,70,182,252,
93,40,157,197,
94,31,112,143,
95,19,83,102,
96,11,68,79,
97,14,60,74,
98,5,31,36,
99,5,21,26,
小計,379,"1,173","1,552",
100以上,8,46,54,
合計,"72,800","75,924","148,724",
,,,,
年齢,男,女,19,9,9,2,13,626,
132241,40,東京都,多摩市,2022-03-31,乞田,2512,1304,1208,55,48,49,41,60,52,57,46,78,98,119,85,75,78,74,77,103,75,132,108,105,94,120,109,98,70,63,54,48,51,26,46,23,36,19,40,1306,
132241,60,東京都,多摩市,2022-03-31,和田,9300,4788,4512,161,148,234,222,298,262,306,273,367,281,297,226,227,209,282,270,375,327,465,405,469,394,364,285,238,225,197,193,175,207,151,189,114,181,68,215,4321,
132241,70,東京都,多摩市,2022-03-31,百草,895,456,439,15,20,22,16,28,17,23,19,29,21,17,20,19,22,21,25,40,30,46,48,40,30,31,23,14,22,23,22,26,23,19,30,26,23,17,28,436,
132241,80,東京都,多摩市,2022-03-31,落川,1264,635,629,29,33,30,24,32,34,39,28,35,32,32,29,30,29,44,42,51,36,60,52,61,58,41,37,28,29,25,30,30,35,23,38,25,34,20,29,576,
132241,90,東京都,多摩市,2022-03-31,東寺方,1732,882,850,47,34,49,53,36,31,41,32,38,43,47,34,50,44,67,49,64,66,72,64,83,64,34,38,45,28,30,52,73,90,45,59,38,43,23,26,838,
132241,91,東京都,多摩市,2022-03-31,東寺方１丁目,1232,577,655,33,37,28,45,22,32,22,21,31,39,48,42,39,53,53,48,53,59,56,50,37,53,37,30,27,21,30,21,18,22,11,18,14,23,18,41,618,
132241,101,東京都,多摩市,2022-03-31,一ノ宮１丁目,2150,1175,975,31,28,34,29,25,32,30,36,98,75,141,89,105,79,108,76,95,70,108,74,76,59,78,57,55,42,46,45,52,51,47,39,18,38,28,56,1392,
132241,102,東京都,多摩市,2022-03-31,一ノ宮２丁目,1561,783,778,32,25,16,19,27,27,24,27,53,60,81,76,62,72,64,61,69,45,51,60,68,51,53,50,36,30,21,27,38,40,34,45,25,23,29,40,945,
132241,103,東京都,多摩市,2022-03-31,一ノ宮３丁目,856,420,436,14,11,21,16,14,13,20,4,23,42,29,39,32,25,26,30,39,37,39,32,43,33,17,24,22,23,18,17,23,28,17,25,14,14,9,23,503,
132241,104,東京都,多摩市,2022-03-31,一ノ宮４丁目,1986,992,994,55,43,42,49,33,35,38,27,72,58,75,55,56,51,86,91,90,58,82,76,82,71,65,83,54,56,41,40,34,51,28,53,24,29,35,68,1031,
132241,111,東京都,多摩市,2022-03-31,桜ヶ丘１丁目,1985,946,1039,32,17,36,48,46,46,51,43,50,49,44,26,37,45,43,43,57,55,68,71,79,81,62,76,65,62,58,64,77,74,50,70,39,62,52,107,927,
132241,112,東京都,多摩市,2022-03-31,桜ヶ丘２丁目,1373,639,734,21,29,34,23,22,22,32,25,15,24,22,21,32,34,40,39,39,46,37,43,42,40,37,36,50,56,48,50,62,80,48,38,28,40,30,88,624,
132241,113,東京都,多摩市,2022-03-31,桜ヶ丘３丁目,1246,600,646,22,24,37,17,25,34,29,28,28,27,14,19,27,18,24,36,33,38,46,42,46,49,44,38,37,37,35,32,48,57,41,45,27,40,37,65,540,
132241,114,東京都,多摩市,2022-03-31,桜ヶ丘４丁目,1583,765,818,21,16,19,26,30,27,38,26,49,49,55,54,44,47,51,52,38,40,58,38,55,55,57,52,42,40,39,52,44,69,43,53,41,52,41,70,843,
132241,120,東京都,多摩市,2022-03-31,和田（百草団地）,1267,611,656,10,5,5,5,9,10,15,7,15,13,15,14,14,13,17,18,28,25,60,35,68,35,44,43,33,34,46,44,74,82,69,98,56,102,33,73,882,
132241,131,東京都,多摩市,2022-03-31,聖ヶ丘１丁目,1881,892,989,24,26,38,29,42,32,45,37,59,41,37,35,37,39,49,52,63,60,54,66,54,80,59,72,65,76,58,80,82,127,57,59,49,41,20,37,879,
132241,132,東京都,多摩市,2022-03-31,聖ヶ丘２丁目,1761,814,947,14,6,15,29,22,19,26,15,23,18,15,22,32,22,43,34,45,53,50,55,42,53,37,50,38,47,47,88,143,161,94,113,68,83,60,79,846,
132241,133,東京都,多摩市,2022-03-31,聖ヶ丘３丁目,2108,1026,1082,19,28,41,45,34,34,36,30,46,44,26,27,34,31,59,55,59,68,76,67,74,79,52,57,61,69,73,98,121,127,89,98,73,63,53,62,951,
132241,134,東京都,多摩市,2022-03-31,聖ヶ丘４丁目,739,358,381,9,13,23,20,18,26,13,10,14,8,3,3,8,10,15,24,32,30,37,31,15,26,14,14,6,13,17,31,52,57,36,27,32,23,14,15,299,
