"区分","あんま・はり師等(人)","事務(人)","販売(人)","農林・漁業(人)","通信(人)","技能工等(人)","サービス職業(人)","その他(人)"
"視覚障害／本科／平成25年度","0","1","0","0","1","0","0","0"
"視覚障害／本科／平成24年度","0","2","0","0","0","0","0","0"
"視覚障害／専攻科／平成25年度","10","0","0","0","0","0","0","0"
"視覚障害／専攻科／平成24年度","4","0","0","0","0","0","0","0"
"聴覚障害／本科／平成25年度","0","4","0","0","0","1","2","0"
"聴覚障害／本科／平成24年度","0","2","2","0","0","4","2","0"
"聴覚障害／専攻科／平成25年度","0","10","0","0","0","4","4","0"
"聴覚障害／専攻科／平成24年度","0","6","2","0","0","4","4","0"
"肢体不自由／平成25年度","0","4","0","0","0","0","1","0"
"肢体不自由／平成24年度","0","4","0","0","0","0","3","0"
"知的障害／平成25年度","0","153","85","0","2","32","327","29"
"知的障害／平成24年度","0","140","102","2","0","31","284","45"
"病弱／平成25年度","0","0","0","0","0","0","0","0"
"病弱／平成24年度","0","0","0","0","0","0","0","0"
"合計／平成25年度","10","172","85","0","3","37","334","29"
"合計／平成24年度","4","154","106","2","0","39","293","45"
"病弱／阜氏j・ワークショップ（１１月、３月）812人／アウトリーチ延べ4回145人","○オーケストラ／メイン公演・ワークショップ（３月）2,100人／アウトリーチ延べ19回2,310人／○児童演劇／メイン公演・ワークショップ（２月、３月）5,066人／アウトリーチ延べ77回5,720人／○伝統芸能／メイン公演・ワークショップ（３月）405人／アウトリーチ延べ1回231人","○オーケストラ／メイン公演・ワークショップ（３月） 3,460人アウトリーチ 延べ14回 2,548人／○児童演劇／メイン公演・ワークショップ（２月、３月） 4,686人アウトリーチ 延べ80回 5,945人／○伝統芸能／メイン公演・ワークショップ（２月） 667人アウトリーチ 延べ1回 252人"
"目標３次代を担う子供達がたくましく成長し、自立する基盤づくり／（1）子供の生きる力をはぐくむ環境の整備","","○","","","86","芸術文化を通じた子供達の育成","生活文化局","子供達が、現代芸術や本物の伝統芸能等に触れるほか、様々な分野のアーティストなど専門家とともに作品を製作・発表する機会を提供する。","ワークショップ参加者数1,086人／鑑賞者数等4,493人","ワークショップ参加者数1,344人／鑑賞者数等1,555人","ワークショップ参加者数1,277人／鑑賞者数等7,869人","ワークショップ参加者数1,105人／鑑賞者数等9,459人","ワークショップ参加者数 1,062人鑑賞者数等 15,049人"
"目標３次代を担う子供達がたくましく成長し、自立する基盤づくり／（1）子供の生きる力をはぐくむ環境の整備","","","","","87","「日本の伝統・文化理解教育推進事業」の実施","教育庁","郷土や国に対する愛着や誇りをもち、国際社会で信頼される日本人を育てる教育の充実を図るため、次の取組を推進する。／○平成19年度から都立高校について、都独自の教科・科目「日本の伝統・文化」を設定／○都立学校の学校設定教科・科目「日本の伝統・文化」開設校の支援及び拡大／○小・中学校の指導資料の作成及びモデル地域による教材等の開発／○指導者養成研修の実施／○日本の伝統・文化理解教育実践発表会の開催","○学校設定教科・科目「日本の伝統・文化」を開設する都立学校10校を「世界に発信する日本の伝統・文化理解教育推進校」に指定した。／○6モデル地域（区市）から小・中学校の実践事例を収集し、『小・中学校「日本の伝統・文化」指導書』を作成し、公立小・中学校へ配布した。","○学校設定教科・科目「日本の伝統・文化」を開設する都立学校10校を「世界に発信する日本の伝統・文化理解教育推進校」に指定し、日本の伝統・文化を紹介するなど、外国人との交流の機会を通じて、生徒が日本の伝統・文化について理解を深め、国際社会に生きる日本人としての自覚と誇りを育む教育を推進した。／○『小・中学校「日本の伝統・文化」指導書』の活用等を通して、全公立小・中学校において日本の伝統・文化理解教育の推進を図った。また、特長のある継続的な取組等の紹介や各区市町村の取組状況について交流を行う連絡協議会を開催した。","○「日本の伝統文化及び国際理解シンポジウム」を実施し、事例発表や留学生等とのパネルディスカッション及び有識者の講演等を行うことで、各学校における日本の伝統･文化及び国際理解教育の充実を図った。","○各区市町村立学校における特色ある取組について、全区市町村教育委員会と情報を共有し、各学校の取組の充実を図った。／○都立学校に対して、「日本の伝統・文化」に関する授業における外部講師の報償費を２９校に対して配付し、生徒の体験的な学びを充実させた。","○各区市町村立学校及び都立学校の特色ある取組を全区市町村教育委員会及び各学校経営支援センターで情報を共有し、各地区の学校の取組の充実を図った。／○都立学校３２校に「日本の伝統・文化」に関する授業における外部講師の報償費を配付し、取組の充実を図った。"
