"区分","あんま・はり師等(人)","事務(人)","販売(人)","農林・漁業(人)","通信(人)","技能工等(人)","サービス職業(人)","その他(人)",
"視覚障害/本科/平成27年度","1","0","0","0","0","0","0","1",
"視覚障害/本科/平成26年度","0","0","0","0","0","0","2","1",
"視覚障害/専攻科/平成27年度","6","0","0","0","0","0","0","0",
"視覚障害/専攻科/平成26年度","3","1","0","0","0","0","0","0",
"聴覚障害/本科/平成27年度","0","7","0","0","0","5","4","0",
"聴覚障害/本科/平成26年度","0","3","0","0","0","2","2","0",
"聴覚障害/専攻科/平成27年度","0","4","0","0","0","5","5","0",
"聴覚障害/専攻科/平成26年度","0","8","0","0","0","6","4","0",
"肢体不自由/平成27年度","0","4","0","0","0","0","0","0",
"肢体不自由/平成26年度","0","6","0","0","0","0","0","0",
"知的障害/平成27年度","5","205","67","0","0","34","307","84",
"知的障害/平成26年度","0","163","75","2","20","24","359","13",
"病弱/平成27年度","0","0","0","0","0","0","0","0",
"病弱/平成26年度","0","0","0","0","0","0","1","0",
"合計/平成27年度","12","220","67","0","0","44","316","85",
"合計/平成26年度","3","181","75","2","20","32","368","14",
"知的障害/票ネットは平成25年4月から","音声：9,214件／ファクシミリ：1,631件","音声：7,337件／ファクシミリ：1,233件","音声：5,708件／ファクシミリ：704件","音声：4,312件／ファクシミリ：496件／WEB：5,956件","音声：2,384件／ファクシミリ：140件 ＷＥＢ：10,308件"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(3)安心できる医療のための環境整備／(3)‐２相談支援体制の充実","","","","","44","東京都こども医療ガイド","福祉保健局","子供の病気やケガの対処の仕方、病気の基礎知識、子育てのアドバイスなどを、ホームページで情報提供し、子育て経験の少ない親の不安の軽減を図る。","ホームページアクセス件数66,805件","ホームページアクセス件数57,975件","ホームページアクセス件数52,844件","ホームページアクセス件数92,097件","ホームページアクセス件数121,605件"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(3)安心できる医療のための環境整備／(3)‐２相談支援体制の充実","","","","","45","東京都医療機関案内サービス「ひまわり」","福祉保健局","休日や夜間に子供が急に熱を出した場合など、その時間に診療している近くの医療機関を電話で案内するサービスや、インターネットにより医療機関のきめ細かい情報提供を２４時間実施し、都民の多様なニーズに対応していく。","案内件数1,230,285件／・携帯サイト161,105件／・ホームページ1,046,159件／・音声自動応答サービス23,021件","案内件数1,251,662件／・携帯サイト122,181件／・ホームページ1,106,445件／・音声自動応答サービス23,036件","案内件数1,269,615件／・携帯サイト：80,791件／・ホームページ：1,167,375件／・音声自動応答サービス：21,449件","案内件数1,301,114件／・携帯サイト：50,960件／・ホームページ：1,229,880件／・音声自動応答サービス：20,274件","案内件数 1,683,391件／・携帯サイト：43,039件／・ホームページ：1,620,867件／・音声自動応答サービス：19,485件"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(3)安心できる医療のための環境整備／(3)‐２相談支援体制の充実","","","","","再掲","電話相談「母と子の健康相談室」（小児救急相談）（＊N０.7参照）","福祉保健局","","","","","",""
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(3)安心できる医療のための環境整備／(3)‐２相談支援体制の充実","","","","","46","子育て家庭のための情報交流コーナーの設置","病院経営本部","小児総合医療センターにおいて、子育て家族同士の交流が図れるファミリールーム・交流コーナーや、子供の病気や医療に関する情報収集ができる情報コーナーを設置し、家族の子育て力を高めていく。","病院開設に合わせて、各病棟フロアにファミリールーム、2階家族支援部門相談室近くに交流コーナーを設置した。また、情報コーナーの運用開始に向け、既存資産を活用した環境整備や、利用方法等を検討した。","各病棟のファミリールームの供用を開始した。情報交流コーナーについては、運用開始に向けて小児医療関連書籍・DVD等を購入した。","子どもの病気や医療に関する情報収集ができる情報コーナー「森のライブラリー」を開設した。情報提供の一層の充実を図るため、小児医療関連書籍・DVD等を購入した。","森のライブラリーの充実のため、小児医療関連書籍の購入を行った。利用者からの要望に沿って、ライブラリー開館時間を午後までとする曜日を作った。","森のライブラリーの開館時間の拡充を進め、月間開館回数が平成26年4月の16回から、平成27年3月には26回まで増加した。また、利用者数向上のため、定期的に「離乳食のすすめ」／「治験啓発講座」等の情報提供イベントを実施し、認知拡大に努めた。"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(3)安心できる医療のための環境整備／(3)‐２相談支援体制の充実","","","","","47","入院患者の兄弟姉妹（未就学児）の一時預かり","病院経営本部","小児総合医療センターにおいて、ボランティア等を活用した入院患者の兄弟姉妹の一時預かりサービスを実施し、家族が安心して患者への面会ができるようにする。","小児総合医療センター2階に病室に立ち入ることができない患者の兄弟姉妹を預かる「キッズルーム」を設置し、ボランティアによる運営を開始した。（1日平均利用 3.5人）","小児総合医療センターにおいて、ボランティアを活用しキッズルームを運営した。（1日平均利用6.4人）","小児総合医療センターにおいて、ボランティアを活用しキッズルームを運営した。（1日平均利用5.7人）","小児総合医療センターにおいて、ボランティアを活用しキッズルームを運営した。（1日平均利用5.6人）","小児総合医療センターにおいて、ボランティアを活用しキッズルームを運営した。（1日平均利用 8.5人）"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(3)安心できる医療のための環境整備／(3)‐２相談支援体制の充実","☆","新","","","48","不妊治療費助成事業","福祉保健局","特定不妊治療（体外受精及び顕微授精）に要する費用の一部を助成し、経済的負担の軽減を図る。","助成件数10,992件／（治療1回につき上限額15万円、1年度当たり2回まで、通算5年度まで助成）","助成件数12,108件／（平成23年度より治療1回につき上限額15万円。初年度は3回、2年度目以降は1年度当たり2回を限度に通算5年度まで、かつ、合計10回まで助成）","助成件数15,516件／（治療1回につき上限額15万円。初年度は3回、2年度目以降は1年度当たり2回を限度に通算5年度まで、かつ、合計10回まで助成）","助成件数18,400件／（治療1回につき上限額15万円。初年度は3回、2年度目以降は1年度当たり2回を限度に通算5年度まで、かつ、合計10回まで助成）","助成件数 17,453件／（治療1回につき上限額A20万円/B25万円/C・F7.5万円/D・E15万円。平成25年度までに助成を受けたことがある方：初年度は3回、2年度目以降は1年度当たり2回を限度に通算5年度まで、かつ、合計10回まで助成（H28年3月末まで適用）平成26年度以降初めてこの制度を利用する方：治療開始時の妻の年齢が39歳まで通算6回、妻の年齢が40歳以上は年度2回（初年度3回）（平成28年3月末まで適用））"
"目標1地域で安心して子育てができる新たな仕組みづくり／（2）安心できる小児・母子医療体制の整備／(3)安心できる医療のための環境整備／(3)‐２相談支援体制の充実","","","","","49","各種医療費助成制度（No.167ひとり親家庭等医療費助成含む）","福祉保健局","「妊娠高血圧症候群等医療費助成」「未熟児養育医療等医療給付」「小児慢性特定疾病の医療費助成」を行うほか、義務教育就学期までの乳幼児及び児童に医療費助成を行う市町村に対して、その経費の一部を補助することにより、医療費の負担の軽減を図る。","○妊娠高血圧症候群等医療費助成／（金額）3,290千円／(実人員）19人／○未熟児養育医療費助成／（金額）223,663千円／（実人員）823人／○小児慢性疾患医療費助成／（金額）1,851,124千円／(実人員）7,974人／○乳幼児医療費助成／【市町村部のみ】／（金額）3,508,634千円／（対象者数）193,454人／（助成件数）3,733,393件／○義務教育就学児医療費助成／【市町村部のみ】／（金額）2,355,242千円／（対象者数）211,528人／（助成件数）2,304,085件","○妊娠高血圧症候群等医療費助成／（金額）3,860千円／（実人員）16人／○未熟児養育医療費助成／（金額）237,378千円／（実人員）717人／○小児慢性疾患医療費助成／（金額）1,904,638千円／（実人員）7,883人／○乳幼児医療費助成／【市町村部のみ】／（金額）3,579,326千円／（対象者数）196,270人／（助成件数）3,792,823件／○義務教育就学児医療費助成／【市町村部のみ】／（金額）2,724,197千円／（対象者数）219,955人／（助成件数）2,644,984件","○妊娠高血圧症候群医療費助成／（金額）2,621千円／（実人員）19人／○未熟児療育医療費助成／（金額）169,618千円／（実人員）666人／○小児慢性疾患医療費助成／（金額）1,915,545千円／（実人員）7,663人／○乳幼児医療費助成／【市町村部のみ】／（金額）3,733,728千円／（対象者数）199,664人／（助成件数）3,977,272件／○義務教育就学児医療費助成／【市町村部のみ】／（金額）2,934,711千円(対象者数)231,537人(助成件数)2,757,435件","○妊娠高血圧症候群医療費助成／（金額）2,722千円／（実人員）13人／○未熟児療育医療費助成／（金額）120,369千円／（実人員）0人※25年度より市町村に権限委譲／○小児慢性疾患医療費助成／（金額）2,026,550千円／（実人員）7,637人／○乳幼児医療費助成／【市町村部のみ】／（金額）3,790,919千円／（対象者数）206,088人／（助成件数）4,046,684件／○義務教育就学児医療費助成／【市町村部のみ】／（金額）3,132,136千円／（対象者数）250,706人／（助成件数）2,910,783件","○妊娠高血圧症候群医療費助成／（金額）3,037千円／（実人員） 13人／○未熟児療育医療費助成／（金額）148,513千円／（実人員） 2,580人／○小児慢性特定疾病医療費助成／（金額）1,908,624千円／（実人員） 6,892人／○乳幼児医療費助成／【市町村部のみ】／（金額） 3,747,172千円／（対象者数）203,734人／（助成件数） 4,011,799件／○義務教育就学児医療費助成／【市町村部のみ】／（金額）3,339,311千円／（対象者数） 252,508人／（助成件数） 3,048,324件"
"目標2「仕事と家庭生活との両立の実現」／（１）家庭生活との調和が取れた職場づくりの推進／(1)両立支援の取組に対する支援","☆","○","○","","50","事業所内保育施設支援事業","福祉保健局","事業所内保育施設の運営費等の補助により企業の次世代育成に関する取組を支援する。","67事業所の利用（35施設の開設）","86事業所の利用（44施設の開設）","102事業所の利用（55施設の開設）","102事業所の利用（55施設の開設）","102事業所の利用（55施設の開設） ＋地域開放型２施設"
"目標2「仕事と家庭生活との両立の実現」／（１）家庭生活との調和が取れた職場づくりの推進／(1)両立支援の取組に対する支援","","○","○","","51","病院内保育施設の支援","福祉保健局","病院内保育施設の設置を促進し、医療従事者の継続的就労を支援する。","84施設","87施設","96施設","99施設","107施設"
"目標2「仕事と家庭生活との両立の実現」／（１）家庭生活との調和が取れた職場づくりの推進／(1)両立支援の取組に対する支援","","○","○","","52","東京次世代育成企業支援事業（登録制度）","産業労働局","次世代育成に積極的に取り組む企業等を「とうきょう次世代育成サポート企業」として登録し、両立支援アドバイザーによる助言・相談を実施する。","○とうきょう次世代育成サポート企業登録件数809社（計2,735社）／○両立支援アドバイザー2人配置","○とうきょう次世代育成サポート企業登録件数510社（計3,245社）／○両立支援アドバイザー2人配置","○とうきょう次世代育成サポート企業登録件数80社（計3,325社）／○両立支援アドバイザー2人配置","○とうきょう次世代育成サポート企業登録件数70社（計3,395社）／○両立支援アドバイザー2人配置","○とうきょう次世代育成サポート企業登録件数 124社（計3,519社）／○両立支援アドバイザー 2人配置"
"目標2「仕事と家庭生活との両立の実現」／（１）家庭生活との調和が取れた職場づくりの推進／(1)両立支援の取組に対する支援","☆","○","○","","53","中小企業両立支援推進助成金","産業労働局","とうきょう次世代育成サポート企業に登録した中小企業に対して両立支援策の導入等に係る経費を助成（両立支援責任者の設置、研修等の意識啓発、社内ルールづくり、育児休業取得者の代替要員等に係る経費等）する。","申請受付件数／＜社内の両立支援の整備等＞／・両立支援推進責任者設置（509件）／※両立支援推進責任者への研修（590人）／・社内の意識啓発等（148件）／・社内ルールづくり(216件）／＜育児休業取得者の代替社員の雇用等＞／・育児休業応援49件／・育児短時間勤務制度利用促進51件","申請受付件数／＜社内の両立支援の整備等＞／・両立支援推進責任者設置（515件）／※両立支援推進責任者への研修（611人）／・社内の意識啓発等（131件）／・社内ルールづくり(199件）／＜育児休業取得者の代替社員の雇用等＞／・育児休業応援42件／・育児短時間勤務制度利用促進50件","申請受付件数／＜社内の両立支援の整備等：助成金＞／・社内の意識啓発等（17件）／・社内ルールづくり(54件）／※両立支援責任者の設置については、平成23年度で終了。／＜育児休業取得者の代替社員の雇用等：助成金＞／・育児休業応援71件／・育児短時間勤務制度利用促進60件","平成24年度事業終了／（平成25年度からは「中小企業ワークライフバランス実践支援事業」を開始。）","平成24年度事業終了／（平成25年度からは「中小企業ワークライフバランス実践支援事業」を開始。）"
