"","進捗率","セルフ率"
"（合計）","",""
"北海道","95.5","34.2"
"青森県","99.7","0.6"
"岩手県","99.3","6.7"
"宮城県","97.9","25.6"
"秋田県","99.5","0.4"
"山形県","99.8","0.5"
"福島県","97.7","17.9"
"茨城県","98.9","2.1"
"栃木県","99.9","4"
"群馬県","99.8","2.9"
"埼玉県","97.3","16.7"
"千葉県","98.1","17"
"東京都","95.7","23.3"
"神奈川県","95.5","48.7"
"新潟県","99.1","1.2"
"富山県","98.3","1.8"
"石川県","98.3","0.5"
"福井県","99.9","0.8"
"山梨県","99.5","2.8"
"長野県","99.3","0.2"
"岐阜県","99.7","1.3"
"静岡県","96.9","8.7"
"愛知県","99.5","16.6"
"三重県","98.2","9.1"
"滋賀県","92.2","11.5"
"京都府","87.9","21.9"
"大阪府","97.8","43.7"
"兵庫県","88.1","22.9"
"奈良県","94.9","11.6"
"和歌山県","99.9","4.6"
"鳥取県","95.1","2.8"
"島根県","100","0.6"
"岡山県","97.6","27.9"
"広島県","99.1","18.8"
"山口県","99.1","0.5"
"徳島県","100","0.3"
"香川県","99.9","0.3"
"愛媛県","99.4","7"
"高知県","88.6","4.3"
"福岡県","96.5","10.7"
"佐賀県","99.9","15.8"
"長崎県","99.1","4.3"
"熊本県","98.7","1.9"
"大分県","99.7","0.5"
"宮崎県","99.9","0.5"
"鹿児島県","99.9","0.5"
"沖縄県","98.8","0.7"
"佐賀県","99育士向け指導資料）／・国公私立幼稚園、公私立保育所、認定こども園の教員及び保育士、公立小学校等に配布75,000部／・就学前教育カリキュラム活用ハンドブック説明会489名参加／○就学前教育カリキュラム家庭用リーフレットの作成／・都内保健所、子育てひろば等に配布10,000部／○就学前教育開発委員会の設置／・接続期（年長５歳児後半から小学校入門期）における「就学前教育カリキュラム」の活用のための具体的な方策の研究開発／・指導資料の作成／・指導資料説明会250名参加","○幼児期の「規範意識の芽生え」の醸成家庭用リーフレットの作成／・国公私立幼稚園、公私立保育所、子育てひろば、保健所、各主管課等に配布24,000部／○幼児期の「規範意識の芽生え」の醸成指導資料の作成／・国公私立幼稚園、公私立保育所、公立小学校、子育てひろば、各主管課等に配布25,000部／○就学前教育フォーラムの開催281名参加／・都教育委員会作成資料等の説明、パネルディスカッション、大学教授による講演／○就学前教育開発委員会の設置／・年長５歳児後半から小学校入門期における「接続期カリキュラム」の研究開発及び指導資料の作成／・指導資料説明会１０６名参加"
