"","総数","ガイドラインの内容の説明／施設数","ガイドラインの内容の説明／割合","「食物アレルギー緊急時対応マニュアル」の内容の説明／施設数","「食物アレルギー緊急時対応マニュアル」の内容の説明／割合","アドレナリン自己注射薬練習キットを使用した訓練／施設数","アドレナリン自己注射薬練習キットを使用した訓練／割合","緊急時を想定したシミュレーション訓練／施設数","緊急時を想定したシミュレーション訓練／割合","外部研修の受講者による伝達勉強会／施設数","外部研修の受講者による伝達勉強会／割合","外部講師を招いての研修／施設数","外部講師を招いての研修／割合","施設内研修に関する取り組みは特にない／施設数","施設内研修に関する取り組みは特にない／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1588","655","41.2","906","57.1","846","53.3","502","31.6","621","39.1","138","8.7","79","5.0","109","6.9","27","1.7"
"認証保育所＊","527","225","42.7","278","52.8","120","22.8","115","21.8","243","46.1","32","6.1","38","7.2","38","7.2","13","2.5"
"認定こども園＊","95","32","33.7","54","56.8","40","42.1","23","24.2","24","25.3","15","15.8","7","7.4","6","6.3","1","1.1"
"幼稚園＊","666","142","21.3","284","42.6","198","29.7","90","13.5","150","22.5","54","8.1","136","20.4","45","6.8","25","3.8"
"ベビーホテル","331","104","31.4","175","52.9","48","14.5","48","14.5","91","27.5","15","4.5","54","16.3","27","8.2","17","5.1"
"家庭的保育","596","59","9.9","93","15.6","25","4.2","52","8.7","47","7.9","37","6.2","214","35.9","64","10.7","124","20.8"
"学童保育","1169","318","27.2","654","55.9","639","54.7","244","20.9","346","29.6","282","24.1","91","7.8","72","6.2","35","3.0"
"上記以外の施設","376","98","26.1","175","46.5","81","21.5","62","16.5","103","27.4","22","5.9","86","22.9","28","7.4","17","4.5"
"総数","5348","1633","30.5","2619","49.0","1997","37.3","1136","21.2","1625","30.4","595","11.1","705","13.2","389","7.3","259","4.8"
"＊前回調査施設 (再掲）","2876","1054","36.6","1522","52.9","1204","41.9","730","25.4","1038","36.1","239","8.3","260","9.0","198","6.9","66","2.3"
