"年次・月次コード","年次・月次","西暦（年）","月","都平均","第1階層","第2階層","第3階層","第4階層","第5階層","第6階層","第7階層"
"nen","平成27年平均","2015","",28.1,29.7,31.7,30.6,30.4,28.3,26.3,26.6
"nen","平成28年平均","2016","",27.6,28.5,29.4,29.1,28.8,27.5,26.6,26.7
"nen","平成29年平均","2017","",26.9,27.6,28.5,28.6,27.8,27.3,25.8,26.2
"nen","平成30年平均","2018","",27.6,28.9,30.7,28.1,27.9,27.4,26.1,27.4
"nen","平成31年・令和元年平均","2019","",26.7,28.2,28.5,28.9,27.1,25.9,26.4,25.9
"nen","令和 2年平均","2020","",27.2,27.8,28.8,29.3,28.4,26.6,26.3,26.4
"nen","令和 3年平均","2021","",26.2,26.0,28.6,27.2,26.9,25.6,25.7,25.8
"tuki","令和 3年11月","2021","11",23.7,24.7,27.1,26.0,25.3,23.2,23.9,21.7
"tuki","令和 3年12月","2021","12",21.9,25.1,24.6,23.1,22.0,26.1,23.0,18.3
"tuki","令和 4年 1月","2022","1",25.1,29.9,27.5,27.6,27.4,26.3,25.6,21.7
"tuki","令和 4年 2月","2022","2",28.2,29.9,33.4,32.8,33.7,30.8,30.5,21.6
"tuki","令和 4年 3月","2022","3",27.3,27.4,30.5,32.8,31.1,27.2,28.1,23.4
"tuki","令和 4年 4月","2022","4",31.1,30.6,32.7,31.5,29.0,27.1,28.8,33.6
"tuki","令和 4年 5月","2022","5",28.7,27.8,28.2,33.5,26.2,28.1,27.1,29.6
"tuki","令和 4年 6月","2022","6",27.2,24.2,32.0,29.2,27.4,26.4,29.4,24.9
"tuki","令和 4年 7月","2022","7",24.6,25.6,27.0,27.2,26.2,25.8,26.4,21.5
"tuki","令和 4年 8月","2022","8",26.0,23.9,28.9,29.7,27.3,26.6,25.5,24.3
"tuki","令和 4年 9月","2022","9",29.3,26.7,28.8,29.4,30.1,25.2,26.5,32.5
"tuki","令和 4年10月","2022","10",28.6,28.2,30.4,29.6,25.9,28.2,26.1,30.5
"tuki","令和 4年11月","2022","11",26.2,26.4,28.5,30.2,27.3,26.7,25.2,24.5
"","","","","","","","","","","",""
"東京都生計分析調査　令和 4年11月","","","","","","","","","","",""
"主　　要　　指　　標　　　４　　―　全世帯，生計支出７分位階層別　―","","","","","","","","","","",""
"公共的料金負担率　　　〔＝（公共的料金÷消費支出） ×１００〕","","","","","","","","","","",""
