"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","業態廃止日","緯度","経度"
"202404","2024/4/30","薬局","廃止","セルフケア薬局　東京ポートシティ竹芝店","東京都港区海岸一丁目7番1号","東京ポートシティ竹芝オフィスタワー6階",,"4港み生薬第34号","2024/3/31","35.655311","139.7604"
"202404","2024/4/15","薬局","廃止","薬樹薬局　青山","東京都港区北青山三丁目3番10号","紀文堂ビル1階","03-3402-7450","3港み生薬第25号","2024/4/6","35.668151","139.714863"
"202404","2024/4/16","薬局","休止","薬局ケーアイファーマシー　品川シーズンテラス","東京都港区港南一丁目2番70号","品川シーズンテラス2階","03-6712-8117","3港み生薬第32号",,"35.632491","139.743066"
"202404","2024/4/8","薬局","休止","高輪１丁目薬局","東京都港区高輪一丁目27番20号",,"03-3445-5693","5港み生薬第53号",,"35.636664","139.733219"
"202406","2024/6/3","薬局","廃止","高輪１丁目薬局","東京都港区高輪一丁目27番20号",,"03-3445-5693","5港み生薬第53号","2024/5/31","35.636664","139.733219"
"202407","2024/7/19","薬局","廃止","中川薬局","東京都港区三田二丁目7番9号","サニークレスト三田1階","03-5427-6728","2港み生薬第12号","2024/7/10","35.651812","139.744646"
"202408","2024/8/2","薬局","廃止","トリモ薬局","東京都港区港南二丁目16番1号","品川イーストワンタワー3階","03-6718-2938","30港み生薬第75号","2024/7/31","35.627770","139.740900"
"202408","2024/8/2","薬局","廃止","ファルマルシェ薬局　品川港南","東京都港区港南四丁目2番6‐203号",,"03-3474-1781","30港み生薬第72号","2024/7/31","35.630966","139.748045"
"202408","2024/8/8","薬局","廃止","薬局トモズ　神谷町店","東京都港区虎ノ門五丁目1番5号","メトロシティ神谷町地下1階","03-5425-2977","4港み生薬第36号","2024/7/31","35.663595","139.745402"
"202408","2024/8/5","薬局","廃止","さくら薬局　三田店","東京都港区三田五丁目12番3号","パークリュクス白金高輪101","03-6435-4551","4港み生薬第62号","2024/7/31","35.645336","139.738339"

"薬局廃止休止一覧(令和6年8月31日現在)","Ver202408",,,,,,,,,,
