"年次・月次コード","年次・月次","西暦（年）","月","都平均","第1階層","第2階層","第3階層","第4階層","第5階層","第6階層","第7階層"
"nen","平成28年平均","2016","",45.8,22.4,30.1,35.0,38.2,42.0,47.4,58.4
"nen","平成29年平均","2017","",46.1,23.5,31.2,33.8,38.5,42.1,47.8,58.7
"nen","平成30年平均","2018","",45.6,22.5,30.6,35.3,39.0,43.0,47.9,57.1
"nen","平成31年・令和元年平均","2019","",46.0,23.0,30.3,35.7,39.9,44.3,48.9,56.4
"nen","令和 2年平均","2020","",42.6,23.0,28.9,32.4,36.5,39.9,44.1,53.4
"nen","令和 3年平均","2021","",43.6,25.2,29.4,33.4,36.6,39.6,44.2,55.4
"nen","令和 4年平均","2022","",43.8,24.1,29.3,32.3,36.5,40.1,45.7,55.4
"tuki","令和 4年 1月","2022","1",40.8,23.8,31.3,32.8,36.0,36.7,44.4,48.7
"tuki","令和 4年 2月","2022","2",37.6,23.2,26.7,30.1,31.1,34.3,43.1,44.7
"tuki","令和 4年 3月","2022","3",43.9,24.4,26.4,30.3,36.4,38.0,42.0,60.0
"tuki","令和 4年 4月","2022","4",47.3,26.5,29.4,30.9,35.5,37.8,48.3,61.4
"tuki","令和 4年 5月","2022","5",44.3,24.1,31.6,31.7,41.7,41.3,45.2,54.1
"tuki","令和 4年 6月","2022","6",42.2,24.6,28.9,32.1,38.3,39.6,44.0,52.5
"tuki","令和 4年 7月","2022","7",44.4,23.2,29.3,32.2,39.2,38.3,45.2,57.1
"tuki","令和 4年 8月","2022","8",43.8,22.4,29.2,31.6,38.1,39.3,46.4,54.6
"tuki","令和 4年 9月","2022","9",46.7,25.1,27.4,33.3,37.5,42.4,45.1,62.5
"tuki","令和 4年10月","2022","10",45.9,24.5,29.0,34.4,37.0,44.2,48.9,57.9
"tuki","令和 4年11月","2022","11",45.2,23.5,32.5,32.6,39.1,44.3,50.1,53.9
"tuki","令和 4年12月","2022","12",42.7,23.8,27.5,32.7,35.3,41.4,47.5,52.8
"tuki","令和 5年 1月","2023","1",43.6,20.4,32.0,30.8,38.1,40.8,44.1,56.2
"","","","","","","","","","","",""
"東京都生計分析調査　令和 5年 1月","","","","","","","","","","",""
"主　　要　　指　　標　　　４　　―　全世帯，生計支出７分位階層別　―","","","","","","","","","","",""
"選択的支出係数　　　〔＝（選択的支出÷消費支出） ×１００〕","","","","","","","","","","",""
