項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
自主財源／地方税（千円）,967024,45323,342835,236064,13659750,729068381
自主財源／地方税構成比（％）,9.5,3.6,8.6,8,19.1,44.7
自主財源／使用料・手数料（千円）,252370,18128,113103,52446,1743872,32481138
自主財源／使用料・手数料構成比（％）,2.5,1.5,2.8,1.8,2.4,2
自主財源／財産収入（千円）,20547,4457,33337,10326,383603,5110487
自主財源／財産収入構成比（％）,0.2,0.4,0.8,0.3,0.5,0.3
自主財源／その他（千円）,1174521,301974,326999,196927,7819340,138599798
自主財源／その他構成比（％）,11.5,24.2,8.2,6.6,10.9,8.5
自主財源／計（千円）,2414462,369882,816274,495763,23606565,905259804
自主財源／計構成比（％）,23.7,29.6,20.4,16.7,33,55.5
依存財源／地方交付税（千円）,2108693,377505,1472544,916719,15242395,49951063
依存財源／地方交付税構成比（％）,20.7,30.2,36.8,30.9,21.3,3.1
依存財源／国庫支出金（千円）,1041046,51396,105967,185268,5124291,274522048
依存財源／国庫支出金構成比（％）,10.2,4.1,2.7,6.2,7.2,16.8
依存財源／都支出金（千円）,3001231,425510,1318066,1166074,20032771,221393210
依存財源／都支出金構成比（％）,29.5,34.1,33,39.3,28,13.6
依存財源／地方債（千円）,1332840,13078,71730,263098,3909447,69498217
依存財源／地方債構成比（％）,13.1,1,1.8,8.9,5.5,4.3
依存財源／その他（千円）,273276,11355,106113,56469,3515081,111479839
依存財源／その他構成比（％）,2.7,0.9,2.7,1.9,4.9,15.3
依存財源／計（千円）,7757086,878844,3181078,2469970,47823985,726844377
依存財源／計構成比（％）,76.3,70.4,79.6,83.3,67,44.5
合計（千円）,10171548,1248726,3997352,2965733,71430550,1632104181
合計構成比（％）,100,100,100,100,100,100
,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,18,1,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,31,-,-,-,-,1,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13120,1312004600,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴,,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴,1,3,-,-,1,3,3,8,1,1,-,-,-,-,1,1,1,2,1,2,-,-,-,-,-,-,1,5,-,-,-,-,-,-,1,5,9,68,3,31,-,-,-,-,-,-,-,-,2,29,-,-,1,2,6,37,-,-,-,-,1,3,2,20,-,-,-,-,-,-,3,14,5,27,1,2,1,2,-,-,-,-,-,-,-,-,2,4,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,19,1,19,-,-,1,2,-,-,-,-,1,2,-,-,-,-,9,37,3,8,-,-,-,-,-,-,1,1,2,7,1,2,-,-,1,2,-,-,2,9,2,9,-,-,3,18,-,-,1,7,2,11,16,91,5,14,1,6,3,5,1,3,-,-,-,-,-,-,3,12,1,4,1,6,1,2,-,-,1,4,1,4,-,-,7,61,-,-,-,-,1,4,-,-,-,-,2,4,1,36,-,-,3,17,-,-,-,-,-,-,16,66,3,7,3,7,-,-,5,18,5,9,5,9,-,-,-,-,-,-,-,-,3,32,-,-,-,-,3,32,-,-,30,465,1,54,3,13,2,11,1,2,2,6,1,4,1,2,1,2,1,2,6,46,6,46,-,-,-,-,-,-,16,342,7,127,1,4,1,1,-,-,3,188,1,2,-,-,-,-,3,20,21,150,9,56,4,39,3,11,1,5,1,1,4,6,8,88,7,62,1,26,-,-,-,-,47,250,1,1,-,-,-,-,1,1,-,-,1,2,-,-,1,2,-,-,-,-,15,90,1,13,1,1,12,74,1,2,2,14,-,-,-,-,2,14,4,52,4,52,-,-,5,27,1,2,-,-,1,16,3,9,1,2,1,2,-,-,-,-,2,8,-,-,2,8,16,54,-,-,-,-,7,16,1,8,-,-,1,4,1,4,1,8,5,14,4,30,2,12,-,-,-,-,1,8,1,4,-,-,-,-,2,18
6,13120,1312004601,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴,1荳∫岼,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴1荳∫岼,-,-,-,-,-,-,1,1,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,1,10,-,-,-,-,-,-,-,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,3,35,2,33,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,3,13,1,1,-,-,-,-,-,-,1,1,1,1,1,11,1,11,-,-,-,-,-,-,4,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,11,-,-,-,-,2,11,-,-,1,6,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,23,1,8,-,-,-,-,1,8,-,-,-,-,-,-,1,15
6,13120,1312004602,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴,2荳∫岼,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴2荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,3,23,1,2,1,2,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,19,1,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,-,-,-,-,1,9,3,8,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,4,-,-,-,-,-,-,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,21,-,-,-,-,1,21,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,2,12,1,11,1,11,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,3,12,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13120,1312004603,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴,3荳∫岼,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴3荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,2,4,-,-,-,-,-,-,1,1,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,29,2,29,1,23,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,18,1,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13120,1312004604,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴,4荳∫岼,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴4荳∫岼,1,3,-,-,1,3,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,9,1,1,-,-,1,1,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,4,40,2,37,-,-,1,1,-,-,1,2,-,-,-,-,-,-,-,-,2,31,1,5,-,-,-,-,1,5,-,-,-,-,1,26,-,-,1,26,-,-,-,-,7,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,12,-,-,1,1,2,9,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
