"年次・月次コード","年次・月次","西暦（年）","月","都平均","第1階層","第2階層","第3階層","第4階層","第5階層","第6階層","第7階層"
"nen","平成27年平均","2015","",52.2,42.8,43.7,46.4,51.8,52.6,56.6,60.9
"nen","平成28年平均","2016","",53.0,48.0,47.7,45.4,52.4,53.5,57.7,59.0
"nen","平成29年平均","2017","",54.0,41.7,45.6,45.9,54.1,56.9,61.4,61.8
"nen","平成30年平均","2018","",52.7,39.1,41.0,48.0,52.2,55.4,56.9,62.7
"nen","平成31年・令和元年平均","2019","",53.3,42.7,45.9,48.3,52.9,57.0,58.4,59.6
"nen","令和 2年平均","2020","",48.3,38.9,40.5,45.6,47.8,50.9,53.5,53.2
"nen","令和 3年平均","2021","",50.4,39.5,43.8,45.2,49.4,56.6,55.3,53.9
"tuki","令和 3年10月","2021","10",52.7,40.5,51.4,50.0,52.8,50.0,60.0,56.6
"tuki","令和 3年11月","2021","11",48.8,39.6,33.5,43.8,49.4,50.6,58.6,54.9
"tuki","令和 3年12月","2021","12",44.4,35.5,41.8,47.1,45.6,32.1,54.0,51.4
"tuki","令和 4年 1月","2022","1",45.4,32.3,41.7,43.3,53.7,47.7,37.5,54.9
"tuki","令和 4年 2月","2022","2",43.5,30.5,30.2,37.4,41.3,45.6,53.2,51.6
"tuki","令和 4年 3月","2022","3",51.5,33.9,35.0,42.1,46.3,50.5,65.1,59.9
"tuki","令和 4年 4月","2022","4",50.8,38.8,41.7,45.1,46.1,47.9,56.0,62.7
"tuki","令和 4年 5月","2022","5",51.0,42.8,39.8,48.9,44.8,47.1,55.0,62.0
"tuki","令和 4年 6月","2022","6",47.0,34.0,36.2,45.9,45.8,49.6,45.5,58.5
"tuki","令和 4年 7月","2022","7",49.5,48.0,37.5,47.9,49.3,45.9,60.9,50.4
"tuki","令和 4年 8月","2022","8",51.7,37.2,57.0,42.6,46.5,56.3,52.6,59.4
"tuki","令和 4年 9月","2022","9",54.5,47.0,36.7,48.8,55.6,51.7,61.8,65.2
"tuki","令和 4年10月","2022","10",50.2,45.5,43.6,37.9,52.2,50.6,51.8,59.2
"","","","","","","","","","","",""
"東京都生計分析調査　令和 4年10月","","","","","","","","","","",""
"主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―","","","","","","","","","","",""
"選択的支出係数　　　〔＝（選択的支出÷消費支出） ×１００〕","","","","","","","","","","",""
