,,,,,,,(単位：隻、総トン、時間),
,,係留施設別,利用船舶,,,うち荷役船,,
,,,隻 数,総トン数,延時間,隻 数,総トン数,
合計,,,"26,120","183,815,090","393,404","20,624","173,532,041",
ドルフィン,,,60,"35,912",387,56,"35,600",
芝浦,,,"1,645","1,966,029","40,220",754,"1,766,141",
,,芝浦ふ頭,459,"1,629,793","13,008",457,"1,629,269",
,,芝浦物揚場,"1,186","336,236","27,212",297,"136,872",
日の出,,,106,"64,038","1,845",65,"21,185",
,,日の出ふ頭,106,"64,038","1,845",65,"21,185",
竹芝,,,"2,925","5,643,865","4,283",525,"3,367,653",
,,竹芝ふ頭,"2,925","5,643,865","4,283",525,"3,367,653",
品川,,,"1,746","18,912,128","14,547","1,685","18,836,114",
,品川岸壁,,"1,746","18,912,128","14,547","1,685","18,836,114",
,,品川コンテナ,956,"8,760,355","9,405",896,"8,685,459",
,,品川外貿,33,"437,080",394,32,"435,962",
,,品川内貿,757,"9,714,693","4,748",757,"9,714,693",
晴海,,,137,"1,694,970","23,748",11,"75,606",
,,晴海ふ頭,117,"1,649,247","12,938",4,"62,009",
,,官公庁（晴海）,20,"45,723","10,810",7,"13,597",
月島,,,155,"77,755","24,757",94,"23,190",
,,月島ふ頭,62,"18,753","4,822",30,"9,175",
,,漁業基地,31,"46,890","10,604",2,"1,903",
,,官公庁（月島）,62,"12,112","9,331",62,"12,112",
10号地その2,,,"1,579","13,440,442","27,869","1,227","9,029,472",
,,10号西岸壁,816,"8,852,085","14,061",816,"8,852,085",
,,10号東岸壁,414,"178,393","9,278",411,"177,387",
,,東京港フェリーふ頭,349,"4,409,964","4,530",-,-,
10号地その1,,,27,"85,567","4,425",2,388,
,,多目的ふ頭,27,"85,567","4,425",2,388,
辰巳,,,"1,032","365,676","43,046","1,004","360,401",
,,辰巳ふ頭,"1,032","365,676","43,046","1,004","360,401",
13号地その2,,,"2,949","45,298,095","52,688","2,709","44,976,899",
,,青海コンテナふ頭（公共）,"1,592","18,424,003","16,429","1,453","18,269,700",
,,青海コンテナふ頭(埠頭㈱),933,"23,872,296","9,029",858,"23,788,446",
,,お台場ライナーふ頭,424,"3,001,796","27,230",398,"2,918,753",
13号地その1,,,114,"93,484","24,639",-,-,
,,有明ふ頭,100,"59,703","19,476",-,-,
,,官公庁（有明）,14,"33,781","5,163",-,-,
大井,,,"3,490","78,608,775","37,192","3,144","77,972,619",
,,大井コンテナふ頭,"3,172","76,775,991","31,207","3,040","76,616,760",
,,大井水産物ふ頭,7,"420,260",441,2,758,
,,大井食品ふ頭（OL）,246,"821,823","3,912",39,"789,700",
,,大井食品ふ頭（OM）,56,"505,976",789,56,"505,976",
,,大井食品ふ頭（ON）,9,"84,725",843,7,"59,425",
若洲,,,886,"1,949,290","5,508",645,"1,937,542",
,,若洲内貿ふ頭,142,"1,424,828","1,176",142,"1,424,828",
,,15号地木材ふ頭,61,"238,205",537,14,"233,359",
,,若洲建材ふ頭,683,"286,257","3,795",489,"279,355",
城南島,,,"1,555","963,230","30,067","1,390","847,954",
,,大井建材ふ頭,"1,012","586,568","6,503",986,"570,775",
,,城南島建設発生土ふ頭,543,"376,662","23,564",404,"277,179",
中央防波堤,,,378,"3,040,762","7,106",366,"3,021,602",
,,中央防波堤内側ばら物ふ頭,68,"362,170","1,554",64,"361,618",
