区分,会計款項目,金額（円）,構成比(%)
歳入,総計,682097161,
歳入,一般会計,680011570,100.00%
歳入,１．都税,602170764,88.55%
歳入,都民税,454297143,66.81%
歳入,事業税,103987600,15.29%
歳入,不動産取得税,15406300,2.27%
歳入,ゴルフ場利用税,1052400,0.15%
歳入,軽油引取税,21632121,3.18%
歳入,自動車税,5655500,0.83%
歳入,狩猟税,139700,0.02%
歳入,２．分担金及負担金,2264410,0.33%
歳入,土木費負担金,2264410,0.33%
歳入,港湾費負担金,60160904,8.85%
歳入,３．使用料及手数料,288,0.00%
歳入,総務使用料,295810,0.04%
歳入,環境使用料,26314313,3.87%
歳入,土木使用料,31887323,4.69%
歳入,港湾使用料,1663170,0.24%
歳入,手数料,1177020,0.17%
歳入,４．財産収入,1177020,0.17%
歳入,財産運用収入,14238472,2.09%
歳入,５．諸収入,121293,0.02%
歳入,延滞金及加算金,0,0.00%
歳入,都預金利子,0,0.00%
歳入,貸付金元利収入,662010,0.10%
歳入,受託事業収入,2744947,0.40%
歳入,弁償金及報償金,10710222,1.58%
歳入,雑入,11673677,1.80%
歳入,母子福祉貸付資金会計事業収入,2085591,
歳出,総計,6960142640,
歳出,一般会計,6955849815,100.00%
歳出,１．総務費,118407702,1.70%
歳出,２．徴税費,21983702,0.32%
歳出,３．生活文化スポーツ費,85968,0.00%
歳出,４．都市整備費,53000,0.00%
歳出,５．環境費,1111491255,15.98%
歳出,６．福祉保健費,138935790,2.00%
歳出,７．産業労働費,896283951,12.89%
歳出,８．土木費,3951412104,56.81%
歳出,９．港湾費,716226343,10.30%
歳出,10．諸支出金,970000,0.01%
歳出,母子福祉貸付資金会計,4292825,0.06%
歳出,母子福祉-,-,-,-,-,-,-,1,22,-,-,-,-,-,-,-,-,-,-,-,-,1,22,-,-,1,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,20,1,2,-,-,1,2,-,-,1,5,1,5,-,-,-,-,-,-,-,-,1,13,-,-,1,13,-,-,-,-,18,310,2,179,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,4,19,-,-,3,16,1,3,-,-,11,109,5,89,-,-,-,-,-,-,3,15,-,-,1,2,-,-,2,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,14,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,44,2,13,-,-,5,25,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,13,-,-,1,13,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,4,9,-,-,2,3,1,2,-,-,1,4,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,1,3,-,-,-,-,-,-
