船別,島名,項目,４月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,合計
ジェットフォイル,大島,就航予定便数,167,205,188,265,288,227,165,150,155,151,184,224,2369
ジェットフォイル,大島,就航便数／元町,58,125,97,149,117,58,42,39,37,22,35,6,785
ジェットフォイル,大島,就航便数／岡田,107,78,88,116,156,125,107,109,116,122,146,209,1479
ジェットフォイル,大島,就航便数／計,165,203,185,265,273,183,149,148,153,144,181,215,2264
ジェットフォイル,大島,欠航便数,2,2,3,0,15,44,16,2,2,7,3,9,105
ジェットフォイル,大島,就航率（％）,98.8,99,98.4,100,94.8,80.6,90.3,98.7,98.7,95.4,98.4,96,95.6
ジェットフォイル,利島,就航予定便数,56,62,60,62,62,60,28,10,8,8,0,0,416
ジェットフォイル,利島,就航便数,46,57,50,52,46,36,15,8,5,0,0,0,315
ジェットフォイル,利島,欠航便数,10,5,10,10,16,24,13,2,3,8,0,0,101
ジェットフォイル,利島,就航率（％）,82.1,91.9,83.3,83.9,74.2,60,53.6,80,62.5,0,―,―,75.7
ジェットフォイル,新島,就航予定便数,60,76,60,107,135,60,34,10,8,8,0,0,558
ジェットフォイル,新島,就航便数／新島,40,60,34,81,77,24,16,4,2,0,0,0,338
ジェットフォイル,新島,就航便数／羽伏,0,0,0,0,0,0,0,0,0,0,0,0,0
ジェットフォイル,新島,就航便数／若郷,14,15,24,25,47,27,16,6,4,2,0,0,180
ジェットフォイル,新島,就航便数／計,54,75,58,106,124,51,32,10,6,2,0,0,518
ジェットフォイル,新島,欠航便数,6,1,2,1,11,9,2,0,2,6,0,0,40
ジェットフォイル,新島,就航率（％）,90,98.7,96.7,99.1,91.9,85,94.1,100,75,25,―,―,92.8
ジェットフォイル,式根島,就航予定便数,62,78,63,107,135,60,34,10,8,8,0,0,565
ジェットフォイル,式根島,就航便数／野伏,56,77,61,106,124,50,32,10,6,2,0,0,524
ジェットフォイル,式根島,就航便数／式根島,0,0,0,0,0,0,0,0,0,0,0,0,0
ジェットフォイル,式根島,就航便数／計,56,77,61,106,124,50,32,10,6,2,0,0,524
ジェットフォイル,式根島,欠航便数,6,1,2,1,11,10,2,0,2,6,0,0,41
ジェットフォイル,式根島,就航率（％）,90.3,98.7,96.8,99.1,91.9,83.3,94.1,100,75,25,―,―,92.7
ジェットフォイル,神津島,就航予定便数,60,72,60,72,84,60,34,10,8,8,0,0,468
ジェットフォイル,神津島,就航便数／神津島,18,48,32,52,52,30,24,4,2,0,0,0,262
ジェットフォイル,神津島,就航便数／三浦,38,24,26,20,25,22,8,6,6,2,0,0,177
ジェットフォイル,神津島,就航便数／計,56,72,58,72,77,52,32,10,8,2,0,0,439
ジェットフォイル,神津島,欠航便数,4,0,2,0,7,8,2,0,0,6,0,0,29
ジェットフォイル,神津島,就航率（％）,93.3,100,96.7,100,91.7,86.7,94.1,100,100,25,―,―,93.8
ジェットフォイル,大島／熱海,就航予定便数,83,127,120,138,145,120,117,78,84,92,164,174,1442
ジェットフォイル,大島／熱海,就航便数,82,127,118,138,137,104,107,78,84,91,164,166,1396
ジェットフォイル,大島／熱海,欠航便数,1,0,2,0,8,16,10,0,0,1,0,8,46
ジェットフォイル,大島／熱海,就航率（％）,98.8,100,98.3,100,94.5,86.7,91.5,100,100,98.9,100,95.4,96.8
ジェットフォイル,大島／伊東,就航予定便数,12,12,60,12,0,0,12,18,22,22,53,62,285
ジェットフォイル,大島／伊東,就航便数,12,12,59,12,0,0,10,18,22,22,53,59,279
ジェットフォイル,大島／伊東,欠航便数,0,0,1,0,0,0,2,0,0,0,0,3,6
ジェットフォイル,大島／伊東,就航率（％）,100,100,98.3,100,,,83.3,100,100,100,100,95.2,97.9
ジェットフォイル,大島／下田,就航予定便数,0,0,0,0,0,0,0,0,0,0,0,0,0
ジェットフォイル,大島／下田,就航便数,0,0,0,0,0,0,0,0,0,0,0,0,0
ジェットフォイル,大島／下田,欠航便数,0,0,0,0,0,0,0,0,0,0,0,0,0
ジェットフォイル,大島／下田,就航率（％）,―,―,―,―,―,―,―,―,―,―,―,―,―
