町村名,事業（都道番号）,工事内容,工事費（千円）
大島町,道路整備（都208）,改良・舗装,282552
大島町,道路整備（都208）,調査委託,18355
大島町,交通安全施設整備（都208、210）,工事,117037
大島町,交通安全施設整備（都208、210）,調査委託,15135
大島町,橋梁維持（都208）,工事,14898
大島町,橋梁維持（都208）,委託,405
大島町,道路補修（都207、208）,路面補修等,335350
大島町,道路補修（都207、208）,調査委託,29283
大島町,道路災害防除（都207、208）,工事,0
大島町,道路災害防除（都207、208、209、210）,調査委託,17307
大島町,道路維持（都207、208、209、210）,工事,19880
大島町,道路維持（都207、208、209、210）,委託,92109
大島町,計,,942311
利島村,橋梁維持（都228）,工事,0
利島村,道路補修（都228）,路面補修等,35102
利島村,道路補修（都228）,委託,0
利島村,道路災害防除（都228）,調査委託,193
利島村,道路維持（都228）,工事,1908
利島村,道路維持（都228）,委託,12006
利島村,計,,49209
新島村,交通安全施設整備（都211）,工事,11005
新島村,交通安全施設整備（都211）,調査委託,5886
新島村,道路補修（都211）,路面補修等,44388
新島村,道路補修（都211）,委託,12104
新島村,道路災害防除（都211）,調査委託,8243
新島村,道路維持（都211、237）,工事,6808
新島村,道路維持（都211、237）,委託,26645
新島村,計,,115079
神津島村,道路整備（都224）,工事,35827
神津島村,道路整備（都224）,調査委託,0
神津島村,交通安全施設整備（都224）,歩道設置等,64800
神津島村,交通安全施設整備（都224）,調査委託,620
神津島村,橋梁維持（都224）,工事,0
神津島村,道路補修（都224）,路面補修等,15356
神津島村,道路補修（都224）,委託,5658
神津島村,道路災害防除（都224）,工事,44731
神津島村,道路災害防除（都224）,調査委託,7800
神津島村,道路維持（都224）,工事,10781
神津島村,道路維持（都224）,委託,27973
神津島村,計,,213546
計,,,1320145
新島村,計,,1-,-,-,-,6,29,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,2,19,1,13,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,-,-,1,2,-,-,1,3,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,1,4,-,-,-,-,-,-,-,-
