種別,名称,所在地,指定年月日
有形文化財／絵画,板絵着色婦女群犬図,新島村本村十三社神社境内阿夫利神社,1958/10/7
有形文化財／絵画,英一蝶新島伝世資料（8幅）,新島村博物館,1958-10-07(指定)2014-03-25(追加指定)
有形文化財／彫刻,木造観世音菩薩立像,大島町郷土資料館,1958/10/7
有形文化財／彫刻,木造地造菩薩立像,大島町郷土資料館,1958/10/7
有形文化財／彫刻,木造兜跋毘沙門天立像,大島町郷土資料館,1958/10/7
有形文化財／彫刻,木造四天王立像（4躯）,大島町郷土資料館,1958/10/7
有形文化財／工芸品,小袖桔梗文金刺繍文字入総模様,大島町役場収蔵庫,1958/10/7
有形文化財／工芸品,小袖松竹梅鶴亀繍文総模様,大島町役場収蔵庫,1958/10/7
有形文化財／工芸品考古資料,銅鏡(菊花散双文),大島町野増大宮神社,1958/10/7
有形文化財／工芸品考古資料,銅鏡(花輪違鳥蝶文),大島町郷土資料館,1958/10/7
有形文化財／工芸品考古資料,銅鏡(松喰鶴鏡外2面),大島町郷土資料館,1958/10/7
有形文化財／工芸品考古資料,銅鏡(松喰鶴鏡外27面),利島村　堂山神社,1958-10-07(指定)1992-03-30(追加指定)
有形文化財／工芸品考古資料,銅鏡(松枝散双鳥鏡外8面),新島村本村十三社神社,1958/10/7
有形文化財／工芸品考古資料,銅鏡（松竹双鶴鏡外1面）,新島村本村十三社神社,1958/10/7
有形文化財／工芸品考古資料,銅鏡（山吹双鳥鏡外1面）,新島村式根島,1958/10/7
有形文化財／考古資料,渡浮根遺跡出土品（1括）,新島村博物館,1983/5/6
有形文化財／考古資料,式根島吹之江遺跡Ｃ地点出土品（1括）,新島村役場式根島支所新島村博物館,1988/2/22
有形文化財／古文書,天文21年修薬師供養法木札,大島町郷土資料館,1958/10/7
有形文化財／古文書,長栄寺歴祖次第（2巻）,新島村本村長栄寺,1958/10/7
有形文化財／古文書,新島島役所資料（925冊11通3括）,新島村博物館,1958/10/7
有形文化財／古文書,新島島役所資料（646冊394通9枚）,新島村本村,1958/10/7
有形文化財／古文書,新島十三社神社資料（134冊）,新島村本村十三社神社,1958/10/7
無形民俗文化財,吉谷神社の正月祭,大島町元町吉谷神社,1958/10/7
無形民俗文化財,岡田八幡神社の正月祭,大島町岡田八幡神社,1958/10/7
無形民俗文化財,利島八幡神社の流鏑馬,利島村阿豆佐和気命神社,1958/10/7
無形民俗文化財,新島の神楽,新島村本村十三社神社,1958/10/7
無形民俗文化財,獅子木遣,新島村本村十三社神社,1958/10/7
有形民俗文化財民俗資料,新島の島嶼生活用具211点,新島村博物館,1977/4/5
史跡,武田信道及び家臣供養塔並びに屋敷跡,大島町野増（供養塔）／大島町野増（屋敷跡）,1956/3/3
史跡,鉄砲場の岩陰遺跡,大島町泉津,1939/12/2
史跡,ケッケイ山遺跡,利島村,1958/10/7
史跡,原町の井戸,新島村本村,1958/10/7
史跡,上木甚兵衛墓及び三島勘左衛門石像,新島村本村共同墓地内,1958/10/7
史跡,大島下高洞遺跡,大島町元町,1986/3/10
史跡,利島阿豆佐和気命本宮境域,利島村,1987/2/24
史跡,利島大山小山神社境域,利島村,1987/2/24
史跡,利島下上神社境域,利島村,1987/2/24
史跡,吹之江遺跡,新島村式根島,1987/2/24
史跡,利島大石山遺跡,利島村,1988/2/22
史跡,大島竜の口遺跡,大島町野増,1958/3/1
史跡,神津島阿波命神社境域,神津島村,1958/10/7
旧跡,役行者窟,大島町泉津,1928/3/1
旧跡,秋広平六墓,大島町波浮港,1928/3/1
旧跡,天宥法印墓,新島村,1939/12/2
天然記念物,野増大宮のシイ樹叢,大島町野増大宮神社内,1939/12/2
天然記念物,差木地の大クス,大島町差木地,1939/12/2
天然記念物,春日神社のイヌマキ群叢,大島町差木地春日神社,1958/10/7
天然記念物,潮吹の鼻,大島町泉津,1939/12/2
天然記念物,おたいね浦の岩脈と筆島,大島町波浮港,1940/2/1
天然記念物,東要寺のイヌマキ,新島村式根島東要寺,1958/10/7
天然記念物,東要寺のナギ自生地,新島村式根島東要寺,1958/10/7
,-,2,-,2,3,1,2,4,3,1,-,-,-
4,13112,荳也伐隹ｷ蛹ｺ,781,387,394,45,31,14,30,17,13,57,27,30,48,25,23,40,24,16,38,21,17,30,19,11,44,19,25,55,20,35,68,31,37,64,40,24,67,33,34,40,19,21,56,25,31,33,13,20,66,23,43
4,13113,貂玖ｰｷ蛹ｺ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13114,荳ｭ驥主玄,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ,�ｸ
4,13115,譚我ｸｦ蛹ｺ,227,117,110,18,11,7,13,6,7,9,5,4,7,4,3,7,5,2,6,3,3,16,11,5,15,5,10,18,9,9,13,6,7,21,10,11,14,9,5,16,4,12,26,15,11,14,8,6,14,6,8
4,13116,雎雁ｳｶ蛹ｺ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13117,蛹怜玄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13118,闕貞ｷ晏玄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13119,譚ｿ讖句玄,107,55,52,5,2,3,2,-,2,8,4,4,7,3,4,3,2,1,7,4,3,6,5,1,3,3,-,8,3,5,6,3,3,10,4,6,11,7,4,5,3,2,8,2,6,5,5,-,13,5,8
4,13120,邱ｴ鬥ｬ蛹ｺ,1201,603,598,82,44,38,62,28,34,84,48,36,71,35,36,50,28,22,31,17,14,45,22,23,64,28,36,95,44,51,111,56,55,103,60,43,79,41,38,66,34,32,87,39,48,87,49,38,84,30,54
4,13121,雜ｳ遶句玄,362,180,182,37,19,18,16,7,9,16,11,5,17,6,11,12,9,3,13,7,6,27,11,16,19,7,12,27,11,16,27,17,10,30,18,12,19,8,11,26,13,13,26,12,14,28,13,15,22,11,11
4,13122,闡幃｣ｾ蛹ｺ,338,168,170,30,15,15,16,6,10,18,7,11,19,11,8,15,12,3,14,8,6,20,7,13,19,10,9,22,11,11,25,11,14,27,15,12,17,11,6,19,8,11,22,7,15,25,13,12,30,16,14
4,13123,豎滓虻蟾晏玄,493,248,245,52,31,21,28,11,17,33,16,17,17,9,8,24,15,9,21,9,12,25,13,12,39,20,19,33,17,16,32,18,14,26,9,17,26,16,10,45,16,29,39,23,16,29,12,17,24,13,11
1,13200,蟶るΚ,15638,7795,7843,1160,577,583,683,331,352,842,425,417,819,427,392,625,346,279,585,305,280,771,390,381,860,432,428,1117,555,562,1227,621,606,1318,722,596,1149,612,537,1069,518,551,1102,514,588,1087,519,568,1224,501,723
4,13201,蜈ｫ邇句ｭ仙ｸ�,1388,693,695,98,46,52,46,22,24,66,32,34,61,29,32,49,23,26,49,27,22,53,26,27,69,32,37,98,51,47,123,65,58,137,71,66,106,65,41,97,49,48,98,43,55,112,56,56,126,56,70
4,13202,遶句ｷ晏ｸ�,1155,571,584,105,52,53,55,31,24,78,42,36,63,31,32,56,32,24,58,27,31,70,31,39,68,38,30,75,44,31,74,32,42,82,46,36,82,43,39,81,38,43,72,34,38,66,28,38,70,22,48
4,13203,豁ｦ阡ｵ驥主ｸ�,251,114,137,8,2,6,10,5,5,20,7,13,18,8,10,7,3,4,13,6,7,11,6,5,10,4,6,24,11,13,20,8,12,26,18,8,15,5,10,10,7,3,20,8,12,20,7,13,19,9,10
4,13204,荳蛾ｷｹ蟶�,881,443,438,93,48,45,39,15,24,34,21,13,48,27,21,42,23,19,39,18,21,60,31,29,51,29,22,66,33,33,66,36,30,57,34,23,71,35,36,64,32,32,49,18,31,48,22,26,54,21,33
4,13205,髱呈｢�ｸ�,628,324,304,18,8,10,26,14,12,40,15,25,23,15,8,21,11,10,16,12,4,36,21,15,30,16,14,31,18,13,51,21,30,62,38,24,58,33,25,60,24,36,43,24,19,51,27,24,62,27,35
4,13206,蠎應ｸｭ蟶�,657,315,342,55,28,27,29,13,16,25,13,12,32,14,18,32,15,17,24,8,16,43,21,22,43,23,20,47,22,25,51,27,24,41,23,18,56,26,30,36,16,20,50,28,22,31,16,15,62,22,40
4,13207,譏ｭ蟲ｶ蟶�,241,121,120,21,10,11,7,2,5,15,11,4,13,7,6,17,9,8,9,3,6,10,4,6,13,10,3,12,4,8,12,4,8,28,15,13,20,12,8,16,8,8,21,10,11,14,7,7,13,5,8
4,13208,隱ｿ蟶�ｸ�,618,313,305,42,18,24,26,19,7,31,17,14,35,20,15,28,13,15,30,18,12,31,16,15,30,11,19,49,24,25,42,20,22,54,32,22,52,24,28,41,22,19,51,23,28,35,18,17,41,18,23
4,13209,逕ｺ逕ｰ蟶�,1343,674,669,97,49,48,46,24,22,63,30,33,62,36,26,52,31,21,46,20,26,56,31,25,63,30,33,83,38,45,119,61,58,116,62,54,111,59,52,91,45,46,103,49,54,115,58,57,120,51,69
4,13210,蟆城≡莠募ｸ�,358,181,177,28,15,13,20,6,14,14,7,7,18,15,3,14,7,7,14,10,4,17,6,11,25,12,13,26,15,11,27,13,14,33,18,15,24,12,12,19,10,9,24,11,13,27,15,12,28,9,19
4,13211,蟆丞ｹｳ蟶�,820,406,414,47,24,23,38,19,19,47,22,25,54,25,29,41,24,17,35,17,18,24,14,10,38,20,18,62,27,35,67,37,30,92,49,43,56,25,31,59,35,24,44,20,24,50,21,29,66,27,39
4,13212,譌･驥主ｸ�,527,261,266,31,16,15,21,11,10,27,12,15,37,21,16,13,9,4,24,10,14,19,7,12,24,11,13,39,16,23,39,21,18,41,21,20,48,31,17,36,18,18,37,17,20,46,20,26,45,20,25
4,13213,譚ｱ譚大ｱｱ蟶�,769,377,392,54,28,26,34,15,19,53,22,31,37,20,17,36,16,20,35,23,12,40,24,16,48,24,24,55,26,29,55,23,32,71,38,33,49,28,21,41,19,22,52,23,29,52,27,25,57,21,36
4,13214,蝗ｽ蛻�ｯｺ蟶�,678,344,334,61,35,26,25,13,12,37,21,16,41,22,19,31,20,11,26,13,13,34,18,16,35,18,17,53,25,28,65,35,30,61,31,30,42,21,21,37,20,17,37,16,21,45,17,28,48,19,29
4,13215,蝗ｽ遶句ｸ�,193,100,93,11,5,6,8,4,4,12,8,4,6,4,2,10,5,5,7,5,2,6,4,2,10,5,5,16,8,8,7,4,3,16,6,10,18,11,7,17,10,7,16,6,10,16,10,6,17,5,12
4,13218,遖冗函蟶�,48,26,22,-,-,-,1,-,1,1,1,-,2,1,1,1,1,-,1,1,-,1,-,1,2,-,2,6,3,3,5,4,1,6,2,4,5,3,2,3,3,-,1,-,1,7,2,5,6,5,1
4,13219,迢帶ｱ溷ｸ�,263,126,137,26,10,16,8,7,1,9,4,5,15,7,8,14,9,5,15,8,7,14,6,8,7,5,2,17,10,7,21,12,9,21,9,12,23,14,9,16,7,9,14,5,9,17,8,9,26,5,21
4,13220,譚ｱ螟ｧ蜥悟ｸ�,334,170,164,19,13,6,19,11,8,30,13,17,20,12,8,7,6,1,11,6,5,15,9,6,24,11,13,26,11,15,27,15,12,24,13,11,19,12,7,25,9,16,17,11,6,21,6,15,30,12,18
4,13221,貂��ｬ蟶�,756,382,374,68,39,29,38,17,21,51,28,23,47,22,25,38,20,18,32,17,15,39,19,20,40,21,19,58,27,31,69,36,33,55,31,24,46,23,23,50,23,27,33,16,17,47,22,25,45,21,24
4,13222,譚ｱ荵�蕗邀ｳ蟶�,752,372,380,37,15,22,48,24,24,45,22,23,43,25,18,40,21,19,24,14,10,29,13,16,47,20,27,61,31,30,65,34,31,76,44,32,43,26,17,46,19,27,47,23,24,50,24,26,51,17,34
4,13223,豁ｦ阡ｵ譚大ｱｱ蟶�,624,320,304,65,33,32,27,12,15,24,12,12,28,14,14,20,15,5,20,11,9,37,17,20,39,23,16,39,19,20,46,24,22,46,30,16,39,17,22,48,19,29,56,29,27,48,24,24,42,21,21
4,13224,螟壽束蟶�,84,46,38,2,1,1,2,2,-,5,2,3,4,3,1,3,1,2,4,4,-,3,2,1,4,3,1,7,2,5,5,3,2,8,4,4,8,6,2,5,2,3,7,4,3,5,2,3,12,5,7
4,13225,遞ｲ蝓主ｸ�,655,331,324,55,26,29,26,12,14,25,16,9,34,14,20,18,9,9,16,9,7,41,22,19,38,18,20,46,24,22,47,27,20,45,22,23,60,29,31,51,29,22,55,22,33,48,27,21,50,25,25
4,13227,鄒ｽ譚大ｸ�,222,111,111,19,8,11,12,6,6,14,8,6,10,5,5,5,3,2,6,2,4,12,7,5,17,8,9,12,8,4,13,6,7,13,8,5,13,8,5,11,4,7,22,7,15,20,11,9,23,12,11
4,13228,縺ゅ″繧矩㍽蟶�,697,341,356,49,23,26,30,12,18,29,15,14,33,16,17,15,8,7,11,6,5,34,17,17,48,23,25,47,26,21,39,18,21,62,30,32,49,28,21,59,25,34,78,41,37,55,27,28,59,26,33
4,13229,隘ｿ譚ｱ莠ｬ蟶�,696,333,363,51,25,26,42,15,27,47,24,23,35,14,21,15,12,3,20,10,10,36,18,18,37,17,20,62,32,30,72,35,37,45,27,18,36,16,20,50,25,25,55,26,29,41,17,24,52,20,32
1,13550,逕ｺ譚鷹Κ,1770,935,835,102,54,48,36,12,24,52,27,25,32,19,13,39,21,18,61,37,24,64,37,27,64,33,31,105,54,51,131,66,65,192,98,94,256,130,126,174,100,74,203,103,100,152,91,61,107,53,54
2,13300,隘ｿ螟壽束驛｡,699,348,351,45,22,23,31,11,20,40,20,20,16,8,8,23,12,11,25,15,10,30,18,12,40,20,20,51,24,27,56,25,31,68,34,34,73,39,34,48,28,20,56,29,27,39,19,20,58,24,34
4,13303,迹樒ｩら伴,469,234,235,23,12,11,25,10,15,35,18,17,10,6,4,15,9,6,19,12,7,16,8,8,27,14,13,40,18,22,41,21,20,47,22,25,50,28,22,25,14,11,28,15,13,29,13,16,39,14,25
4,13305,譌･縺ｮ蜃ｺ逕ｺ,202,101,101,20,9,11,5,1,4,4,2,2,6,2,4,8,3,5,6,3,3,14,10,4,9,5,4,8,4,4,13,3,10,20,11,9,19,9,10,19,11,8,26,14,12,8,5,3,17,9,8
4,13307,讙懷次譚�,16,8,8,2,1,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,1,-,1,1,1,-,4,2,2,2,2,-,2,-,2,-,-,-,1,1,-
4,13308,螂･螟壽束逕ｺ,12,5,7,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,2,1,1,1,1,-,-,-,-,-,-,-,2,1,1,-,-,-,2,1,1,1,-,1
2,13350,蟲ｶ驛ｨ,1071,587,484,57,32,25,5,1,4,12,7,5,16,11,5,16,9,7,36,22,14,34,19,15,24,13,11,54,30,24,75,41,34,124,64,60,183,91,92,126,72,54,147,74,73,113,72,41,49,29,20
3,13360,螟ｧ蟲ｶ謾ｯ蠎�,294,157,137,16,11,5,1,-,1,6,4,2,3,2,1,2,2,-,12,6,6,7,3,4,6,2,4,15,10,5,16,9,7,23,11,12,40,18,22,38,21,17,49,21,28,45,27,18,15,10,5
4,13361,螟ｧ蟲ｶ逕ｺ,144,80,64,6,5,1,1,-,1,6,4,2,-,-,-,-,-,-,3,1,2,3,2,1,4,1,3,7,6,1,6,3,3,7,4,3,16,6,10,23,12,11,29,12,17,26,18,8,7,6,1
4,13362,蛻ｩ蟲ｶ譚�,95,50,45,8,5,3,-,-,-,-,-,-,2,1,1,2,2,-,7,4,3,3,1,2,-,-,-,5,3,2,5,3,2,11,5,6,19,10,9,9,5,4,10,4,6,9,5,4,5,2,3
4,13363,譁ｰ蟲ｶ譚�,10,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,2,1,1,2,1,1,2,2,-,1,-,1,1,1,-
4,13364,逾樊ｴ･蟲ｶ譚�,45,21,24,2,1,1,-,-,-,-,-,-,1,1,-,-,-,-,2,1,1,1,-,1,2,1,1,3,1,2,3,2,1,5,2,3,3,1,2,4,3,1,8,3,5,9,4,5,2,1,1
3,13380,荳牙ｮ�髪蠎�,114,62,52,2,-,2,-,-,-,-,-,-,-,-,-,5,3,2,2,2,-,3,2,1,-,-,-,3,1,2,10,7,3,22,11,11,20,12,8,11,6,5,16,7,9,12,7,5,8,4,4
4,13381,荳牙ｮ�搗,86,48,38,2,-,2,-,-,-,-,-,-,-,-,-,4,3,1,1,1,-,2,1,1,-,-,-,3,1,2,8,6,2,16,10,6,9,6,3,6,2,4,16,7,9,11,7,4,8,4,4
4,13382,蠕｡阡ｵ蟲ｶ譚�,28,14,14,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,1,1,-,-,-,-,-,-,-,2,1,1,6,1,5,11,6,5,5,4,1,-,-,-,1,-,1,-,-,-
3,13400,蜈ｫ荳域髪蠎�,597,333,264,30,17,13,4,1,3,5,2,3,11,8,3,9,4,5,16,11,5,13,8,5,14,9,5,35,19,16,43,21,22,75,41,34,116,58,58,69,40,29,78,44,34,54,36,18,25,14,11
4,13401,蜈ｫ荳育伴,587,326,261,30,17,13,4,1,3,5,2,3,11,8,3,9,4,5,15,10,5,13,8,5,13,9,4,35,19,16,41,20,21,72,38,34,116,58,58,68,39,29,77,44,33,53,35,18,25,14,11
4,13402,髱偵こ蟲ｶ譚�,10,7,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,1,-,-,-,2,1,1,3,3,-,-,-,-,1,1,-,1,-,1,1,1,-,-,-,-
3,13420,蟆冗ｬ�蜴滓髪蠎�,66,35,31,9,4,5,-,-,-,1,1,-,2,1,1,-,-,-,6,3,3,11,6,5,4,2,2,1,-,1,6,4,2,4,1,3,7,3,4,8,5,3,4,2,2,2,2,-,1,1,-
4,13421,蟆冗ｬ�蜴滓搗,66,35,31,9,4,5,-,-,-,1,1,-,2,1,1,-,-,-,6,3,3,11,6,5,4,2,2,1,-,1,6,4,2,4,1,3,7,3,4,8,5,3,4,2,2,2,2,-,1,1,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015蟷ｴ霎ｲ譫玲･ｭ繧ｻ繝ｳ繧ｵ繧ｹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隨ｬ33陦ｨ縲�蛹ｺ蟶ら伴譚代�∝ｹｴ鮨｢髫主ｱ､縲∫塙螂ｳ蛻･荳門ｸｯ蜩｡謨ｰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
