"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","2人／実数（円）","2人／構成比（％）","3人／実数（円）","3人／構成比（％）","4人／実数（円）","4人／構成比（％）","5人以上／実数（円）","5人以上／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,4389,-,2788,-,2148,-,675,-
"0","0","0","0","0","調査世帯数",590,-,263,-,162,-,122,-,43,-
"0","0","0","0","0","世帯人員",2.93,-,2.00,-,3.00,-,4.00,-,5.22,-
"0","0","0","0","0","有業人員",1.45,-,0.89,-,1.78,-,2.00,-,1.92,-
"0","0","0","0","0","世帯主平均年齢",59.7,-,67.2,-,58.1,-,49.5,-,49.7,-
"2","2","0","0","0","生計支出",342467,-,287424,-,387887,-,370948,-,422171,-
"2","3","0","0","0","消費支出",342467,100.0,287424,100.0,387887,100.0,370948,100.0,422171,100.0
"2","4","1","0","0","食料",91487,26.7,76522,26.6,99563,25.7,101749,27.4,122792,29.1
"2","5","1","1","0","穀類",6845,2.0,5048,1.8,7775,2.0,8335,2.2,9945,2.4
"2","6","1","1","1","米類",1601,0.5,1184,0.4,1996,0.5,1774,0.5,2135,0.5
"2","6","1","1","2","パン",3054,0.9,2253,0.8,3433,0.9,3865,1.0,4120,1.0
"2","6","1","1","3","麺類",1611,0.5,1169,0.4,1784,0.5,1917,0.5,2797,0.7
"2","6","1","1","4","他の穀類",579,0.2,443,0.2,563,0.1,780,0.2,893,0.2
"2","5","1","2","0","魚介類",5940,1.7,5555,1.9,6693,1.7,5502,1.5,6731,1.6
"2","6","1","2","1","生鮮魚介",3256,1.0,2975,1.0,3707,1.0,3184,0.9,3446,0.8
"2","6","1","2","2","塩干魚介",1117,0.3,1044,0.4,1324,0.3,913,0.2,1386,0.3
"2","6","1","2","3","魚肉練製品",692,0.2,693,0.2,702,0.2,645,0.2,793,0.2
"2","6","1","2","4","他の魚介加工品",876,0.3,843,0.3,961,0.2,760,0.2,1106,0.3
"2","5","1","3","0","肉類",8770,2.6,6194,2.2,9635,2.5,10878,2.9,15249,3.6
"2","6","1","3","1","生鮮肉",7296,2.1,5112,1.8,8029,2.1,9071,2.4,12818,3.0
"2","6","1","3","2","加工肉",1475,0.4,1081,0.4,1605,0.4,1807,0.5,2431,0.6
"2","5","1","4","0","乳卵類",4482,1.3,3775,1.3,4713,1.2,5221,1.4,5770,1.4
"2","6","1","4","1","牛乳",1350,0.4,1013,0.4,1385,0.4,1846,0.5,1819,0.4
"2","6","1","4","2","乳製品",2213,0.6,1958,0.7,2422,0.6,2340,0.6,2606,0.6
"2","6","1","4","3","卵",919,0.3,804,0.3,906,0.2,1036,0.3,1344,0.3
"2","5","1","5","0","野菜・海藻",9652,2.8,8551,3.0,10631,2.7,9949,2.7,11818,2.8
"2","6","1","5","1","生鮮野菜",6709,2.0,5872,2.0,7424,1.9,6967,1.9,8377,2.0
"2","6","1","5","2","乾物・海藻",653,0.2,588,0.2,670,0.2,715,0.2,811,0.2
"2","6","1","5","3","大豆加工品",1129,0.3,1017,0.4,1193,0.3,1210,0.3,1345,0.3
"2","6","1","5","4","他の野菜・海藻加工品",1160,0.3,1074,0.4,1344,0.3,1057,0.3,1285,0.3
"2","5","1","6","0","果物",3587,1.0,3618,1.3,4139,1.1,2835,0.8,3503,0.8
"2","6","1","6","1","生鮮果物",3148,0.9,3117,1.1,3681,0.9,2509,0.7,3186,0.8
"2","6","1","6","2","果物加工品",439,0.1,501,0.2,457,0.1,327,0.1,317,0.1
"2","5","1","7","0","油脂・調味料",4016,1.2,3183,1.1,4332,1.1,4754,1.3,5780,1.4
"2","6","1","7","1","油脂",362,0.1,288,0.1,379,0.1,399,0.1,660,0.2
"2","6","1","7","2","調味料",3654,1.1,2895,1.0,3953,1.0,4356,1.2,5120,1.2
"2","5","1","8","0","菓子類",7429,2.2,5697,2.0,8186,2.1,8736,2.4,11406,2.7
"2","5","1","9","0","調理食品",13836,4.0,11218,3.9,16465,4.2,14782,4.0,16986,4.0
"2","6","1","9","1","主食的調理食品",6111,1.8,5128,1.8,7290,1.9,6253,1.7,7185,1.7
"2","6","1","9","2","他の調理食品",7725,2.3,6090,2.1,9175,2.4,8530,2.3,9801,2.3
"2","5","1","10","0","飲料",5355,1.6,4484,1.6,6126,1.6,5590,1.5,7088,1.7
"2","6","1","10","1","茶類",1141,0.3,945,0.3,1301,0.3,1141,0.3,1752,0.4
"2","6","1","10","2","コーヒー・ココア",1347,0.4,1204,0.4,1299,0.3,1614,0.4,1627,0.4
"2","6","1","10","3","他の飲料",2867,0.8,2334,0.8,3527,0.9,2835,0.8,3709,0.9
"2","5","1","11","0","酒類",3625,1.1,3833,1.3,3910,1.0,2855,0.8,3546,0.8
"2","5","1","12","0","外食",17949,5.2,15365,5.3,16958,4.4,22309,6.0,24969,5.9
"2","6","1","12","1","一般外食",16967,5.0,15350,5.3,16598,4.3,19619,5.3,20575,4.9
"2","6","1","12","2","学校給食",982,0.3,16,0.0,360,0.1,2690,0.7,4395,1.0
"2","4","2","0","0","住居",29029,8.5,24266,8.4,45102,11.6,20090,5.4,22050,5.2
"2","5","2","1","0","家賃地代",17486,5.1,17347,6.0,21383,5.5,16255,4.4,6217,1.5
"2","5","2","2","0","設備修繕・維持",11542,3.4,6919,2.4,23719,6.1,3835,1.0,15833,3.8
"2","6","2","2","1","設備材料",2423,0.7,2608,0.9,798,0.2,144,0.0,15187,3.6
"2","6","2","2","2","工事その他のサービス",9119,2.7,4311,1.5,22921,5.9,3691,1.0,646,0.2
"2","4","3","0","0","光熱・水道",31180,9.1,27732,9.6,32729,8.4,34093,9.2,37929,9.0
"2","5","3","1","0","電気代",13983,4.1,12352,4.3,14072,3.6,16044,4.3,17665,4.2
"2","5","3","2","0","ガス代",10882,3.2,10006,3.5,11472,3.0,12155,3.3,10095,2.4
"2","5","3","3","0","他の光熱",1055,0.3,1350,0.5,1212,0.3,308,0.1,872,0.2
"2","5","3","4","0","上下水道料",5259,1.5,4024,1.4,5973,1.5,5585,1.5,9297,2.2
"2","4","4","0","0","家具・家事用品",10873,3.2,8294,2.9,11290,2.9,13646,3.7,17097,4.0
"2","5","4","1","0","家庭用耐久財",3071,0.9,2136,0.7,2719,0.7,4443,1.2,6233,1.5
"2","6","4","1","1","家事用耐久財",1671,0.5,719,0.3,1335,0.3,2799,0.8,5669,1.3
"2","6","4","1","2","冷暖房用器具",1029,0.3,784,0.3,1207,0.3,1446,0.4,564,0.1
"2","6","4","1","3","一般家具",370,0.1,633,0.2,176,0.0,199,0.1,-,-
"2","5","4","2","0","室内装備・装飾品",367,0.1,313,0.1,383,0.1,353,0.1,693,0.2
"2","5","4","3","0","寝具類",818,0.2,537,0.2,1041,0.3,989,0.3,1180,0.3
"2","5","4","4","0","家事雑貨",2777,0.8,1874,0.7,3158,0.8,3846,1.0,3678,0.9
"2","5","4","5","0","家事用消耗品",3136,0.9,2499,0.9,3564,0.9,3540,1.0,4222,1.0
"2","5","4","6","0","家事サービス",704,0.2,934,0.3,425,0.1,475,0.1,1091,0.3
"2","4","5","0","0","被服及び履物",13045,3.8,10345,3.6,15646,4.0,13854,3.7,17283,4.1
"2","5","5","1","0","和服",95,0.0,121,0.0,152,0.0,-,-,-,-
"2","5","5","2","0","洋服",6807,2.0,4999,1.7,8758,2.3,6811,1.8,10491,2.5
"2","6","5","2","1","男子用洋服",3094,0.9,2606,0.9,4450,1.1,2058,0.6,3961,0.9
"2","6","5","2","2","婦人用洋服",3324,1.0,2386,0.8,4115,1.1,3634,1.0,5176,1.2
"2","6","5","2","3","子供用洋服",389,0.1,7,0.0,193,0.0,1120,0.3,1354,0.3
"2","5","5","3","0","シャツ・セーター類",1903,0.6,1363,0.5,1819,0.5,2911,0.8,2551,0.6
"2","6","5","3","1","男子用シャツ・セーター類",817,0.2,667,0.2,835,0.2,1068,0.3,922,0.2
"2","6","5","3","2","婦人用シャツ・セーター類",992,0.3,696,0.2,927,0.2,1708,0.5,906,0.2
"2","6","5","3","3","子供用シャツ・セーター類",94,0.0,-,-,57,0.0,135,0.0,723,0.2
"2","5","5","4","0","下着類",920,0.3,854,0.3,1158,0.3,710,0.2,1040,0.2
"2","6","5","4","1","男子用下着類",352,0.1,384,0.1,424,0.1,225,0.1,256,0.1
"2","6","5","4","2","婦人用下着類",501,0.1,469,0.2,691,0.2,345,0.1,423,0.1
"2","6","5","4","3","子供用下着類",67,0.0,-,-,43,0.0,140,0.0,361,0.1
"2","5","5","5","0","生地・糸類",122,0.0,151,0.1,89,0.0,109,0.0,104,0.0
"2","5","5","6","0","他の被服",1165,0.3,1156,0.4,1003,0.3,1420,0.4,1083,0.3
"2","5","5","7","0","履物類",1623,0.5,1174,0.4,2486,0.6,1406,0.4,1669,0.4
"2","5","5","8","0","被服関連サービス",410,0.1,529,0.2,181,0.0,486,0.1,345,0.1
"2","4","6","0","0","保健医療",15540,4.5,15760,5.5,14737,3.8,15765,4.2,16714,4.0
"2","5","6","1","0","医薬品",2837,0.8,2881,1.0,3565,0.9,1990,0.5,2240,0.5
"2","5","6","2","0","健康保持用摂取品",1320,0.4,1445,0.5,1815,0.5,758,0.2,247,0.1
"2","5","6","3","0","保健医療用品・器具",3076,0.9,2226,0.8,3489,0.9,3909,1.1,4249,1.0
"2","5","6","4","0","保健医療サービス",8307,2.4,9208,3.2,5868,1.5,9107,2.5,9977,2.4
"2","4","7","0","0","交通・通信",32163,9.4,27524,9.6,40942,10.6,27258,7.3,41675,9.9
"2","5","7","1","0","交通",8018,2.3,7486,2.6,7487,1.9,8064,2.2,13520,3.2
"2","5","7","2","0","自動車等関係費",11617,3.4,9716,3.4,18526,4.8,5512,1.5,14861,3.5
"2","6","7","2","1","自動車等購入",2258,0.7,-,-,8097,2.1,-,-,-,-
"2","6","7","2","2","自転車購入",520,0.2,78,0.0,736,0.2,666,0.2,2040,0.5
"2","6","7","2","3","自動車等維持",8839,2.6,9638,3.4,9693,2.5,4846,1.3,12822,3.0
"2","5","7","3","0","通信",12529,3.7,10322,3.6,14929,3.8,13682,3.7,13294,3.1
"2","4","8","0","0","教育",16465,4.8,495,0.2,19517,5.0,38661,10.4,37086,8.8
"2","5","8","1","0","授業料等",10581,3.1,-,-,17517,4.5,21990,5.9,14425,3.4
"2","5","8","2","0","教科書・学習参考教材",160,0.0,-,-,114,0.0,464,0.1,422,0.1
"2","5","8","3","0","補習教育",5725,1.7,495,0.2,1886,0.5,16207,4.4,22239,5.3
"2","4","9","0","0","教養娯楽",42296,12.4,41800,14.5,40821,10.5,46280,12.5,38929,9.2
"2","5","9","1","0","教養娯楽用耐久財",3999,1.2,2656,0.9,5470,1.4,5976,1.6,361,0.1
"2","5","9","2","0","教養娯楽用品",7624,2.2,5920,2.1,7010,1.8,11443,3.1,9083,2.2
"2","5","9","3","0","書籍・他の印刷物",3733,1.1,4163,1.4,3477,0.9,3289,0.9,3404,0.8
"2","5","9","4","0","教養娯楽サービス",26940,7.9,29061,10.1,24863,6.4,25573,6.9,26081,6.2
"2","6","9","4","1","宿泊料",3937,1.1,3476,1.2,3983,1.0,5249,1.4,2567,0.6
"2","6","9","4","2","パック旅行費",6790,2.0,12705,4.4,2381,0.6,2559,0.7,-,-
"2","6","9","4","3","月謝類",3844,1.1,1407,0.5,3556,0.9,6699,1.8,11801,2.8
"2","6","9","4","4","他の教養娯楽サービス",12369,3.6,11473,4.0,14942,3.9,11066,3.0,11713,2.8
"2","4","10","0","0","その他の消費支出",60390,17.6,54686,19.0,67540,17.4,59553,16.1,70615,16.7
"2","5","10","1","0","諸雑費",25760,7.5,20899,7.3,33036,8.5,24737,6.7,30566,7.2
"2","6","10","1","1","理美容サービス",3384,1.0,3580,1.2,3159,0.8,3707,1.0,2011,0.5
"2","6","10","1","2","理美容用品",4988,1.5,3881,1.4,5837,1.5,6419,1.7,4128,1.0
"2","6","10","1","3","身の回り用品",2262,0.7,1895,0.7,2472,0.6,2720,0.7,2320,0.5
"2","6","10","1","4","たばこ",912,0.3,938,0.3,914,0.2,745,0.2,1270,0.3
"2","6","10","1","5","他の諸雑費",14213,4.2,10604,3.7,20655,5.3,11146,3.0,20838,4.9
"2","5","10","2","0","こづかい",6449,1.9,3261,1.1,7912,2.0,7158,1.9,18879,4.5
"2","5","10","3","0","交際費",23576,6.9,25721,8.9,25982,6.7,17888,4.8,17791,4.2
"2","6","10","3","1","食料",4717,1.4,6032,2.1,4081,1.1,3539,1.0,2541,0.6
"2","6","10","3","2","家具・家事用品",230,0.1,119,0.0,487,0.1,158,0.0,119,0.0
"2","6","10","3","3","被服及び履物",279,0.1,291,0.1,238,0.1,352,0.1,142,0.0
"2","6","10","3","4","教養娯楽",1413,0.4,757,0.3,3038,0.8,938,0.3,471,0.1
"2","6","10","3","5","他の物品サービス",450,0.1,244,0.1,1105,0.3,157,0.0,22,0.0
"2","6","10","3","6","贈与金",11924,3.5,14071,4.9,10027,2.6,10047,2.7,11778,2.8
"2","6","10","3","7","他の交際費",4562,1.3,4207,1.5,7006,1.8,2697,0.7,2717,0.6
"2","5","10","4","0","仕送り金",4605,1.3,4805,1.7,609,0.2,9769,2.6,3380,0.8
"2","3","0","0","0","土地家屋購入",-,-,-,-,-,-,-,-,-,-
"2","3","0","0","0","（再掲）教育関係費",18556,5.4,803,0.3,20994,5.4,43391,11.7,44906,10.6
"2","3","0","0","0","（再掲）教養娯楽関係費",47860,14.0,46862,16.3,48003,12.4,51830,14.0,41120,9.7
"2","3","0","0","0","（再掲）移転支出（贈与金＋仕送り金）",16530,4.8,18876,6.6,10637,2.7,19816,5.3,15158,3.6
"2","3","0","0","0","（再掲）経常消費支出",242131,70.7,210137,73.1,267986,69.1,259336,69.9,288637,68.4
"2","3","0","0","0","（再掲）情報通信関係費",16371,4.8,14596,5.1,18698,4.8,17169,4.6,15759,3.7
"2","3","0","0","0","（再掲）消費支出（除く住居等）1）",294651,86.0,244283,85.0,324051,83.5,331043,89.2,384963,91.2
"","","","","","","","","","","","","","","",""
"東京都生計分析調査　令和 5年 1月","","","","","","","","","","","","","","",""
"第５表　世帯人員別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　","","","","","","","","","","","","","","",""
"注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。","","","","","","","","","","","","","","",""
"項目（0：世帯数等　2：生計支出）","","","","","","","","","","","","","","",""
