年度,総数(世帯),世帯主が働いている世帯_常用労働者(世帯),世帯主が働いている世帯_日雇労働者(世帯),世帯主が働いている世帯_内職者(世帯),世帯主が働いている世帯_その他(世帯),世帯主が働いておらず世帯員が働いている世帯(世帯),働いているものがいない世帯(世帯)
1964,7944,403,706,128,390,546,5771
1965,7915,411,633,108,422,583,5758
1966,8321,420,552,84,469,648,6148
1967,8968,493,569,85,347,787,6687
1968,10357,489,591,90,333,836,8018
1969,10983,534,610,208,401,814,8416
1970,11274,567,434,219,417,779,8858
1971,11632,733,426,164,210,811,9288
1972,11749,743,482,117,224,696,9487
1973,11359,657,389,116,193,567,9437
1974,11453,828,252,119,120,504,9630
1975,12544,782,254,85,142,584,10697
1976,13058,1033,240,96,136,603,10950
1977,13390,1194,210,129,105,502,11250
1978,14070,1258,298,128,116,576,11694
1979,14753,1323,263,142,118,677,12230
1980,14894,1311,241,126,118,637,12461
1981,15377,1344,238,176,160,722,12737
1982,15899,1423,524,194,410,686,12662
1983,16599,1489,750,182,495,673,13010
1984,17418,1559,817,190,517,785,13550
1985,17884,1792,820,262,521,775,13714
1986,17777,1668,785,238,441,580,14065
1987,17281,1599,726,242,324,609,13781
1988,16579,1505,710,189,245,571,13359
1989,16393,1404,685,229,199,613,13263
1990,15893,1230,615,258,187,556,13047
1991,15161,1183,622,197,137,462,12560
1992,14317,1139,584,198,148,423,11825
1993,13854,953,606,253,188,389,11465
1994,14346,860,611,346,261,339,11929
1995,15067,666,523,406,343,410,12719
1996,15618,777,426,342,351,403,13319
1997,16114,898,422,297,281,422,13794
1998,17250,903,502,375,255,440,14775
1999,17870,833,389,304,256,498,15590
2000,19379,816,295,208,598,424,17038
2001,21114,929,166,63,1035,472,18449
2002,22630,966,217,60,1178,596,19613
2003,24483,1012,298,58,1376,652,21087
2004,26361,1167,343,65,1494,763,22529
2005,27546,1206,365,70,1634,748,23523
2006,28368,1182,401,74,1849,798,24064
2007,29122,1152,436,78,1965,900,24591
2008,30049,1222,530,75,2022,901,25299
2009,33073,1458,656,75,2206,954,27724
2010,36466,1795,691,89,2595,1187,30109
2011,39566,3047,450,165,2590,1237,32077
2012,41552,4048,376,193,2025,1291,33619
2013,43323,5156,506,93,1736,1321,34511
2014,45290,5614,545,52,1676,1420,35983
2015,47317,5866,551,37,1803,1421,37639
2016,47769,6146,447,65,1637,1326,38148
2017,47689,5911,437,800,824,1245,38472
2018,47874,6250,333,1070,447,1340,38434
2019,48100,6419,280,1117,332,1282,38670
2020,48704,5749,179,1186,281,1111,40198
2021,48250,5616,196,1365,229,1113,39731
2022,48353,5840,217,1311,178,1024,39783
2023,47797,5597,214,1332,119,1009,39526
讖�,S譎らせ,陲ｫ菫晞匱閠�焚,隨ｬ1蜿ｷ陲ｫ菫晞匱閠�,隨ｬ2蜿ｷ陲ｫ菫晞匱閠�(隱榊ｮ夊��)
2002/3/31,33999,33786,213
2003/3/31,35424,35206,218
2004/3/31,36586,36337,249
2005/3/31,37956,37728,228
2006/3/31,39594,39359,235
2007/3/31,41106,40883,223
2008/3/31,42604,42361,243
2009/3/31,44332,44084,248
2010/3/31,45597,45339,258
2011/3/31,46327,46064,263
2012/3/31,47624,47353,271
2013/3/31,49589,49329,260
2014/3/31,51416,51147,269
2015/3/31,53197,52938,259
2016/3/31,54542,54264,278
2017/3/31,55598,55317,281
2018/3/31,56402,56125,277
2019/3/31,57030,56765,265
2020/3/31,57698,57445,253
2021/3/31,58188,57922,266
2022/3/31,58474,58204,270
2023/3/31,58784,58516,268
2024/3/31,59232,58958,274
時点,保育所_総数,保育所_市立,保育所_私立,入所児童数_総数,入所児童数_市立,入所児童数市内_私立,入所児童数_管外委託,入所児童数_都立
1955/12/31,5,0,5,108,0,108,0,…
1956/12/31,8,0,8,160,0,160,0,…
1957/12/31,8,0,8,144,0,144,0,…
1958/12/31,8,0,8,203,0,203,0,…
1959/12/31,11,0,11,276,0,276,0,…
1960/12/31,11,0,11,346,0,306,40,…
1961/12/31,11,0,11,347,0,302,45,…
1962/12/31,12,1,11,356,46,267,43,…
1963/12/31,11,1,10,314,49,245,20,…
1964/12/31,11,2,9,470,133,311,26,…
1965/12/31,9,2,7,539,141,367,31,…
1966/12/31,11,3,8,733,193,498,42,…
1967/12/31,12,4,8,884,259,577,48,…
1968/12/31,13,5,8,1107,385,666,56,…
1969/12/31,13,5,8,1129,409,644,76,…
1970/12/31,15,7,8,1337,576,684,77,…
1972/3/31,16,8,8,1390,646,678,66,…
1973/3/31,17,9,8,1509,730,709,70,…
1974/3/31,20,12,8,1724,943,722,59,…
1975/3/31,20,12,8,1826,1009,759,58,…
1976/3/31,21,13,8,1932,1126,756,50,…
1977/3/31,23,15,8,2174,1331,801,42,…
1978/3/31,23,15,8,2256,1362,841,53,…
1979/3/31,23,15,8,2264,1356,839,69,0
1980/3/31,23,15,8,2262,1385,852,25,0
1981/3/31,24,15,9,2398,1361,985,52,0
1982/3/31,23,15,8,2368,1345,962,61,0
1983/3/31,23,15,8,2396,1367,956,72,1
1984/3/31,23,15,8,2415,1369,961,84,1
1985/3/31,26,15,11,2447,1360,1023,62,2
1986/3/31,26,15,11,2466,1377,1042,45,2
1987/3/1,26,15,11,2481,1376,1043,55,7
1988/3/1,26,15,11,2488,1379,1038,71,0
1989/3/1,26,15,11,2477,1371,1026,80,0
1990/3/1,26,15,11,2475,1362,1023,90,0
1991/3/1,26,15,11,2498,1369,1015,114,0
1992/3/1,26,15,11,2457,1345,999,113,0
1993/3/1,26,15,11,2464,1345,1001,118,0
1994/3/1,26,15,11,2510,1365,1032,113,0
1995/3/1,26,15,11,2539,1380,1040,119,0
1996/3/1,26,15,11,2553,1357,1073,123,0
1997/3/1,26,15,11,2635,1393,1122,120,0
1998/3/1,26,15,11,2655,1400,1151,104,0
1999/3/1,26,15,11,2734,1398,1216,120,0
2000/3/1,27,15,12,2844,1415,1319,110,0
2001/3/1,29,15,14,3018,1434,1458,126,0
2002/3/1,30,15,15,3099,1434,1557,108,0
2003/3/1,30,15,15,3137,1453,1592,92,0
2004/3/1,30,15,15,3241,1558,1587,96,0
2005/3/1,30,15,15,3240,1563,1584,93,0
2006/3/1,31,15,16,3356,1578,1664,114,0
2007/3/1,32,16,16,3542,1692,1737,113,0
2008/3/1,32,16,16,3622,1750,1765,107,0
2009/3/1,32,16,16,3653,1742,1823,88,0
2010/3/1,35,16,19,3826,1771,1977,78,0
2011/3/1,37,16,21,3970,1762,2105,103,0
2012/3/1,38,16,22,4069,1739,2258,72,0
2013/3/1,41,16,25,4310,1745,2496,69,0
2014/3/1,41,16,25,4429,1783,2575,71,0
2015/3/1,42,16,26,4585,1794,2714,77,0
2016/3/1,42,16,26,4649,1794,2778,77,0
2017/3/1,45,15,30,4788,1613,3114,61,0
2018/3/1,47,15,32,4913,1578,3275,60,0
2019/3/1,50,14,36,5099,1475,3555,69,0
2020/3/1,53,14,39,5239,1374,3813,52,0
2021/3/1,56,13,43,5429,1293,4084,52,0
2022/3/1,58,13,45,5498,1222,4210,66,0
2023/3/1,57,12,45,5518,1177,4267,74,0
2024/3/1,56,11,45,5533,1129,4328,76,0
1,驥手除,縺阪ｅ縺�ｊ,逶ｸ蟇ｾ,,蝓ｼ邇�,5,1512,1296,1080
髱呈棡,譚ｿ讖�,Sei_K5,2021-06-11,驥手除,縺阪ｅ縺�ｊ,逶ｸ蟇ｾ,,蜷�慍,5,2160,1620,1404
髱呈棡,譚ｿ讖�,Sei_K5,2021-06-11,驥手除,縺九⊂縺｡繧�,逶ｸ蟇ｾ,,繝｡繧ｭ繧ｷ繧ｳ,10,2700,,1620
髱呈棡,譚ｿ讖�,Sei_K5,2021-06-11,驥手除,縺九⊂縺｡繧�,逶ｸ蟇ｾ,,鮖ｿ蜈仙ｳｶ,10,,,
髱呈棡,譚ｿ讖�,Sei_K5,2021-06-11,驥手除,縺九⊂縺｡繧�,逶ｸ蟇ｾ,,蜷�慍,10,,,
髱呈棡,譚ｿ讖�,Sei_K5,2021-06-11,驥手除,縺ｪ縺�,縺帙ｊ繝ｻ蜈･譛ｭ,,鬮倡衍,5,,,
髱呈棡,譚ｿ讖�,Sei_K5,2021-06-11,驥手除,縺ｪ縺�,縺帙ｊ繝ｻ蜈･譛ｭ,,鄒､鬥ｬ,5,,,
髱呈棡,譚ｿ讖�,Sei_K5,2021-06-11,驥手除,縺ｪ縺�,縺帙ｊ繝ｻ蜈･譛ｭ,,蜷�慍,4,3024,3024,
髱呈棡,譚ｿ讖�,Sei_K5,2021-06-11,驥手除,縺ｪ縺�,逶ｸ蟇ｾ,,鬮倡衍,5,,,
髱呈棡,譚ｿ讖�,Sei_K5,2021-06-11,驥手除,縺ｪ縺�,逶ｸ蟇ｾ,,鄒､鬥ｬ,5,,,
髱呈棡,譚ｿ讖�,Sei_K5,2021-06-11,驥手除,縺ｪ縺�,逶ｸ蟇ｾ,,蜷�慍,4,2592,2376,2160
髱呈棡,譚ｿ讖�,Sei_K5,2021-06-11,驥手除,繝医�繝�,縺帙ｊ繝ｻ蜈･譛ｭ,,譬�惠,4,,,
髱呈棡,譚ｿ讖�,Sei_K5,2021-06-11,驥手除,繝医�繝�,縺帙ｊ繝ｻ蜈･譛ｭ,,辭頑悽,4,,,
