"種別","名称","郵便番号","所在地","緯度","経度","座標系","電話番号"
"老人福祉センターB","沼袋高齢者会館","165-0025","中野区沼袋1-34-14","35.719723","139.665283","JGD2011","03-3387-7381"
"老人福祉センターB","東山高齢者会館","165-0027","中野区野方4-41-7","35.721554","139.656631","JGD2011","03-3228-5280"
"老人福祉センターB","若宮高齢者会館","165-0034","中野区大和町4-51-11","35.715973","139.643097","JGD2011","03-3338-2222"
"老人福祉センターB","若宮いこいの家","165-0033","中野区若宮1-49-1(2F)","35.719952","139.648026","JGD2011","03-3310-9819"
"老人福祉センターB","本一高齢者会館","164-0012","中野区本町1-7-6","35.693695","139.682587","JGD2011","03-3373-2958"
"老人福祉センターB","宮園高齢者会館","164-0011","中野区中央2-18-21","35.700222","139.682983","JGD2011","03-3365-0318"
"老人福祉センターB","みずの塔ふれあいの家","165-0022","中野区江古田1-9-24","35.725372","139.673691","JGD2011","03-3954-6755"
"老人福祉センターB","鷺六高齢者会館","165-0032","中野区鷺宮6-25-8","35.725708","139.630142","JGD2011","03-3926-3656"
"老人福祉センターB","東中野いこいの家","164-0003","中野区東中野4-9-22-201","35.709820","139.686142","JGD2011","03-3364-5938"
"老人福祉センターB","野方高齢者会館","165-0027","中野区野方2-29-12","35.714527","139.656555","JGD2011","03-3388-9586"
"老人福祉センターB","昭和高齢者会館","164-0003","中野区東中野3-19-18","35.708427","139.680740","JGD2011","03-3367-0813"
"老人福祉センターB","白鷺高齢者会館","165-0035","中野区白鷺2-8-5","35.718769","139.635757","JGD2011","03-3223-8938"
"老人福祉センターB","城山ふれあいの家","164-0001","中野区中野1-20-4","35.703766","139.677017","JGD2011","03-3363-0388"
"老人福祉センターB","しんやまの家","164-0014","中野区南台4-25-1","35.680775","139.667679","JGD2011","03-3229-8175"
"老人福祉センターB","南部高齢者会館","164-0014","中野区南台5-27-24","35.683270","139.660995","JGD2011","03-3381-4261"
"老人福祉センターB","上高田高齢者会館","164-0002","中野区上高田2-8-11","35.710838","139.672607","JGD2011","03-3385-3307"
"老人福祉センターB","上高田東高齢者会館","164-0002","中野区上高田4-17-3","35.712845","139.677887","JGD2011","03-3228-7220"
