区分,ｎ(団体数),９警察署／連携している(%),９警察署／連携していない(%),ｎ(団体数),１０消防署／連携している(%),１０消防署／連携していない(%),ｎ(団体数),１１その他／連携している(%),１１その他／連携していない(%)
全体,893,93.3,6.7,726,72.9,27.1,169,34.3,65.7
区市町村／千代田区,12,100,0,9,55.6,44.4,4,25,75
区市町村／中央区,6,83.3,16.7,6,50,50,1,0,100
区市町村／港区,13,100,0,7,100,0,5,100,0
区市町村／新宿区,17,100,0,11,100,0,3,33.3,66.7
区市町村／文京区,24,87.5,12.5,21,52.4,47.6,8,25,75
区市町村／台東区,14,100,0,8,62.5,37.5,2,50,50
区市町村／墨田区,33,97,3,26,84.6,15.4,4,25,75
区市町村／江東区,44,88.6,11.4,40,82.5,17.5,6,33.3,66.7
区市町村／品川区,23,100,0,22,86.4,13.6,2,100,0
区市町村／目黒区,5,100,0,5,100,0,2,50,50
区市町村／大田区,47,85.1,14.9,37,64.9,35.1,9,33.3,66.7
区市町村／世田谷区,41,95.1,4.9,33,69.7,30.3,9,55.6,44.4
区市町村／渋谷区,21,100,0,17,76.5,23.5,6,50,50
区市町村／中野区,29,96.6,3.4,26,84.6,15.4,4,0,100
区市町村／杉並区,63,96.8,3.2,50,64,36,17,17.6,82.4
区市町村／豊島区,9,88.9,11.1,7,28.6,71.4,2,50,50
区市町村／北区,10,100,0,7,85.7,14.3,0,0,0
区市町村／荒川区,21,100,0,14,85.7,14.3,3,33.3,66.7
区市町村／板橋区,38,100,0,32,84.4,15.6,6,33.3,66.7
区市町村／練馬区,18,94.4,5.6,15,73.3,26.7,4,25,75
区市町村／足立区,56,98.2,1.8,49,87.8,12.2,9,33.3,66.7
区市町村／葛飾区,13,100,0,12,100,0,1,100,0
区市町村／江戸川区,15,86.7,13.3,11,72.7,27.3,4,50,50
区市町村／八王子市,40,92.5,7.5,28,71.4,28.6,7,28.6,71.4
区市町村／立川市,12,83.3,16.7,10,70,30,2,0,100
区市町村／武蔵野市,12,100,0,9,66.7,33.3,2,50,50
区市町村／三鷹市,5,100,0,4,50,50,0,0,0
区市町村／青梅市,17,94.1,5.9,15,73.3,26.7,3,0,100
区市町村／府中市,19,100,0,17,100,0,5,40,60
区市町村／昭島市,15,93.3,6.7,14,85.7,14.3,3,0,100
区市町村／調布市,10,100,0,9,77.8,22.2,2,100,0
区市町村／町田市,53,83,17,48,77.1,22.9,6,33.3,66.7
区市町村／小金井市,8,75,25,7,42.9,57.1,3,33.3,66.7
区市町村／小平市,2,100,0,2,100,0,1,0,100
区市町村／日野市,3,100,0,2,100,0,0,0,0
区市町村／東村山市,23,91.3,8.7,16,25,75,3,66.7,33.3
区市町村／国分寺市,5,100,0,3,33.3,66.7,2,50,50
区市町村／国立市,1,100,0,1,100,0,0,0,0
区市町村／福生市,11,81.8,18.2,10,80,20,2,50,50
区市町村／狛江市,1,100,0,1,100,0,1,100,0
区市町村／東大和市,11,90.9,9.1,10,50,50,2,0,100
区市町村／清瀬市,8,100,0,5,100,0,0,0,0
区市町村／東久留米市,1,100,0,1,100,0,0,0,0
区市町村／武蔵村山市,8,87.5,12.5,7,57.1,42.9,1,0,100
区市町村／多摩市,4,50,50,4,75,25,2,0,100
区市町村／稲城市,10,90,10,9,33.3,66.7,2,50,50
区市町村／羽村市,2,100,0,1,0,100,0,0,0
区市町村／あきる野市,17,82.4,17.6,11,18.2,81.8,5,20,80
区市町村／西東京市,4,100,0,2,100,0,0,0,0
区市町村／瑞穂町,4,75,25,3,33.3,66.7,0,0,0
区市町村／日の出町,14,85.7,14.3,11,54.5,45.5,3,0,100
区市町村／檜原村,1,100,0,1,0,100,1,0,100
区市町総ﾎ(再掲)_総数,10歳～14歳(再掲)_男,10歳～14歳(再掲)_女,15歳～19歳(再掲)_総数,15歳～19歳(再掲)_男,15歳～19歳(再掲)_女,20歳～24歳(再掲)_総数,20歳～24歳(再掲)_男,20歳～24歳(再掲)_女,25歳～29歳(再掲)_総数,25歳～29歳(再掲)_男,25歳～29歳(再掲)_女,30歳～34歳(再掲)_総数,30歳～34歳(再掲)_男,30歳～34歳(再掲)_女,35歳～39歳(再掲)_総数,35歳～39歳(再掲)_男,35歳～39歳(再掲)_女,40歳～44歳(再掲)_総数,40歳～44歳(再掲)_男,40歳～44歳(再掲)_女,45歳～49歳(再掲)_総数,45歳～49歳(再掲)_男,45歳～49歳(再掲)_女,50歳～54歳(再掲)_総数,50歳～54歳(再掲)_男,50歳～54歳(再掲)_女,55歳～59歳(再掲)_総数,55歳～59歳(再掲)_男,55歳～59歳(再掲)_女,60歳～64歳(再掲)_総数,60歳～64歳(再掲)_男,60歳～64歳(再掲)_女,65歳～69歳(再掲)_総数,65歳～69歳(再掲)_男,65歳～69歳(再掲)_女,70歳～74歳(再掲)_総数,70歳～74歳(再掲)_男,70歳～74歳(再掲)_女,75歳～79歳(再掲)_総数,75歳～79歳(再掲)_男,75歳～79歳(再掲)_女,80歳～84歳(再掲)_総数,80歳～84歳(再掲)_男,80歳～84歳(再掲)_女,85歳～89歳(再掲)_総数,85歳～89歳(再掲)_男,85歳～89歳(再掲)_女,90歳～94歳(再掲)_総数,90歳～94歳(再掲)_男,90歳～94歳(再掲)_女,95歳～99歳(再掲)_総数,95歳～99歳(再掲)_男,95歳～99歳(再掲)_女
1971/1/1,160212,83096,77116,3357,1777,1580,3465,1802,1663,3301,1690,1611,3328,1662,1666,2464,1283,1181,3126,1564,1562,2887,1475,1412,2628,1372,1256,2475,1276,1199,2243,1148,1095,2204,1086,1118,2005,1043,962,2001,1025,976,1831,948,883,1787,897,890,1886,978,908,1964,1023,941,2120,1125,995,2644,1447,1197,3921,2241,1680,4048,2451,1597,4683,2821,1862,4322,2540,1782,4499,2609,1890,3177,1754,1423,2837,1566,1271,3546,1912,1634,3891,1955,1936,3599,1845,1754,3575,1823,1752,3459,1766,1693,2921,1508,1413,2857,1498,1359,3214,1610,1604,2971,1511,1460,3052,1551,1501,2780,1408,1372,2792,1482,1310,2713,1422,1291,2629,1372,1257,2425,1259,1166,2228,1117,1111,2262,1180,1082,2133,1047,1086,2055,1060,995,1927,984,943,1706,860,846,1519,727,792,1429,642,787,1455,641,814,1431,632,799,1202,566,636,1115,508,607,1165,552,613,1197,552,645,1060,525,535,1055,515,540,1129,533,596,996,499,497,952,444,508,979,461,518,898,464,434,799,426,373,809,421,388,635,319,316,607,304,303,584,258,326,551,262,289,565,291,274,505,244,261,459,219,240,393,188,205,366,170,196,322,144,178,280,122,158,292,131,161,229,87,142,203,89,114,205,76,129,133,51,82,156,60,96,145,45,100,114,47,67,82,31,51,68,25,43,48,9,39,37,12,25,36,12,24,27,6,21,16,7,9,10,2,8,9,2,7,4,0,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,15915,8214,7701,13359,6835,6524,9828,4999,4829,12535,6814,5721,20729,12175,8554,17448,9101,8347,15422,7893,7529,13966,7235,6731,11103,5663,5440,8036,3854,4182,6110,2810,3300,5192,2516,2676,4120,2091,2029,2812,1359,1453,1820,843,977,1062,434,628,565,208,357,164,46,118,25,6,19,1,0,1
1972/1/1,164690,85509,79181,3454,1822,1632,3380,1775,1605,3380,1757,1623,3270,1657,1613,3275,1630,1645,2408,1255,1153,3044,1536,1508,2849,1443,1406,2597,1356,1241,2430,1234,1196,2216,1117,1099,2178,1075,1103,1974,1026,948,2005,1043,962,1815,916,899,1810,915,895,1992,1049,943,2017,1074,943,2497,1328,1169,3846,2071,1775,4191,2467,1724,4136,2534,1602,4807,2896,1911,4528,2676,1852,4634,2682,1952,3269,1788,1481,2902,1569,1333,3529,1873,1656,3879,1974,1905,3567,1835,1732,3518,1786,1732,3341,1705,1636,2871,1490,1381,2820,1468,1352,3173,1581,1592,2854,1450,1404,3015,1549,1466,2703,1370,1333,2730,1447,1283,2681,1364,1317,2588,1340,1248,2397,1234,1163,2217,1110,1107,2257,1180,1077,2129,1047,1082,2016,1044,972,1935,993,942,1696,845,851,1528,728,800,1447,646,801,1415,634,781,1431,613,818,1195,566,629,1097,515,582,1152,548,604,1162,549,613,1070,533,537,1086,538,548,1120,529,591,1005,503,502,951,438,513,944,446,498,885,458,427,788,418,370,816,425,391,630,314,316,607,307,300,576,263,313,545,264,281,544,281,263,496,240,256,449,208,241,375,160,215,346,157,189,308,139,169,279,119,160,278,119,159,214,76,138,177,81,96,180,64,116,126,40,86,130,47,83,129,44,85,96,36,60,79,34,45,63,20,43,41,6,35,28,7,21,26,7,19,25,6,19,13,6,7,7,0,7,5,1,4,3,0,3,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,16759,8641,8118,13328,6824,6504,10188,5177,5011,12162,6437,5725,22296,13255,9041,17146,9039,8107,15723,8030,7693,13983,7180,6803,11588,5911,5677,8622,4256,4366,6290,2876,3414,5443,2652,2791,4384,2185,2199,2902,1429,1473,1974,904,1070,1128,459,669,560,201,359,183,46,137,29,7,22,2,0,2
1973/1/1,169498,87714,81784,3494,1790,1704,3531,1853,1678,3415,1786,1629,3374,1752,1622,3270,1644,1626,3244,1611,1633,2407,1252,1155,3030,1521,1509,2813,1425,1388,2586,1325,1261,2422,1250,1172,2205,1126,1079,2185,1073,1112,2007,1044,963,1999,1041,958,1852,956,896,1887,960,927,2057,1099,958,2345,1287,1058,3264,1850,1414,3887,2180,1707,4179,2442,1737,4176,2532,1644,4912,2910,2002,4687,2715,1972,4674,2618,2056,3230,1715,1515,2922,1534,1388,3596,1912,1684,3892,1984,1908,3597,1858,1739,3541,1809,1732,3317,1688,1629,2890,1471,1419,2764,1409,1355,3185,1577,1608,2795,1411,1384,2991,1520,1471,2722,1357,1365,2723,1428,1295,2654,1360,1294,2570,1304,1266,2421,1243,1178,2214,1090,1124,2239,1163,1076,2134,1037,1097,2000,1029,971,1932,981,951,1726,858,868,1538,728,810,1463,647,816,1405,629,776,1412,616,796,1194,569,625,1116,516,600,1178,564,614,1153,538,615,1078,526,552,1058,521,537,1111,526,585,1001,508,493,950,444,506,952,457,495,873,450,423,760,392,368,801,413,388,636,317,319,596,295,301,567,256,311,526,256,270,533,266,267,487,230,257,439,193,246,352,156,196,354,168,186,292,125,167,271,101,170,255,107,148,199,67,132,157,75,82,165,52,113,117,39,78,118,44,74,119,43,76,82,30,52,68,29,39,50,16,34,29,3,26,26,7,19,24,5,19,21,5,16,6,4,2,4,0,4,3,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17084,8825,8259,14080,7134,6946,10818,5534,5284,11405,6152,5253,21841,12779,9062,18314,9763,8551,16109,8235,7874,14416,7293,7123,12098,6160,5938,9330,4633,4697,6590,2977,3613,5578,2675,2903,4536,2251,2285,3126,1537,1589,2165,1013,1152,1174,475,699,601,208,393,197,60,137,35,10,25,1,0,1
