 1-(3)海上出入貨物の主要品種別表,,,,,,,,（単位：トン）
,,品目,当月,,,１月以降累計,,
,,,当年,対前年比,前年,当年,対前年比,前年
外貿貨物,輸出,合計,"1,097,249",96.5%,"1,137,416","9,354,036",94.4%,"9,907,070"
,,その他化学工業品,"160,677",103.3%,"155,481","1,337,895",100.1%,"1,336,714"
,,産業機械,"157,101",96.5%,"162,878","1,361,253",93.9%,"1,449,446"
,,自動車部品,"155,832",92.1%,"169,112","1,182,256",101.9%,"1,159,962"
,,再利用資材,"153,377",93.8%,"163,537","1,354,777",80.9%,"1,675,243"
,,電気機械,"65,083",100.6%,"64,706","515,701",92.8%,"555,953"
,,ゴム製品,"38,652",146.1%,"26,463","287,393",108.3%,"265,366"
,,その他製造工業品,"29,885",129.8%,"23,028","216,084",113.2%,"190,959"
,,化学薬品,"27,794",106.8%,"26,024","221,706",102.9%,"215,433"
,輸入,合計,"3,052,964",99.0%,"3,082,706","26,886,901",99.5%,"27,018,704"
,,衣服・身廻品・はきもの,"473,756",93.9%,"504,328","3,445,681",100.8%,"3,419,693"
,,電気機械,"254,657",97.3%,"261,706","2,446,271",104.3%,"2,346,113"
,,製造食品,"214,746",99.4%,"216,089","1,878,888",100.2%,"1,874,237"
,,その他化学工業品,"187,087",95.4%,"196,031","1,726,151",99.6%,"1,732,476"
,,家具装備品,"155,433",95.9%,"162,138","1,518,392",100.4%,"1,511,671"
,,その他畜産品,"152,018",113.0%,"134,578","1,261,498",102.0%,"1,237,027"
,,野菜・果物,"131,154",90.1%,"145,642","1,344,749",92.0%,"1,461,661"
,,産業機械,"118,888",94.8%,"125,407","1,144,372",99.1%,"1,154,379"
内貿貨物,移出,合計,"1,227,506",98.5%,"1,246,077","11,306,055",95.9%,"11,789,333"
,,完成自動車,"612,559",93.4%,"655,820","5,913,594",99.2%,"5,959,101"
,,取合せ品,"230,772",99.1%,"232,857","2,320,678",103.6%,"2,240,957"
,,廃土砂,"103,923",91.0%,"114,154","834,104",66.0%,"1,262,859"
,,鋼材,"30,002",3286.1%,913,"43,899",459.1%,"9,562"
,,重油,"20,861",92.9%,"22,446","174,146",98.7%,"176,497"
,,その他日用品,"20,205",128.9%,"15,671","171,037",113.7%,"150,487"
,,飲料,"16,798",78.4%,"21,417","199,140",89.3%,"223,006"
,,再利用資材,"14,599",98.9%,"14,757","176,587",74.4%,"237,352"
,移入,合計,"1,870,113",91.3%,"2,048,344","18,380,617",96.2%,"19,103,901"
,,完成自動車,"456,368",92.2%,"494,986","4,490,884",100.1%,"4,484,454"
,,その他の石油,"363,556",103.3%,"351,914","3,331,934",101.3%,"3,289,825"
,,砂利・砂,"248,670",75.7%,"328,626","2,855,206",89.2%,"3,201,454"
,,セメント,"190,228",82.7%,"230,018","1,808,276",88.6%,"2,041,564"
,,取合せ品,"175,097",95.7%,"183,040","1,710,307",100.3%,"1,705,289"
,,鋼材,"93,257",141.8%,"65,757","822,054",99.3%,"827,922"
,,紙・パ　ル　プ,"80,015",69.7%,"114,791","969,509",90.4%,"1,072,496"
,,石材,"52,813",61.7%,"85,663","640,317",81.4%,"786,466"
,（注）,その他化学工業品は、染料・塗料・合成樹脂・その他化学工業品の略,,,,,,
,,文房具・運動娯楽用品は、文房具・運動娯楽用品・楽器の略,,,,,,
,,木製品は、木製品（他に分類されないもの）の略,,,,,,
,,木,-,-,-,-,29,鋼材,,,,,,,
30,非鉄金属,-,-,-,-,-,-,-,-,-,-,-,-,"3,025",-,"3,025","3,025",-,"3,025",30,非鉄金属,,,,,,,
31,金属製品,-,-,-,-,-,-,-,-,-,-,-,-,"2,000",-,"2,000","2,000",-,"2,000",31,金属製品,,,,,,,
32,鉄道車両,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,鉄道車両,,,,,,,
33,完成自動車,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,完成自動車,,,,,,,
34,その他輸送用車両,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,その他輸送用車両,,,,,,,
35,二輪自動車,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,二輪自動車,,,,,,,
36,自動車部品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,自動車部品,,,,,,,
37,その他輸送機械,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,その他輸送機械,,,,,,,
38,産業機械,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,産業機械,,,,,,,
39,電気機械,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,電気機械,,,,,,,
40,測量・光学・医療用機械,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,測量・光学・医療用機械,,,,,,,
41,事務用機器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,事務用機器,,,,,,,
42,その他機械,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,その他機械,,,,,,,
化学工業品,,-,-,-,-,-,-,-,-,-,-,-,-,"13,064",-,"13,064","13,064",-,"13,064",化学工業品,,,,,,,,
43,陶磁器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,陶磁器,,,,,,,
44,セメント,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,セメント,,,,,,,
45,ガラス類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,ガラス類,,,,,,,
46,窯業品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,窯業品,,,,,,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油,,,,,,,
48,揮発油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,揮発油,,,,,,,
49,その他の石油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,その他の石油,,,,,,,
50,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,LNG/液化天然ガス,,,,,,,
51,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,LPG/液化石油ガス,,,,,,,
52,その他石油製品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,その他石油製品,,,,,,,
53,コークス,-,-,-,-,-,-,-,-,-,-,-,-,"13,064",-,"13,064","13,064",-,"13,064",53,コークス,,,,,,,
54,石炭製品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,石炭製品,,,,,,,
55,化学薬品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,化学薬品,,,,,,,
