一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
154,目黒区中央町2-17-18,35.633171,139.689301,JGD2011,古川橋二子玉川線（駒沢通り）,a,2001-05-22,2001-05-24,4,4,3.0,1.2,69,69
155,目黒区東が丘1-6-4,35.626427,139.670532,JGD2011,古川橋二子玉川線（駒沢通り）,a,2001-05-22,2001-05-24,4,2,3.0,1.2,73,72
156,目黒区柿の木坂1-1-4,35.623192,139.678467,JGD2011,環状７号線,b,2001-06-05,2001-06-07,4,6,4.0,1.2,77,76
157,目黒区南3-1-7,35.615608,139.683411,JGD2011,環状７号線,b,2001-06-05,2001-06-07,4,4,5.0,1.2,71,71
158,目黒区下目黒1-6-18,35.633797,139.711502,JGD2011,白金台町等々力線（目黒通り）,c,2001-07-24,2001-07-26,4,4,5.0,1.2,73,72
159,目黒区碑文谷5-15-6,35.621326,139.681046,JGD2011,白金台町等々力線（目黒通り）,b,2001-07-24,2001-07-26,4,5,4.0,1.2,72,70
160,目黒区八雲2-9-12,35.615467,139.670166,JGD2011,白金台町等々力線（目黒通り）,b,2001-07-24,2001-07-26,4,5,4.0,1.2,71,70
161,目黒区青葉台2-21-13,35.648201,139.693634,JGD2011,環状６号線（山手通り）,c,2001-08-21,2001-08-22,4,5,4.0,1.2,72,69
162,目黒区目黒3-1-7,35.635330,139.706146,JGD2011,環状６号線（山手通り）,c,2001-08-21,2001-08-23,4,5,6.0,1.2,73,71
163,目黒区大橋1-10-17,35.651321,139.686584,JGD2011,国道２４６号（玉川通り）,c,2001-09-11,2001-09-13,3,7,4.0,1.2,77,76
164,目黒区大橋2-19-38,35.655392,139.681992,JGD2011,渋谷経堂線（淡島通り）,b,2001-09-11,2001-09-13,4,2,3.0,1.2,73,70
165,目黒区五本木2-19-8,35.634598,139.690613,JGD2011,古川橋二子玉川線（駒沢通り）,B,2002-02-21,2002-02-22,4,2,3.0,1.2,70,70
166,目黒区目黒本町4-4-14,35.623932,139.697021,JGD2011,鮫洲大山線,B,2002-02-26,2002-02-27,4,2,3.0,1.2,68,67
