"","進捗率","セルフ率"
"千代田区","87.4","35.9"
"中央区","99.3","0"
"港区","86.7","3.3"
"新宿区","99.1","43.8"
"文京区","85.6","41.1"
"台東区","97.6","38.1"
"墨田区","97.2","9.3"
"江東区","96.6","18.4"
"品川区","92.9","0.3"
"目黒区","93.9","19.6"
"大田区","99.9","17.6"
"世田谷区","93.3","23.6"
"渋谷区","73.7","4.6"
"中野区","93.8","15.6"
"杉並区","98.3","0.1"
"豊島区","92.7","21.2"
"北区","96.8","31.1"
"荒川区","98.8","8.5"
"板橋区","92.2","25.1"
"練馬区","97.2","18.9"
"足立区","95.4","40.4"
"葛飾区","96.3","22.9"
"江戸川区","97.4","10.9"
"八王子市","100","60.7"
"立川市","99.2","1.4"
"武蔵野市","96.8","6.1"
"三鷹市","97.6","7.3"
"青梅市","97.5","1.2"
"府中市","95.7","40.9"
"昭島市","97","0.5"
"調布市","91.7","41.4"
"町田市","86.2","67.6"
"小金井市","100","33.4"
"小平市","97.1","4.1"
"日野市","93.9","34.8"
"東村山市","98.8","2.8"
"国分寺市","100","2.7"
"国立市","100","30.6"
"福生市","95.6","5.7"
"狛江市","93.4","8.1"
"東大和市","99.5","2.6"
"清瀬市","97.1","21.3"
"東久留米市","94.4","15.2"
"武蔵村山市","96.3","12.6"
"多摩市","98","38.9"
"稲城市","98.7","37.2"
"羽村市","96","3.9"
"あきる野市","97.5","0.6"
"西東京市","97.9","14.6"
"瑞穂町","100","1.8"
"日の出町","98.5","3.7"
"檜原村","100","0"
"奥多摩町","85.2","8.7"
"大島町","100","57.4"
"利島村","100","0"
"新島村","50","0"
"神津島村","25","0"
"三宅村","50","0"
"御蔵島村","100","0"
"八丈町","96.5","76.8"
"青ヶ島村","0","0"
"小笠原村","0","0"
"小笠原楚○協働会員の100倍増プロジェクト、交流会・勉強会等の開催（24年度末登録団体数166団体）／○企業・ＮＰＯ・自治体の協働促進のための調査研究など","＜事業実績＞／○子育て応援とうきょう会議全体会議の開催（１回）及び実行委員会の開催（１回）／○「子供未来とうきょうメッセ2014」の開催／○協働会員の100倍増プロジェクト、交流会・勉強会等の開催（25年度末登録団体数302団体）など"
